file	year	decade	source	title	author	fictional	text_type
rwk_digbib_1014-1.xmi	1895	1890	digbib	Der Schmetterling	Busch, Wilhelm	yes	Erzähltext
rwk_digbib_1017-1.xmi	1891	1890	digbib	Eduards Traum	Busch, Wilhelm	yes	Erzähltext
rwk_digbib_1019-3.xmi	1899	1890	digbib	Die Dame mit dem Hündchen	Čechov, Anton Pavlovič	yes	Erzähltext
rwk_digbib_1020-2.xmi	1886	1880	digbib	Gram	Čechov, Anton Pavlovič	yes	Erzähltext
rwk_digbib_1020-3.xmi	1886	1880	digbib	Gram	Čechov, Anton Pavlovič	yes	Erzähltext
rwk_digbib_1029-1.xmi	1919	1910	digbib	Die Freier	Christ, Lena	yes	Erzähltext
rwk_digbib_1038-2.xmi	1884	1880	digbib	Als er heim kehrte	Christen, Ada	yes	Erzähltext
rwk_digbib_1039-1.xmi	1884	1880	digbib	Der einsame Spatz	Christen, Ada	yes	Erzähltext
rwk_digbib_1040-1.xmi	1876	1870	digbib	Käthes Federhut	Christen, Ada	yes	Erzähltext
rwk_digbib_1057-1.xmi	1854	1850	digbib	23. Die Zwerge im Gübichenstein	Colshorn, Carlund Theodor	yes	Erzähltext
rwk_digbib_1133-1.xmi	1894	1890	digbib	Werde, die Du bist!	Dohm, Hedwig	yes	Erzähltext
rwk_digbib_1134-1.xmi	1894	1890	digbib	Wie Frauen werden	Dohm, Hedwig	yes	Erzähltext
rwk_digbib_1135-2.xmi	1886	1880	digbib	Bei uns zulande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext
rwk_digbib_1135-3.xmi	1886	1880	digbib	Bei uns zulande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext
rwk_digbib_1136-3.xmi	1842	1840	digbib	Die Judenbuche	Droste-Hülshoff, Annette von	yes	Erzähltext
rwk_digbib_1140-1.xmi	1905	1900	digbib	Jugend	Duncker, Dora	yes	Erzähltext
rwk_digbib_1141-1.xmi	1897	1890	digbib	Mütter	Duncker, Dora	yes	Erzähltext
rwk_digbib_1143-2.xmi	1897	1890	digbib	Sturm	Duncker, Dora	yes	Erzähltext
rwk_digbib_1144-1.xmi	1905	1900	digbib	Unüberwindlich	Duncker, Dora	yes	Erzähltext
rwk_digbib_1145-2.xmi	1903	1900	digbib	Agave	Ebner-Eschenbach, Marie von	yes	Erzähltext
rwk_digbib_1145-3.xmi	1903	1900	digbib	Agave	Ebner-Eschenbach, Marie von	yes	Erzähltext
rwk_digbib_1147-2.xmi	1884	1880	digbib	Der gute Mond	Ebner-Eschenbach, Marie von	yes	Erzähltext
rwk_digbib_1148-2.xmi	1915	1910	digbib	Der Herr Hofrat	Ebner-Eschenbach, Marie von	yes	Erzähltext
rwk_digbib_1148-3.xmi	1915	1910	digbib	Der Herr Hofrat	Ebner-Eschenbach, Marie von	yes	Erzähltext
rwk_digbib_1149-1.xmi	1883	1880	digbib	Der Kreisphysikus	Ebner-Eschenbach, Marie von	yes	Erzähltext
rwk_digbib_1150-3.xmi	1898	1890	digbib	Der Vorzugsschüler	Ebner-Eschenbach, Marie von	yes	Erzähltext
rwk_digbib_1152-1.xmi	1881	1880	digbib	Die Poesie des Unbewussten	Ebner-Eschenbach, Marie von	yes	Erzähltext
rwk_digbib_1153-2.xmi	1875	1870	digbib	Ein Spätgeborner	Ebner-Eschenbach, Marie von	yes	Erzähltext
rwk_digbib_1153-3.xmi	1875	1870	digbib	Ein Spätgeborner	Ebner-Eschenbach, Marie von	yes	Erzähltext
rwk_digbib_1159-2.xmi	1841	1840	digbib	Die Glücksritter	Eichendorff, Joseph von	yes	Erzähltext
rwk_digbib_1160-2.xmi	1919	1910	digbib	Der Wetterfrosch	Essig, Hermann	yes	Erzähltext
rwk_digbib_1160-3.xmi	1919	1910	digbib	Der Wetterfrosch	Essig, Hermann	yes	Erzähltext
rwk_digbib_1165-1.xmi	1911	1910	digbib	Vater und Sohn im Examen	Federer, Heinrich	yes	Erzähltext
rwk_digbib_1167-2.xmi	1879	1870	digbib	Grete Minde	Fontane, Theodor	yes	Erzähltext
rwk_digbib_1168-2.xmi	1906	1900	digbib	Mathilde Möhring	Fontane, Theodor	yes	Erzähltext
rwk_digbib_1170-1.xmi	1885	1880	digbib	Unterm Birnbaum	Fontane, Theodor	yes	Erzähltext
rwk_digbib_1170-2.xmi	1885	1880	digbib	Unterm Birnbaum	Fontane, Theodor	yes	Erzähltext
rwk_digbib_1171-1.xmi	1877	1870	digbib	Das Christusbild	Franzos, Karl Emil	yes	Erzähltext
rwk_digbib_1179-1.xmi	1877	1870	digbib	Zwei Retter	Franzos, Karl Emil	yes	Erzähltext
rwk_digbib_1181-2.xmi	1879	1870	digbib	Der Katzenjunker	François, Louise von	yes	Erzähltext
rwk_digbib_1184-2.xmi	1862	1860	digbib	Judith, die Kluswirtin	François, Louise von	yes	Erzähltext
rwk_digbib_1185-1.xmi	1857	1850	digbib	Phosphorus Hollunder	François, Louise von	yes	Erzähltext
rwk_digbib_1186-1.xmi	1890	1890	digbib	Altmodische Leute	Frapan, Ilse	yes	Erzähltext
rwk_digbib_1191-1.xmi	1890	1890	digbib	Von der Straße	Frapan, Ilse	yes	Erzähltext
rwk_digbib_1191-2.xmi	1890	1890	digbib	Von der Straße	Frapan, Ilse	yes	Erzähltext
rwk_digbib_1194-3.xmi	1842	1840	digbib	Der Mantel	Gogol, Nikolaj Vasilevič	yes	Erzähltext
rwk_digbib_1196-2.xmi	1850	1850	digbib	Das Erdbeerimareili	Gotthelf, Jeremias	yes	Erzähltext
rwk_digbib_1197-2.xmi	1842	1840	digbib	Die schwarze Spinne	Gotthelf, Jeremias	yes	Erzähltext
rwk_digbib_1198-1.xmi	1843	1840	digbib	Elsi, die seltsame Magd	Gotthelf, Jeremias	yes	Erzähltext
rwk_digbib_1199-2.xmi	1847	1840	digbib	Der arme Spielmann	Grillparzer, Franz	yes	Erzähltext
rwk_digbib_1199-3.xmi	1847	1840	digbib	Der arme Spielmann	Grillparzer, Franz	yes	Erzähltext
rwk_digbib_1201-2.xmi	1895	1890	digbib	Vom Gastfreien Pastor	Hartleben, Otto Erich	yes	Erzähltext
rwk_digbib_1202-1.xmi	1843	1840	digbib	Der Rubin	Hebbel, Friedrich	yes	Erzähltext
rwk_digbib_1202-2.xmi	1843	1840	digbib	Der Rubin	Hebbel, Friedrich	yes	Erzähltext
rwk_digbib_1204-1.xmi	1841	1840	digbib	Matteo	Hebbel, Friedrich	yes	Erzähltext
rwk_digbib_1207-1.xmi	1905	1900	digbib	Der Tag Anderer	Heyking, Elisabeth von	yes	Erzähltext
rwk_digbib_1209-2.xmi	1905	1900	digbib	Über einen Hund und die Monroe-Doktrin	Heyking, Elisabeth von	yes	Erzähltext
rwk_digbib_1211-1.xmi	1913	1910	digbib	Der Dieb	Heym, Georg	yes	Erzähltext
