file	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	cabtokens	dialect	perspective	quotes
rwk_digbib_1014-1.tsv	Busch,_Wilhelm_Der_Schmetterling.tg644_1.xml	1895	1890	digbib	Der Schmetterling	Busch, Wilhelm	yes	Erzähltext	yes	643	no	first	chevron
rwk_digbib_1017-1.tsv	Busch,_Wilhelm_Eduards_Traum.tg643_1.xml	1891	1890	digbib	Eduards Traum	Busch, Wilhelm	yes	Erzähltext	yes	583	no	first	undef
rwk_digbib_1040-1.tsv	Christen,_Ada_Kaethes_Federhut.tg326_1.xml	1876	1870	digbib	Käthes Federhut	Christen, Ada	yes	Erzähltext	yes	618	no	first	chevron
rwk_digbib_1042-1.tsv	Christen,_Ada_Rahel.tg327_1.xml	1873	1870	digbib	Rahel	Christen, Ada	yes	Erzähltext	yes	614	no	first	chevron
rwk_digbib_1133-1.tsv	Dohm,_Hedwig_Werde__die_Du_bist_.tg11_1.xml	1894	1890	digbib	Werde, die Du bist!	Dohm, Hedwig	yes	Erzähltext	yes	621	no	first	chevron none
rwk_digbib_1135-1.tsv	Droste-Huelshoff,_Annette_von_Bei_uns_zulande_auf_dem_Lande.tg262_1.xml	1886	1880	digbib	Bei uns zu Lande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	602	no	first	chevron
rwk_digbib_1135-2.tsv	Droste-Huelshoff,_Annette_von_Bei_uns_zulande_auf_dem_Lande.tg262_1.xml	1886	1880	digbib	Bei uns zulande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	622	no	first	none
rwk_digbib_1135-3.tsv	Droste-Huelshoff,_Annette_von_Bei_uns_zulande_auf_dem_Lande.tg262_1.xml	1886	1880	digbib	Bei uns zulande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	599	no	first	chevron none
rwk_digbib_1147-1.tsv	Ebner-Eschenbach,_Marie_von_Der_gute_Mond.tg120_1.xml	1884	1880	digbib	Der gute Mond	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	600	no	first	chevron
rwk_digbib_1152-1.tsv	Ebner-Eschenbach,_Marie_von_Die_Poesie_des_Unbewussten.tg112_1.xml	1881	1880	digbib	Die Poesie des Unbewussten	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	627	no	first	chevron
rwk_digbib_1181-2.tsv	François,_Louise_von_Der_Katzenjunker.tg58_1.xml	1879	1870	digbib	Der Katzenjunker	François, Louise von	yes	Erzähltext	yes	661	no	first	chevron
rwk_digbib_1181-3.tsv	François,_Louise_von_Der_Katzenjunker.tg58_1.xml	1879	1870	digbib	Der Katzenjunker	François, Louise von	yes	Erzähltext	yes	603	no	first	chevron
rwk_digbib_1184-2.tsv	François,_Louise_von_Judith__die_Kluswirtin.tg47_1.xml	1862	1860	digbib	Judith, die Kluswirtin	François, Louise von	yes	Erzähltext	yes	609	no	first	undef
rwk_digbib_1199-3.tsv	Grillparzer,_Franz_Der_arme_Spielmann.tg1810_1.xml	1847	1840	digbib	Der arme Spielmann	Grillparzer, Franz	yes	Erzähltext	yes	672	no	first	chevron
rwk_digbib_1201-2.tsv	Hartleben,_Otto_Erich_Vom_Gastfreien_Pastor.tg261_1.xml	1895	1890	digbib	Vom Gastfreien Pastor	Hartleben, Otto Erich	yes	Erzähltext	yes	624	no	first	undef
rwk_digbib_1201-3.tsv	Hartleben,_Otto_Erich_Vom_Gastfreien_Pastor.tg261_1.xml	1895	1890	digbib	Vom Gastfreien Pastor	Hartleben, Otto Erich	yes	Erzähltext	yes	627	no	first	dash chevron other
rwk_digbib_1221-1.tsv	Hofmannsthal,_Hugo_von_Erlebnis_des_Marschalls_von_Bassompierre.tg362_1.xml	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext	yes	576	no	first	chevron
rwk_digbib_1221-2.tsv	Hofmannsthal,_Hugo_von_Erlebnis_des_Marschalls_von_Bassompierre.tg362_1.xml	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext	yes	579	no	first	chevron
rwk_digbib_1221-3.tsv	Hofmannsthal,_Hugo_von_Erlebnis_des_Marschalls_von_Bassompierre.tg362_1.xml	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext	yes	596	no	first	chevron
rwk_digbib_1313-1.tsv	Janitschek,_Maria_Elias.tg66_1.xml	1897	1890	digbib	Elias	Janitschek, Maria	yes	Erzähltext	yes	595	no	first	undef
rwk_digbib_1330-3.tsv	Keller,_Gottfried_Das_Sinngedicht.tg830_1.xml	1882	1880	digbib	Das Sinngedicht	Keller, Gottfried	yes	Erzähltext	yes	593	no	first	undef
rwk_digbib_1346-1.tsv	Keyserling,_Eduard_von_Schwuele_Tage.tg53_1.xml	1904	1900	digbib	Schwüle Tage	Keyserling, Eduard von	yes	Erzähltext	yes	646	no	first	chevron
rwk_digbib_1352-1.tsv	Klabund_Der_Baer.tg446_1.xml	1918	1910	digbib	Der Bär	Klabund	yes	Erzähltext	yes	669	no	first	undef
rwk_digbib_1364-1.tsv	Klabund_Hoelderlin.tg468_1.xml	1918	1910	digbib	Hölderlin	Klabund	yes	Erzähltext	yes	610	no	first	none
rwk_digbib_1368-1.tsv	Klabund_Leuchtet_Ihre_Uhr_des_Nachts.tg460_1.xml	1918	1910	digbib	Leuchtet Ihre Uhr des Nachts	Klabund	yes	Erzähltext	yes	602	no	first	chevron
rwk_digbib_1866-1.tsv	Leskov,_Semenovic_Nikolaj_Das_Tier.tg10_1.xml	1883	1880	digbib	Das Tier	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	579	no	first	chevron
