tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Zur	-	zu	APPRART	APPRART.Dat.Sg.Fem	yes	-	-	-	-	-
Errettung	-	Errettung	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
aus	-	aus	APPR	APPR.Dat	no	-	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Neut	no	-	-	-	-	-
Lurloche	-	Lurloche	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Bitte	-	Bitte	ADV	N.Reg.Nom.Sg.Fem	yes	-	-	-	-	-
für	-	für	APPR	APPR.Acc	no	-	-	-	-	-
einen	-	ein	ART	ART.Indef.Acc.Sg.Masc	no	-	-	-	-	-
Krüppel	-	Krüppel	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Marburg	-	Marburg	NE	N.Name.Nom.Sg.Neut	yes	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
4.	-	4.	ADJA	ADJA.Pos.Dat.Sg.Masc	yes	-	-	-	-	-
Mai	-	Mai	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
date	-	dat	NN	N.Reg.Nom.Sg.Fem	yes	-	-	-	-	-
Am	-	an	APPRART	APPRART.Dat.Sg.Masc	yes	-	-	-	-	-
4.	-	4.	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
Mai	-	Mai	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
1914	-	1914	CARD	CARD	no	-	-	-	-	-
jährt	-	jähren	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	-	-	-	-
zum	-	zu	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
20.	-	20.	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
Male	-	Mal	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Tag	-	Tag	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
an	-	an	APPR	APPR.An	no	-	-	-	-	-
dem	-	der	PRELS	PRO.Rel.Subst.-.Dat.Sg.Masc	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Errettung	-	Errettung	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
der	-	der	ART	ART.Def.Gen.Pl.Masc	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
Lurloche	-	Lurloche	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
eingeschlossenen	-	eingeschlossen	ADJA	ADJA.Pos.Gen.Pl.Masc	no	-	-	-	-	-
sieben	-	sieben	CARD	CARD	no	-	-	-	-	-
Höhlenforscher	-	Höhlenforscher	NN	N.Reg.Gen.Pl.Masc	no	-	-	-	-	-
durch	-	durch	APPR	APPR.Acc	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
heldenhafte	-	heldenhaft	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Leistung	-	Leistung	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	-	-	-	-	-
damaligen	-	damalig	ADJA	ADJA.Pos.Gen.Sg.Masc	no	-	-	-	-	-
Hauptmannes	-	Hauptmann	NN	N.Reg.Gen.Sg.Masc	no	-	-	-	-	-
Rudolf	-	Rudolf	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
Staindl	-	Staindl	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
seines	-	sein	PPOSAT	PRO.Poss.Attr.-.Gen.Sg.Masc	no	-	-	-	-	-
Dieners	-	Diener	NN	N.Reg.Gen.Sg.Masc	no	-	-	-	-	-
Rudolf	-	Rudolf	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
Fischer	-	Fischer	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
gelungen	-	gelingen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Heute	-	Heute	ADV	ADV	yes	reported.thought.5	-	-	-	-
am	-	an	APPRART	APPRART.Dat.Sg.Masc	no	reported.thought.5	-	-	-	-
zwanzigsten	-	zwanzig	ADJA	ADJA.Pos.Dat.Sg.Masc	no	reported.thought.5	-	-	-	-
Jahrestage	-	Jahrestag	NN	N.Reg.Dat.Sg.Masc	no	reported.thought.5	-	-	-	-
werden	-	werden	VAFIN	VFIN.Aux.3.Pl.Pres.Ind	no	reported.thought.5	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Pl.*	no	reported.thought.5	-	-	-	-
beim	-	bei	APPRART	APPRART.Dat.Sg.Neut	no	reported.thought.5	-	-	-	-
Lesen	-	Lesen	NN	N.Reg.Dat.Sg.Neut	no	reported.thought.5	-	-	-	-
dieser	-	dieser	PDAT	PRO.Dem.Attr.-.Gen.Pl.Fem	no	reported.thought.5	-	-	-	-
Zeilen	-	Zeile	NN	N.Reg.Gen.Pl.Fem	no	reported.thought.5	-	-	-	-
viele	-	viele	PIS	PRO.Indef.Subst.-.Acc.Pl.*	no	reported.thought.5	-	speaker.5	-	-
an	-	an	APPR	APPR.An	no	reported.thought.5	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	reported.thought.5	-	-	-	-
traurigen	-	traurig	ADJA	ADJA.Pos.Acc.Sg.Masc	no	reported.thought.5	-	-	-	-
Vorfall	-	Vorfall	NN	N.Reg.Acc.Sg.Masc	no	reported.thought.5	-	-	-	-
erinnern	-	erinnern	VVINF	VINF.Full.-	no	reported.thought.5	-	-	intexpr.5	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	-	-	-	-
leider	-	leider	ADV	ADV	no	-	-	-	-	-
einen	-	ein	ART	ART.Indef.Acc.Sg.Masc	no	-	-	-	-	-
kräftigen	-	kräftig	ADJA	ADJA.Pos.Acc.Sg.Masc	no	-	-	-	-	-
Menschen	-	Mensch	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
zum	-	zu	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
Krüppel	-	Krüppel	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
gemacht	-	machen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
hat	-	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	yes	-	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
dies	-	dieser	PDS	PRO.Dem.Subst.-.Nom.Sg.Neut	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
damals	-	damals	ADV	ADV	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
blühendsten	-	blühend	ADJA	ADJA.Sup.Dat.Sg.Neut	no	-	-	-	-	-
Alter	-	Alter	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
von	-	von	APPR	APPR.Dat	no	-	-	-	-	-
21	-	21	CARD	CARD	no	-	-	-	-	-
Jahren	-	Jahr	NN	N.Reg.Dat.Pl.Neut	no	-	-	-	-	-
gestandene	-	gestanden	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Infanterist	-	Infanterist	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
Alois	-	Alois	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
Stelzl	-	Stelzl	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	-	-	-	-
beim	-	bei	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
