tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Da	-	da	KOUS	CONJ.SubFin.-	yes	-	-	-	-	-
Maria	-	Maria	NE	N.Name.Nom.Sg.Fem	no	-	-	-	-	-
wollt	-	wollen	VMFIN	VFIN.Mod.2.Pl.Pres.Ind	no	-	-	-	-	-
'	-	--	$(	SYM.Quot.Right	no	-	-	-	-	-
zu	-	zu	APPR	APPR.Dat	no	-	-	-	-	-
Agathen	-	Agathen	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
gehen	-	gehen	VVINF	VINF.Full.-	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
Jesum	-	Jesum	NN	N.Name.Nom.Sg.Neut	no	-	-	-	-	-
ihr	-	ihr	PPOSAT	PRO.Poss.Attr.-.Acc.Sg.Neut	no	-	-	-	-	-
Kind	-	Kind	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
opfern	-	opfern	VVINF	VINF.Full.-	no	-	-	-	-	-
sehen	-	sehen	VVINF	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
Da	-	da	KOUS	ADV	no	-	frame.1	-	-	-
ruft	-	rufen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	frame.1	-	intexpr.1	-
Valentinus	-	Valentinus	NE	N.Reg.Nom.Sg.Masc	no	-	frame.1	speaker.1	-	-
mit	-	mit	APPR	APPR.Dat	no	-	frame.1	-	-	-
Macht	-	Macht	NN	N.Reg.Dat.Sg.Fem	no	-	frame.1	-	-	-
:	-	--	$.	SYM.Pun.Colon	no	-	frame.1	-	-	-
Freuet	-	Freuet	VVFIN	VIMP.Full.2.Pl	no	direct.speech.1	-	-	-	-
euch	-	euch	PPER	PRO.Pers.Subst.2.Acc.Pl.*	no	direct.speech.1	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	direct.speech.1	-	-	-	-
Fastnacht	-	Fastnacht	NN	N.Reg.Dat.Sg.Fem	no	direct.speech.1	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.speech.1	-	-	-	-
Denn	-	denn	KON	CONJ.Coord.Denn	yes	direct.speech.1|indirect.thought.8.border=state	-	-	-	-
Petrus	-	--	NE	N.Name.Nom.Sg.Masc	no	direct.speech.1|indirect.thought.8.border=state	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	direct.speech.1|indirect.thought.8.border=state	-	-	-	-
Matthias	-	Matthias	NE	N.Name.Nom.Sg.Masc	no	direct.speech.1|indirect.thought.8.border=state	-	-	-	-
Kommen	-	Kommen	NN	VFIN.Full.3.Pl.Pres.Ind	no	direct.speech.1|indirect.thought.8.border=state	-	-	-	-
schier	-	schier	ADJD	ADJD.Pos	no	direct.speech.1|indirect.thought.8.border=state	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.1	frame.8	-	-	-
wisset	-	wissen	VVFIN	VFIN.Full.2.Pl.Pres.Subj	no	direct.speech.1	frame.8	-	intexpr.8	-
das	-	der	PDS	PRO.Dem.Subst.-.Acc.Sg.Neut	no	direct.speech.1	frame.8	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.speech.1	frame.8	-	-	-
Daß	-	daß	KOUS	CONJ.SubFin.-	yes	-	-	-	-	-
bei	-	bei	APPR	APPR.Dat	no	-	-	-	-	-
dieser	-	dieser	PDAT	PRO.Dem.Attr.-.Dat.Sg.Fem	no	-	-	-	-	-
Art	-	Art	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Weise	-	Weise	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Neut	no	-	-	-	-	-
mechanischen	-	mechanisch	ADJA	ADJA.Pos.Gen.Sg.Neut	no	-	-	-	-	-
Auswendiglernens	-	Auswendiglernen	NN	N.Reg.Gen.Sg.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
welches	-	welcher	PRELS	PRO.Rel.Subst.-.Nom.Sg.Neut	no	-	-	-	-	-
ja	-	ja	ADV	ADV	no	-	-	-	-	-
überdies	-	überdies	ADV	ADV	no	-	-	-	-	-
fast	-	fast	ADV	ADV	no	-	-	-	-	-
nur	-	nur	ADV	ADV	no	-	-	-	-	-
dazu	-	dazu	PAV	PROADV.Dem	no	-	-	-	-	-
diente	-	dienen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Pl.Masc	no	reported.thought.3.nonfact	-	-	-	-
Tage	-	Tag	NN	N.Reg.Acc.Pl.Masc	no	reported.thought.3.nonfact	-	-	-	-
der	-	der	ART	ART.Def.Gen.Pl.Masc	no	reported.thought.3.nonfact	-	-	-	-
Kirchenfeste	-	Kirchenfeste	NN	N.Reg.Gen.Pl.Masc	no	reported.thought.3.nonfact	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Pl.*	no	reported.thought.3.nonfact	-	-	-	-
einzuprägen	-	einprägen	VVIZU	VINF.Full.zu	no	reported.thought.3.nonfact	-	-	intexpr.3	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
Wissenschaft	-	Wissenschaft	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
gefördert	-	fördern	VVPP	VPP.Full.Psp	no	-	-	-	-	-
werden	-	werden	VAINF	VINF.Aux.-	no	-	-	-	-	-
konnte	-	können	VMFIN	VFIN.Mod.3.Sg.Past.Ind	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Geist	-	Geist	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Herz	-	Herz	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
leer	-	leer	ADJD	ADJD.Pos	no	-	-	-	-	-
bleiben	-	bleiben	VVINF	VINF.Full.-	no	-	-	-	-	-
mußten	-	müssen	VMFIN	VFIN.Mod.3.Pl.Past.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
liegt	-	liegen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Hand	-	Hand	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	-	der	ART	ART.Def.Nom.Sg.Fem	yes	reported.writing.9	-	-	-	-
einzige	-	einzig	ADJA	ADJA.Pos.Nom.Sg.Fem	no	reported.writing.9	-	-	-	-
rühmliche	-	rühmlich	ADJA	ADJA.Pos.Nom.Sg.Fem	no	reported.writing.9	-	-	-	-
Ansnahme	-	Ansnahme	NN	N.Reg.Nom.Sg.Fem	no	reported.writing.9	-	-	-	-
bildete	-	bilden	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.writing.9	-	-	-	-
das	-	der	ART	ART.Def.Acc.Sg.Neut	no	reported.writing.9	-	-	-	-
Schulwesen	-	Schulwesen	NN	N.Reg.Acc.Sg.Neut	no	reported.writing.9	-	-	-	-
der	-	der	ART	ART.Def.Gen.Pl.Masc	no	reported.writing.9	-	-	-	-
bereits	-	bereits	ADV	ADV	no	reported.writing.9	-	-	-	-
vorhin	-	vorhin	ADV	ADV	no	reported.writing.9	-	-	-	-
erwähnten	-	erwähnt	ADJA	ADJA.Pos.Gen.Pl.Masc	no	reported.writing.9	-	-	intexpr.9	-
„Brüderschaft	-	„Brüderschaft	NN	N.Reg.Gen.Pl.Masc	no	reported.writing.9	-	-	-	-
vom	-	von	APPRART	APPRART.Dat.Sg.Neut	no	reported.writing.9	-	-	-	-
gemeinsamen	-	gemeinsam	ADJA	ADJA.Pos.Dat.Sg.Neut	no	reported.writing.9	-	-	-	-
Leben	-	Leben	NN	N.Reg.Dat.Sg.Neut	no	reported.writing.9	-	-	-	-
,“	-	,“	ADJA	CARD	no	reported.writing.9	-	-	-	-
welche	-	welcher	PRELS	PRO.Indef.Subst.-.Nom.Pl.Masc	no	-	-	-	-	-
von	-	von	APPR	APPR.Dat	no	-	-	-	-	-
einem	-	ein	ART	ART.Indef.Dat.Sg.Neut	no	-	-	-	-	-
Utrechter	-	Utrechter	NN	ADJA.Pos.*.*.*	no	-	-	-	-	-
Canonicus	-	Canonicus	NE	N.Name.Dat.Sg.*	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
Geirt	-	Geirt	NN	N.Name.*.*.*	no	-	-	-	-	-
Groote	-	Groote	NN	N.Name.Gen.Sg.*	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
Jahre	-	Jahr	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
1379	-	1379	CARD	CARD	no	-	-	-	-	-
zu	-	zu	APPR	APPR.Dat	no	-	-	-	-	-
Deventer	-	Deventer	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
gestiftet	-	stiften	VVPP	VPP.Full.Psp	no	-	-	-	-	-
worden	-	werden	VAPP	VPP.Aux.Psp	no	-	-	-	-	-
war	-	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
aber	-	aber	KON	CONJ.Coord.Aber	no	-	-	-	-	-
erst	-	erst	ADV	ADV	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.*	no	-	-	-	-	-
folgenden	-	folgend	ADJA	ADJA.Pos.Dat.Sg.*	no	-	-	-	-	-
Jahrhunderte	-	Jahrhunderter	NN	N.Reg.Gen.Pl.Neut	no	-	-	-	-	-
