tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Frankreich	-	Frankreich	NE	N.Name.Nom.Sg.Neut	yes	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
7.	-	7.	ADJA	ADJA.Pos.Nom.Sg.Masc	yes	-	-	-	-	-
December	-	December	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	yes	-	frame.1	speaker.1	-	-
werden	-	werden	VAFIN	VFIN.Aux.3.Pl.Pres.Ind	no	-	frame.1	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Pl.*	no	-	frame.1	-	-	-
noch	-	noch	ADV	ADV	no	-	frame.1	-	-	-
erinnern	-	erinnern	VVINF	VINF.Full.-	no	-	frame.1	-	intexpr.1	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	indirect.thought.1.nonfact	-	-	-	-
am	-	an	APPRART	APPRART.Dat.Sg.Masc	no	indirect.thought.1.nonfact	-	-	-	-
1.	-	1.	ADJA	ADJA.Pos.Dat.Sg.Masc	no	indirect.thought.1.nonfact	-	-	-	-
März	-	März	NN	N.Reg.Dat.Sg.Masc	no	indirect.thought.1.nonfact	-	-	-	-
durch	-	durch	APPR	APPR.Acc	no	indirect.thought.1.nonfact|reported.writing.28	-	-	-	-
Verordnung	-	Verordnung	NN	N.Reg.Acc.Sg.Fem	no	indirect.thought.1.nonfact|reported.writing.28	-	-	intexpr.28	-
der	-	der	ART	ART.Def.Gen.Sg.Fem	no	indirect.thought.1.nonfact|reported.writing.28	-	-	-	-
provisorischen	-	provisorisch	ADJA	ADJA.Pos.Gen.Sg.Fem	no	indirect.thought.1.nonfact|reported.writing.28	-	-	-	-
Regierung	-	Regierung	NN	N.Reg.Gen.Sg.Fem	no	indirect.thought.1.nonfact|reported.writing.28	-	speaker.28	-	-
eine	-	ein	ART	ART.Indef.Acc.Sg.Fem	no	indirect.thought.1.nonfact	-	-	-	-
Commission	-	Commission	NN	N.Name.Dat.Sg.Fem	no	indirect.thought.1.nonfact	-	-	-	-
zur	-	zu	APPRART	APPRART.Dat.Sg.Fem	no	indirect.thought.1.nonfact	-	-	-	-
Vertheilung	-	Vertheilung	NN	N.Reg.Dat.Sg.Fem	no	indirect.thought.1.nonfact	-	-	-	-
von	-	von	APPR	APPR.Dat	no	indirect.thought.1.nonfact	-	-	-	-
Nationalbelohnungen	-	Nationalbelohnung	NN	N.Reg.Dat.Pl.Fem	no	indirect.thought.1.nonfact	-	-	-	-
eingesetzt	-	einsetzen	VVPP	VPP.Full.Psp	no	indirect.thought.1.nonfact	-	-	-	-
wurde	-	werden	VAFIN	VFIN.Aux.3.Sg.Past.Ind	no	indirect.thought.1.nonfact	-	-	-	-
