tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Dies	-	dieser	PDS	PRO.Dem.Subst.-.Nom.Sg.Neut	yes	-	-	-	-	-
war	-	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	-	-	-	-	-
etwas	-	etwas	PIAT	PRO.Indef.Attr.-.*.*.*	no	-	-	-	-	-
Außerordentliches	-	außerordentliche	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
da	-	da	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Kardinal	-	Kardinal	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
gewohnt	-	gewohnt	VVPP	ADJD.Pos	no	-	-	-	-	-
war	-	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Masc	no	-	-	-	-	-
König	-	König	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
eine	-	ein	ART	ART.Indef.Acc.Sg.Fem	no	-	-	-	-	-
solche	-	solcher	PIAT	PRO.Indef.Attr.-.Acc.Sg.Fem	no	-	-	-	-	-
Aufmerksamkeit	-	Aufmerksamkeit	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	-	-	-	-	-
erweisen	-	erweisen	VVINF	VINF.Full.-	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	yes	reported.speech.1.nonfact	-	-	-	-
König	-	König	NN	N.Reg.Nom.Sg.Masc	no	reported.speech.1.nonfact	-	speaker.1	-	-
antwortete	-	antworten	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.speech.1.nonfact	-	-	intexpr.1	-
nicht	-	nicht	PTKNEG	PART.Neg	no	reported.speech.1.nonfact	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	reported.speech.1.nonfact	-	-	-	-
Chamarante	-	Chamarante	NN	N.Reg.Nom.Sg.Fem	yes	reported.thought.2	-	speaker.2_3	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.thought.2	-	-	-	-
über	-	über	APPR	APPR.über	no	reported.thought.2	-	-	-	-
dieses	-	dieser	PDAT	PRO.Dem.Attr.-.Acc.Sg.Neut	no	reported.thought.2	-	-	-	-
Schweigen	-	schweigen	NN	N.Reg.Acc.Sg.Neut	no	reported.thought.2	-	-	-	-
sehr	-	sehr	ADV	ADV	no	reported.thought.2	-	-	-	-
verwundert	-	verwundern	VVPP	VFIN.Full.3.Sg.Pres.Ind	no	reported.thought.2	-	-	intexpr.2	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
betrachtete	-	betrachten	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
um	-	um	APPR	CONJ.SubInf.-	no	reported.thought.3	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	reported.thought.3	-	-	intexpr.3	-
dasselbe	-	derselbe	PDS	PRO.Dem.Subst.-.Nom.Sg.Neut	no	reported.thought.3	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	reported.thought.3	-	-	-	-
erklären	-	erklären	VVINF	VINF.Full.-	no	reported.thought.3	-	-	intexpr.3	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
bald	-	bald	ADV	ADV	no	-	-	-	-	-
Dumont	-	Dumont	NE	N.Name.Dat.Sg.*	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
Unterhofmeister	-	Unterhofmeister	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
bald	-	bald	ADV	ADV	no	-	-	-	-	-
Laporte	-	Laport	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
einen	-	ein	ART	ART.Indef.Acc.Sg.Masc	no	-	-	-	-	-
Zimmerjungen	-	Zimmerjung	NN	N.Reg.*.*.*	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	-	-	-	-
gegenwärtig	-	gegenwärtig	ADJD	ADJD.Pos	no	-	-	-	-	-
war	-	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Laporte	-	Laport	NN	N.Reg.Nom.Pl.Masc	yes	reported.speech.4	-	speaker.4_9	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.speech.4	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	reported.speech.4|reported.thought.6	frame.5	speaker.5_6	-	-
Chamarante	-	Chamarante	NN	N.Reg.Nom.Sg.Masc	no	reported.speech.4|reported.thought.6	frame.5	-	-	-
für	-	für	APPR	APPR.Acc	no	reported.speech.4|reported.thought.6	frame.5	-	-	-
einen	-	ein	ART	ART.Indef.Acc.Sg.Masc	no	reported.speech.4|reported.thought.6	frame.5	-	-	-
Spion	-	Spion	NN	N.Reg.Acc.Sg.Masc	no	reported.speech.4|reported.thought.6	frame.5	-	-	-
hielt	-	halten	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.speech.4|reported.thought.6	frame.5	-	intexpr.6	-
und	-	und	KON	CONJ.Coord.-	no	reported.speech.4	frame.5	-	-	-
fürchtete	-	fürchten	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.speech.4	frame.5	-	intexpr.5	-
,	-	--	$,	SYM.Pun.Comma	no	reported.speech.4	frame.5	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	reported.speech.4|indirect.thought.5	frame.7	-	-	-
man	-	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	reported.speech.4|indirect.thought.5	frame.7	speaker.7	-	-
glauben	-	glauben	VVINF	VINF.Full.-	no	reported.speech.4|indirect.thought.5	frame.7	-	intexpr.7	-
möchte	-	möchten	VMFIN	VFIN.Mod.3.Sg.Past.Subj	no	reported.speech.4|indirect.thought.5	frame.7	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.speech.4|indirect.thought.5	frame.7	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
es	-	es	PPER	PRO.Pers.Subst.3.Acc.Sg.Neut	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
sei	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Subj	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
der	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Masc	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
König	-	König	NN	N.Reg.Dat.Sg.Masc	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
solche	-	solcher	PIAT	PRO.Indef.Attr.-.Acc.Pl.Neut	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
Dinge	-	Ding	NN	N.Reg.Acc.Pl.Neut	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
gegen	-	gegen	APPR	APPR.Acc	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
Kardinal	-	Kardinal	NN	N.Reg.Acc.Sg.Masc	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
in	-	in	APPR	APPR.In	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
Kopf	-	Kopf	NN	N.Reg.Acc.Sg.Masc	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
setze	-	setzen	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	reported.speech.4|indirect.thought.5|indirect.thought.7	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.speech.4	-	-	-	-
wiederholte	-	wiederholen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.speech.4	-	-	intexpr.4	-
,	-	--	$,	SYM.Pun.Comma	no	reported.speech.4	-	-	-	-
was	-	was	PWS	PRO.Rel.Subst.-.Nom.Sg.Neut	no	reported.speech.4|reported.speech.8	-	-	-	-
Chamarante	-	Chamarante	NN	N.Reg.Acc.Pl.Neut	no	reported.speech.4|reported.speech.8	-	speaker.8	-	-
eintretend	-	eintretend	ADJD	ADJD.Pos	no	reported.speech.4|reported.speech.8	-	-	-	-
gesagt	-	sagen	VVPP	VPP.Full.Psp	no	reported.speech.4|reported.speech.8	-	-	intexpr.8	-
hatte	-	haben	VAFIN	VFIN.Haben.3.Sg.Past.Ind	no	reported.speech.4|reported.speech.8	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	frame.9	-	-	-
bemerkte	-	bemerken	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	frame.9	-	intexpr.9	-
Seiner	-	sein	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Fem	no	-	frame.9	-	-	-
Majestät	-	Majestät	NN	N.Reg.Dat.Sg.Fem	no	-	frame.9	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.9	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	indirect.speech.9	-	-	-	-
Sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	indirect.speech.9	-	-	-	-
schlafen	-	schlafen	VVINF	VINF.Full.-	no	indirect.speech.9	-	-	-	-
gehen	-	gehen	VVINF	VINF.Full.-	no	indirect.speech.9	-	-	-	-
müßten	-	müssen	VMFIN	VFIN.Mod.3.Pl.Past.Subj	no	indirect.speech.9	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	indirect.speech.9	-	-	-	-
um	-	um	KOUI	APPR.Acc	no	indirect.speech.9	-	-	-	-
Jhro	-	Jhro	NE	N.Name.Gen.Sg.*	no	indirect.speech.9	-	-	-	-
Eminenz	-	Eminenz	NN	N.Reg.Acc.Sg.Fem	no	indirect.speech.9	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	indirect.speech.9	-	-	-	-
länger	-	lang	ADJD	ADJD.Comp	no	indirect.speech.9	-	-	-	-
warten	-	warten	VVINF	VINF.Full.-	no	indirect.speech.9	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	indirect.speech.9	-	-	-	-
lassen	-	lassen	VVINF	VINF.Full.-	no	indirect.speech.9	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	indirect.speech.9	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	yes	reported.speech.31.nonfact	-	-	-	-
König	-	König	NN	N.Reg.Nom.Sg.Masc	no	reported.speech.31.nonfact	-	speaker.31	-	-
spielte	-	spielen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.speech.31.nonfact	-	-	-	-
aber	-	aber	ADV	ADV	no	reported.speech.31.nonfact	-	-	-	-
den	-	der	ART	ART.Def.Dat.Pl.Fem	no	reported.speech.31.nonfact	-	-	-	-
Tauben	-	Taube	NN	N.Reg.Dat.Pl.Fem	no	reported.speech.31.nonfact	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	reported.speech.31.nonfact	-	-	-	-
blieb	-	bleiben	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.speech.31.nonfact	-	-	-	-
stumm	-	stumm	ADJD	ADJD.Pos	no	reported.speech.31.nonfact	-	-	intexpr.31	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
unbeweglich	-	unbeweglich	ADJD	ADJD.Pos	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
so	-	so	ADV	ADV	no	-	-	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Kardinal	-	Kardinal	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
nachdem	-	nachdem	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	-	-	-	-
beinahe	-	beinahe	ADV	ADV	no	-	-	-	-	-
eine	-	ein	ART	ART.Indef.Acc.Sg.Fem	no	-	-	-	-	-
halbe	-	halb	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Stunde	-	Stunde	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
gewartet	-	warten	VVPP	VPP.Full.Psp	no	-	-	-	-	-
hatte	-	haben	VAFIN	VFIN.Haben.3.Sg.Past.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	-	-	-	-
langweilte	-	langweilen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
kleine	-	klein	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Treppe	-	Treppe	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
hinabstieg	-	hinabsteigen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Fem	no	-	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
Korridor	-	Korridor	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
führte	-	führen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Als	-	als	KOKOM	CONJ.SubFin.-	yes	-	-	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	-	-	-	-
wegging	-	weggehen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
machten	-	machen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Degen	-	Degen	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Sporen	-	Spor	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
der	-	der	ART	ART.Def.Gen.Pl.*	no	-	-	-	-	-
Leute	-	Leute	NN	N.Reg.Gen.Pl.*	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	-	der	PRELS	PRO.Rel.Subst.-.Nom.Pl.Fem	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
seiner	-	sein	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Fem	no	-	-	-	-	-
Begleitung	-	Begleitung	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
waren	-	sein	VAFIN	VFIN.Sein.3.Pl.Past.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
einen	-	ein	ART	ART.Indef.Acc.Sg.Masc	no	-	-	-	-	-
solchen	-	solcher	PIAT	PRO.Indef.Attr.-.Acc.Sg.Masc	no	-	-	-	-	-
