file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_digbib_1014-1.xmi	earth	Busch,_Wilhelm_Der_Schmetterling.tg644_1.xml	1895	1890	digbib	Der Schmetterling	Busch, Wilhelm	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1039-1.xmi	earth	Christen,_Ada_Der_einsame_Spatz.tg328_1.xml	1884	1880	digbib	Der einsame Spatz	Christen, Ada	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1057-1.xmi	earth	Colshorn,_Carl_und_Theodor_23__Die_Zwerge_im_Guebichenstein.tg29_1.xml	1854	1850	digbib	23. Die Zwerge im Gübichenstein	Colshorn, Carl und Theodor	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1144-1.xmi	earth	Duncker,_Dora_Unueberwindlich.tg13_1.xml	1905	1900	digbib	Unüberwindlich	Duncker, Dora	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1149-1.xmi	earth	Ebner-Eschenbach,_Marie_von_Der_Kreisphysikus.tg114_1.xml	1883	1880	digbib	Der Kreisphysikus	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1165-1.xmi	earth	Federer,_Heinrich_Vater_und_Sohn_im_Examen.tg27_1.xml	1911	1910	digbib	Vater und Sohn im Examen	Federer, Heinrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1170-1.xmi	earth	Fontane,_Theodor_Unterm_Birnbaum.tg766_1.xml	1885	1880	digbib	Unterm Birnbaum	Fontane, Theodor	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1207-1.xmi	earth	Heyking,_Elisabeth_von_Der_Tag_Anderer.tg74_1.xml	1905	1900	digbib	Der Begleiter	Heiseler, Henry von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1299-1.xmi	earth	Jahn,_Ulrich_Die_verschiedenen_Staende.tg10_1.xml	1890	1890	digbib	Die verschiedenen Stände	Jahn, Ulrich	yes	Erzähltext	yes	no	unsure	chevron none
rwk1_digbib_1311-1.xmi	earth	Janitschek,_Maria_Der_Betrogene.tg106_1.xml	1902	1900	digbib	Der Betrogene	Janitschek, Maria	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1330-1.xmi	earth	Keller,_Gottfried_Das_Sinngedicht.tg830_1.xml	1882	1880	digbib	Das Sinngedicht	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron_single
rwk1_digbib_1342-1.xmi	earth	Keller,_Gottfried_Romeo_und_Julia_auf_dem_Dorfe.tg803_1.xml	1856	1850	digbib	Romeo und Julia auf dem Dorfe	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1345-1.xmi	earth	Keyserling,_Eduard_von_Beate_und_Mareile.tg41_1.xml	1903	1900	digbib	Beate und Mareile	Keyserling, Eduard von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1352-1.xmi	earth	Klabund_Der_Baer.tg446_1.xml	1918	1910	digbib	Der Bär	Klabund	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1389-1.xmi	earth	Kuhn,_Adalbert_10__Vom_Maedchen__das_seine_Brueder_sucht.tg268_1.xml	1843	1840	digbib	10. Vom Mädchen, das seine Brüder sucht	Kuhn, Adalbert	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1888-1.xmi	earth	Ludwig,_Otto_Zwischen_Himmel_und_Erde.tg63_1.xml	1856	1850	digbib	Zwischen Himmel und Erde	Ludwig, Otto	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2027-1.xmi	earth	Meysenbug,_Malwida_Freiin_von_Zu_spaet.tg9_1.xml	1907	1900	digbib	Zu spät	Meysenbug, Malwida Freiin von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_245-1.xmi	earth	Bartsch,_Karl_11___Auszuege_aus_dem_Rostocker_Criminal_Protokoll_.tg944_1.xml	1879	1870	digbib	11. Auszüge aus dem Rostocker Criminal-Protokoll	Bartsch, Karl	yes	Erzähltext	yes	yes	third	none
rwk1_digbib_2450-1.xmi	earth	Panizza,_Oskar_Der_Goldregen.tg57_1.xml	1893	1890	digbib	Der Goldregen	Panizza, Oskar	yes	Erzähltext	yes	yes_DS	first	chevron
rwk1_digbib_2466-1.xmi	earth	Poe,_Edgar_Allan_Der_entwendete_Brief.tg55_1.xml	1845	1840	digbib	Der entwendete Brief	Poe, Edgar Allan	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2621-1.xmi	earth	Raabe,_Wilhelm_Das_Odfeld.tg256_1.xml	1889	1880	digbib	Das Odfeld	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2622-1.xmi	earth	Raabe,_Wilhelm_Die_Gaense_von_Buetzow.tg229_1.xml	1866	1860	digbib	Die Gänse von Bützow	Raabe, Wilhelm	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2626-1.xmi	earth	Raabe,_Wilhelm_Hastenbeck.tg283_1.xml	1899	1890	digbib	Hastenbeck	Raabe, Wilhelm	yes	Erzähltext	yes	no	unsure	none
rwk1_digbib_2650-1.xmi	earth	Riehl,_Wilhelm_Heinrich_von_Der_Stadtpfeifer.tg6_1.xml	1862	1860	digbib	Der Stadtpfeifer	Riehl, Wilhelm Heinrich von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2671-1.xmi	earth	Rosegger,_Peter_Waldheimat__Erzaehlungen_aus_der_Jugendzeit.tg27_1_113.xml	1877	1870	digbib	Die Winternacht auf dem Stuhleck.	Rosegger, Peter	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2824-1.xmi	earth	Sacher-Masoch,_Leopold_von_Venus_im_Pelz.tg5_1.xml	1870	1870	digbib	Venus im Pelz	Sacher-Masoch, Leopold von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_300-1.xmi	earth	Bartsch,_Karl_1630___Himmelsbrief__Ein_Graf_hatte_einen_Diener_.tg2957_1.xml	1879	1870	digbib	1630. Himmelsbrief: Ein Graf hatte einen Diener	Bartsch, Karl	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_3015-1.xmi	earth	Schnitzler,_Arthur_Die_kleine_Komoedie.tg250_1.xml	1895	1890	digbib	Die kleine Komödie	Schnitzler, Arthur	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_3018-1.xmi	earth	Schnitzler,_Arthur_Doktor_Graesler__Badearzt.tg314_1.xml	1917	1910	digbib	Doktor Gräsler, Badearzt	Schnitzler, Arthur	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3166-1.xmi	earth	Storm,_Theodor_In_St__Juergen.tg232_1.xml	1868	1860	digbib	In St. Jürgen	Storm, Theodor	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_3167-1.xmi	earth	Storm,_Theodor_John_Riew_.tg255_1.xml	1885	1880	digbib	John Riew'	Storm, Theodor	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_3242-1.xmi	earth	Wildermuth,_Ottilie_4__Der_Herrenbau.tg27_1.xml	1847	1840	digbib	4. Der Herrenbau	Wildermuth, Ottilie	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3280-1.xmi	earth	Wildermuth,_Ottilie_Lebensglueck.tg93_1.xml	1852	1850	digbib	Lebensglück	Wildermuth, Ottilie	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_3303-1.xmi	earth	Wolf,_Johann_Wilhelm_Das_weisse_Hemd__das_schwere_Schwert_und_der_goldene_Ring.tg21_1.xml	1851	1850	digbib	Das weiße Hemd, das schwere Schwert und der goldene Ring	Wolf, Johann Wilhelm	yes	Erzähltext	yes	no	third	chevron_single
rwk1_digbib_622-1.xmi	earth	Bechstein,_Ludwig_Der_Wandergeselle.tg158_1.xml	1856	1850	digbib	Der Wandergeselle	Bechstein, Ludwig	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_660-1.xmi	earth	Bechstein,_Ludwig_Die_verzauberte_Prinzessin.tg61_1.xml	1845	1840	digbib	Die verzauberte Prinzessin	Bechstein, Ludwig	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_930-1.xmi	earth	Birlinger,_Anton_Abdankung.tg1682_1.xml	1862	1860	digbib	Abdankung	Birlinger, Anton	yes	Erzähltext	yes	no	first	none
rwk1_digbib_946-1.xmi	earth	Buechner,_Luise_Ein_Dichter.tg95_1.xml	1878	1870	digbib	Ein Dichter	Büchner, Luise	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_981-1.xmi	earth	Busch,_Wilhelm_32__Der_Soldat_und_das_Feuerzeug.tg683_1.xml	1910	1910	digbib	32. Der Soldat und das Feuerzeug	Busch, Wilhelm	yes	Erzähltext	yes	no	third	chevron
