tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
erz_946	-	erz_946n	ADJA	N.Name.*.*.*	yes	-	-	-	-	-
Buechner	-	Buechner	NN	N.Name.Nom.Sg.*	no	-	-	-	-	-
,_Luise_Ein_Dichter	-	,_Luise_Ein_Dichter	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
.tg95_1.xml	-	.tg95_1.xml	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
1878	-	1878	CARD	CARD	no	-	-	-	-	-
1870	-	1870	CARD	CARD	no	-	-	-	-	-
erz	-	erz	NN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
Ein	-	ein	ART	ART.Indef.Nom.Sg.Masc	no	-	-	-	-	-
Dichter	-	Dichter	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
Büchner	-	Büchner	NE	N.Name.Nom.Sg.*	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
Luise	-	Luise	NE	N.Name.Nom.Sg.Fem	no	-	-	-	-	-
yes	-	--	NN	FM	no	-	-	-	-	-
502	-	502	CARD	CARD	no	-	-	-	-	-
1	-	1	CARD	CARD	no	-	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Dritte	-	dritter	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
ein	-	ein	ART	ART.Indef.Nom.Sg.Masc	no	-	-	-	-	-
schlanker	-	schlank	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
schöner	-	schön	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Mensch	-	Mensch	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
ging	-	gehen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
ein	-	ein	ART	ART.Indef.*.*.*	no	-	-	-	-	-
wenig	-	wenig	ADV	PRO.Indef.Subst.-.*.*.*	no	-	-	-	-	-
hinterdrein	-	hinterdrein	ADV	PART.Verb	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
