tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
famz_19209	-	famz_19209	ADJA	FM	yes	-	-	-	-	-
grenzboten_341879_295218.txt_43.xml	-	grenzboten_341879_295218.txt_43.xml	NN	FM	no	-	-	-	-	-
1904	-	1904	CARD	CARD	no	-	-	-	-	-
1900	-	1900	CARD	CARD	no	-	-	-	-	-
famz	-	famz	ADJA	ADJD.Pos	no	-	-	-	-	-
Maßgebliches	-	Maßgebliche	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Unmaßgebliches	-	unmaßgebliche	ADJA	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
None	-	None	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
no	-	--	VVFIN	ADJD.Pos	no	-	-	-	-	-
545	-	545	CARD	CARD	no	-	-	-	-	-
1	-	1	CARD	CARD	no	-	-	-	-	-
Schmutzarbeit	-	Schmutzarbeit	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
mögen	-	mögen	VMFIN	VFIN.Mod.3.Pl.Pres.Ind	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
»	-	»	$(	CARD	no	-	-	-	-	-
verdammten	-	verdammt	ADJA	ADJA.Pos.Nom.Pl.Masc	no	-	-	-	-	-
Ausländer	-	Ausländer	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
«	-	«	$(	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
verrichten	-	verrichten	VVINF	VINF.Full.-	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Man	-	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	-	frame.1	speaker.1	-	-
fragt	-	fragen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	frame.1	-	intexpr.1	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	frame.1	-	intexpr.1	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
wohin	-	wohin	PWAV	PROADV.Inter	no	indirect.thought.1	-	-	-	-
das	-	der	ART	PRO.Dem.Subst.-.Nom.Sg.Neut	no	indirect.thought.1	-	-	-	-
führen	-	führen	VVINF	VINF.Full.-	no	indirect.thought.1	-	-	-	-
soll	-	sollen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	indirect.thought.1	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	indirect.thought.1	-	-	-	-
Rom	-	Rom	NE	N.Name.Nom.Sg.Neut	no	-	-	-	-	-
konnte	-	können	VMFIN	VFIN.Mod.3.Sg.Past.Ind	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
