tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
zeit_2769	-	ze_2769n	ADJA	FM	yes	-	-	-	-	-
nn_europa0108_1905_26.xml	-	nn_europa0108_1905_26.xml	NN	FM	no	-	-	-	-	-
1905	-	1905	CARD	CARD	no	-	-	-	-	-
1900	-	1900	CARD	CARD	no	-	-	-	-	-
zeit	-	zeit	APPR	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
None	-	None	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
None	-	None	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
no	-	--	VVFIN	ADJD.Pos	no	-	-	-	-	-
484	-	484	CARD	CARD	no	-	-	-	-	-
1	-	1	CARD	CARD	no	-	-	-	-	-
Par	-	Par	ADJA	FM	no	-	-	-	-	-
nobile	-	nobile	ADJA	FM	no	-	-	-	-	-
fratrum	-	fratrum	NN	FM	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	-	der	ART	ART.Def.Nom.Sg.Fem	no	reported.writing.1	-	-	-	-
gewerbsmäßige	-	gewerbsmäßig	ADJA	ADJA.Pos.Nom.Sg.Fem	no	reported.writing.1	-	-	-	-
Verläumderin	-	Verläumderin	NN	N.Reg.Nom.Sg.Fem	no	reported.writing.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.writing.1	-	-	-	-
zubenannt	-	zubenennen	ADJD	ADJD.Pos	no	reported.writing.1	-	-	-	-
Neue	-	neu	ADJA	ADJA.Pos.Nom.Pl.*	no	reported.writing.1	-	-	-	-
Preußische	-	preußisch	NN	N.Reg.Nom.Pl.*	no	reported.writing.1	-	-	-	-
(	-	--	$(	SYM.Paren.Left	no	reported.writing.1	-	-	-	-
Kreuz=	-	Kreuz=	NE	N.Name.Nom.Sg.*	no	reported.writing.1	-	-	-	-
)	-	--	$(	SYM.Paren.Right	no	reported.writing.1	-	-	-	-
Zeitung	-	Zeitung	NN	N.Reg.Nom.Sg.Fem	no	reported.writing.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.writing.1	-	-	-	-
setzt	-	setzen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	reported.writing.1	-	-	-	-
ihre	-	ihr	PPOSAT	PRO.Poss.Attr.-.Acc.Pl.Masc	no	reported.writing.1	-	-	-	-
entstellenden	-	entstellend	ADJA	ADJA.Pos.Acc.Pl.Masc	no	reported.writing.1	-	-	-	-
Berichte	-	Bericht	NN	N.Reg.Acc.Pl.Masc	no	reported.writing.1	-	-	-	-
über	-	über	APPR	APPR.über	no	reported.writing.1	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	reported.writing.1	-	-	-	-
„Europa“	-	„Europa“	NN	N.Reg.Acc.Sg.Fem	no	reported.writing.1	-	-	-	-
fort	-	fort	PTKVZ	PART.Verb	no	reported.writing.1	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Man	-	Man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	-	-	-	-	-
kann	-	können	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	-	-	-	-	-
ihr	-	ihr	PPER	PRO.Pers.Subst.3.Dat.Sg.Fem	no	-	-	-	-	-
das	-	der	PDS	PRO.Dem.Subst.-.Acc.Sg.Neut	no	-	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
weiter	-	weiter	ADV	ADV	no	-	-	-	-	-
übelnehmen	-	übelnehmen	VVINF	VINF.Full.-	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
denn	-	denn	KON	CONJ.Coord.Denn	no	-	-	-	-	-
schlechte	-	schlecht	ADJA	ADJA.Pos.Acc.Pl.Fem	no	-	-	-	-	-
Gewohnheiten	-	Gewohnheit	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
