tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
zeit_6012	-	zeit_6012	ADJA	FM	yes	-	-	-	-	-
nn_social0804_1874_8.xml	-	nn_social0804_1874_8.xml	NN	FM	no	-	-	-	-	-
1874	-	1874	CARD	CARD	no	-	-	-	-	-
1870	-	1870	CARD	CARD	no	-	-	-	-	-
zeit	-	zeit	APPR	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
None	-	None	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
None	-	None	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
no	-	--	VVFIN	ADJD.Pos	no	-	-	-	-	-
351	-	351	CARD	CARD	no	-	-	-	-	-
1	-	1	CARD	CARD	no	-	-	-	-	-
Ein	-	ein	ART	ART.Indef.Nom.Sg.Masc	no	-	-	-	-	-
bekehrter	-	bekehrt	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Pfaffe	-	Pfaffe	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Jn	-	Jn	NE	N.Reg.Nom.Sg.Masc	no	reported.speech.1	-	-	-	-
einer	-	ein	ART	ART.Indef.Gen.Sg.Fem	no	reported.speech.1	-	-	-	-
strenggläubigen	-	strenggläubig	ADJA	ADJA.Pos.Gen.Sg.Fem	no	reported.speech.1	-	-	-	-
Stadt	-	Stadt	NN	N.Reg.Gen.Sg.Fem	no	reported.speech.1	-	-	-	-
unseres	-	unser	PPOSAT	PRO.Poss.Attr.-.Gen.Sg.Neut	no	reported.speech.1	-	-	-	-
lieben	-	lieb	ADJA	ADJA.Pos.Gen.Sg.Neut	no	reported.speech.1	-	-	-	-
Vaterlandes	-	Vaterland	NN	N.Reg.Gen.Sg.Neut	no	reported.speech.1	-	-	-	-
predigte	-	predigen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.speech.1	-	-	-	-
jüngst	-	jung	ADJD	ADV	no	reported.speech.1	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	reported.speech.1	-	-	-	-
Pfarrer	-	Pfarrer	NN	N.Reg.Nom.Sg.Masc	no	reported.speech.1	-	-	-	-
gegen	-	gegen	APPR	APPR.Acc	no	reported.speech.1	-	-	-	-
die	-	der	ART	ART.Def.Acc.Pl.Masc	no	reported.speech.1	-	-	-	-
Social=Demokraten	-	Social=Demokrat	NN	N.Reg.Acc.Pl.Masc	no	reported.speech.1	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
erzählte	-	erzählen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.speech.2	-	-	-	-
