file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_digbib_245-1.tsv	jupiter	Bartsch,_Karl_11___Auszuege_aus_dem_Rostocker_Criminal_Protokoll_.tg944_1.xml	1879	1870	digbib	11. Auszüge aus dem Rostocker Criminal-Protokoll	Bartsch, Karl	yes	Erzähltext	yes	yes	third	none
rwk1_digbib_205-1.tsv	jupiter	Altenberg,_Peter_Venedig_in_Wien.tg38_1.xml	1896	1890	digbib	Venedig in Wien	Altenberg, Peter	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_660-1.tsv	jupiter	Bechstein,_Ludwig_Die_verzauberte_Prinzessin.tg61_1.xml	1845	1840	digbib	Die verzauberte Prinzessin	Bechstein, Ludwig	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_300-1.tsv	jupiter	Bartsch,_Karl_1630___Himmelsbrief__Ein_Graf_hatte_einen_Diener_.tg2957_1.xml	1879	1870	digbib	1630. Himmelsbrief: Ein Graf hatte einen Diener	Bartsch, Karl	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_622-1.tsv	jupiter	Bechstein,_Ludwig_Der_Wandergeselle.tg158_1.xml	1856	1850	digbib	Der Wandergeselle	Bechstein, Ludwig	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_633-1.tsv	jupiter	Bechstein,_Ludwig_Die_dankbaren_Tiere.tg128_1.xml	1845	1840	digbib	Die dankbaren Tiere	Bechstein, Ludwig	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_935-1.tsv	jupiter	Buechner,_Luise_1__Erzaehlung__Die_Geschichte_von_der_Frau_Holle.tg108_1.xml	1868	1860	digbib	1. Die Geschichte von der Frau Holle	Büchner, Luise	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_787-1.tsv	jupiter	Birlinger,_Anton_300__Festlichkeiten_bei_Empfang_von_hohen_weltlichen.tg1640_1.xml	1862	1860	digbib	300. Festlichkeiten bei Empfang von hohen Weltlichen	Birlinger, Anton	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_930-1.tsv	jupiter	Birlinger,_Anton_Abdankung.tg1682_1.xml	1862	1860	digbib	Abdankung	Birlinger, Anton	yes	Erzähltext	yes	no	first	none
rwk1_digbib_946-1.tsv	jupiter	Buechner,_Luise_Ein_Dichter.tg95_1.xml	1878	1870	digbib	Ein Dichter	Büchner, Luise	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_936-1.tsv	jupiter	Buechner,_Luise_2__Erzaehlung__Die_Geschichte_vom_Knecht_Nikolaus.tg109_1.xml	1868	1860	digbib	2. Erzählung. Die Geschichte vom Knecht Nikolaus	Büchner, Luise	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1014-1.tsv	jupiter	Busch,_Wilhelm_Der_Schmetterling.tg644_1.xml	1895	1890	digbib	Der Schmetterling	Busch, Wilhelm	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_981-1.tsv	jupiter	Busch,_Wilhelm_32__Der_Soldat_und_das_Feuerzeug.tg683_1.xml	1910	1910	digbib	32. Der Soldat und das Feuerzeug	Busch, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1165-1.tsv	jupiter	Federer,_Heinrich_Vater_und_Sohn_im_Examen.tg27_1.xml	1911	1910	digbib	Vater und Sohn im Examen	Federer, Heinrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1019-3.tsv	jupiter	Cechov,_Anton_Pavlovic_Die_Dame_mit_dem_Huendchen.tg5_1.xml	1899	1890	digbib	Die Dame mit dem Hündchen	Cechov, Anton Pavlovi?	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1020-3.tsv	jupiter	Cechov,_Anton_Pavlovic_Gram.tg4_1.xml	1886	1880	digbib	Gram	Cechov, Anton Pavlovi?	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1029-1.tsv	jupiter	Christ,_Lena_Die_Freier.tg56_1.xml	1919	1910	digbib	Die Freier	Christ, Lena	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_1039-1.tsv	jupiter	Christen,_Ada_Der_einsame_Spatz.tg328_1.xml	1884	1880	digbib	Der einsame Spatz	Christen, Ada	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1040-1.tsv	jupiter	Christen,_Ada_Kaethes_Federhut.tg326_1.xml	1876	1870	digbib	Käthes Federhut	Christen, Ada	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1042-1.tsv	jupiter	Christen,_Ada_Rahel.tg327_1.xml	1873	1870	digbib	Rahel	Christen, Ada	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1057-1.tsv	jupiter	Colshorn,_Carl_und_Theodor_23__Die_Zwerge_im_Guebichenstein.tg29_1.xml	1854	1850	digbib	23. Die Zwerge im Gübichenstein	Colshorn, Carl und Theodor	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1133-1.tsv	jupiter	Dohm,_Hedwig_Werde__die_Du_bist_.tg11_1.xml	1894	1890	digbib	Werde, die Du bist!	Dohm, Hedwig	yes	Erzähltext	yes	no	first	chevron none
rwk1_digbib_1134-1.tsv	jupiter	Dohm,_Hedwig_Wie_Frauen_werden.tg10_1.xml	1894	1890	digbib	Wie Frauen werden	Dohm, Hedwig	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1135-1.tsv	jupiter	Droste-Huelshoff,_Annette_von_Bei_uns_zulande_auf_dem_Lande.tg262_1.xml	1886	1880	digbib	Bei uns zu Lande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1135-2.tsv	jupiter	Droste-Huelshoff,_Annette_von_Bei_uns_zulande_auf_dem_Lande.tg262_1.xml	1886	1880	digbib	Bei uns zulande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	first	none
rwk1_digbib_1136-1.tsv	jupiter	Droste-Huelshoff,_Annette_von_Die_Judenbuche.tg257_1.xml	1842	1840	digbib	Die Judenbuche	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1136-3.tsv	jupiter	Droste-Huelshoff,_Annette_von_Die_Judenbuche.tg257_1.xml	1842	1840	digbib	Die Judenbuche	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1141-1.tsv	jupiter	Duncker,_Dora_Muetter.tg7_1.xml	1897	1890	digbib	Mütter	Duncker, Dora	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1142-1.tsv	jupiter	Duncker,_Dora_Seine_Letzte.tg12_1.xml	1905	1900	digbib	Seine Letzte	Duncker, Dora	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1144-1.tsv	jupiter	Duncker,_Dora_Unueberwindlich.tg13_1.xml	1905	1900	digbib	Unüberwindlich	Duncker, Dora	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1145-3.tsv	jupiter	Ebner-Eschenbach,_Marie_von_Agave.tg126_1.xml	1903	1900	digbib	Agave	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron
