tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Angeklagte	-	angeklagter	NN	N.Reg.Nom.Sg.Masc	yes	-	frame.1	speaker.1	-	-
:	-	--	$.	SYM.Pun.Colon	no	-	frame.1	-	-	-
»	-	»	$(	N.Name.Nom.Sg.*	no	direct.speech.1	-	-	-	-
Ja	-	ja	PTKANT	PART.Ans	no	direct.speech.1	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.speech.1	-	-	-	-
«	-	«	$(	CARD	no	direct.speech.1	-	-	-	-
–	-	–	ADJA	N.Reg.*.*.Neut	no	-	-	-	-	-
Vorsitzender	-	vorsitzend	NN	N.Reg.Nom.Sg.Masc	no	-	frame.2	speaker.2	-	-
:	-	--	$.	SYM.Pun.Colon	no	-	frame.2	-	-	-
»	-	»	$(	CARD	yes	direct.speech.2	-	-	-	-
Damit	-	damit	PAV	PROADV.Dem	no	direct.speech.2	-	-	-	-
sind	-	sein	VAFIN	VFIN.Sein.1.Pl.Pres.Ind	no	direct.speech.2	-	-	-	-
wir	-	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	direct.speech.2	-	-	-	-
bei	-	bei	APPR	APPR.Dat	no	direct.speech.2	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Masc	no	direct.speech.2	-	-	-	-
Schwerpunkt	-	Schwerpunkt	NN	N.Reg.Dat.Sg.Masc	no	direct.speech.2	-	-	-	-
unseres	-	unser	PPOSAT	PRO.Poss.Attr.-.Gen.Sg.Masc	no	direct.speech.2	-	-	-	-
Prozesses	-	Prozeß	NN	N.Reg.Gen.Sg.Masc	no	direct.speech.2	-	-	-	-
angelangt	-	angelangen	VVPP	VPP.Full.Psp	no	direct.speech.2	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.2	-	-	-	-
der	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	direct.speech.2|reported.thought.3.border=unspec	-	-	-	-
schon	-	schon	ADV	ADV	no	direct.speech.2|reported.thought.3.border=unspec	-	-	-	-
so	-	so	ADV	ADV	no	direct.speech.2|reported.thought.3.border=unspec	-	-	-	-
lange	-	lange	ADV	ADV	no	direct.speech.2|reported.thought.3.border=unspec	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	direct.speech.2|reported.thought.3.border=unspec	-	-	-	-
öffentliche	-	öffentlich	ADJA	ADJA.Pos.Acc.Sg.Fem	no	direct.speech.2|reported.thought.3.border=unspec	-	-	-	-
Meinung	-	Meinung	NN	N.Reg.Acc.Sg.Fem	no	direct.speech.2|reported.thought.3.border=unspec	-	-	-	-
beunruhigt	-	beunruhigen	VVPP	VPP.Full.Psp	no	direct.speech.2|reported.thought.3.border=unspec	-	-	-	-
hat	-	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	direct.speech.2|reported.thought.3.border=unspec	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.speech.2|reported.thought.3.border=unspec	-	-	-	-
Ich	-	ich	PPER	PRO.Pers.Subst.1.Nom.Sg.*	yes	direct.speech.2	frame.4	speaker.4	-	-
bitte	-	bitte	VVFIN	VFIN.Full.1.Sg.Pres.Ind	no	direct.speech.2	frame.4	-	intexpr.4	-
Sie	-	sie	PPER	PRO.Pers.Subst.3.Acc.*.*	no	direct.speech.2	frame.4	-	-	-
nun	-	nun	ADV	ADV	no	direct.speech.2	frame.4	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.2	frame.4	-	-	-
mir	-	sich	PRF	PRO.Pers.Subst.1.Dat.Sg.*	no	direct.speech.2|indirect.speech.4|reported.speech.5.nonfact	-	-	-	-
noch	-	noch	ADV	ADV	no	direct.speech.2|indirect.speech.4|reported.speech.5.nonfact	-	-	-	-
einige	-	einiger	PIAT	PRO.Indef.Attr.-.Acc.Pl.Fem	no	direct.speech.2|indirect.speech.4|reported.speech.5.nonfact|reported.speech.6.nonfact	-	-	-	-
Fragen	-	Frage	NN	N.Reg.Acc.Pl.Fem	no	direct.speech.2|indirect.speech.4|reported.speech.5.nonfact|reported.speech.6.nonfact	-	-	-	-
ohne	-	ohne	APPR	APPR.Acc	no	direct.speech.2|indirect.speech.4|reported.speech.5.nonfact	-	-	-	-
Rückhalt	-	Rückhalt	NN	N.Reg.Acc.Sg.Masc	no	direct.speech.2|indirect.speech.4|reported.speech.5.nonfact	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	direct.speech.2|indirect.speech.4|reported.speech.5.nonfact	-	-	-	-
beantworten	-	beantworten	VVINF	VINF.Full.-	no	direct.speech.2|indirect.speech.4|reported.speech.5.nonfact	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.speech.2|indirect.speech.4|reported.speech.5.nonfact	-	-	-	-
Welches	-	welcher	PWAT	PRO.Inter.Attr.-.Acc.Sg.Neut	yes	direct.speech.2	-	-	-	-
Honorar	-	Honorar	NN	N.Reg.Acc.Sg.Neut	no	direct.speech.2	-	-	-	-
erhielten	-	erhalten	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	direct.speech.2	-	-	-	-
Sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	direct.speech.2	-	-	-	-
für	-	für	APPR	APPR.Acc	no	direct.speech.2	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	direct.speech.2	-	-	-	-
Humoreske	-	Humoreske	NN	N.Reg.Acc.Sg.Fem	no	direct.speech.2	-	-	-	-
?	-	--	$.	SYM.Pun.Sent	no	direct.speech.2	-	-	-	-
«	-	«	$(	CARD	no	direct.speech.2	-	-	-	-
–	-	–	ADJA	CARD	no	-	-	-	-	-
Angeklagte	-	angeklagter	NN	N.Reg.Acc.Pl.*	yes	-	frame.7	speaker.7	-	-
:	-	--	$.	SYM.Pun.Colon	no	-	frame.7	-	-	-
»	-	»	$(	CARD	no	direct.speech.7	-	-	-	-
Ich	-	ich	PPER	N.Reg.Nom.Sg.Neut	no	direct.speech.7|reported.writing.8	-	-	-	-
schrieb	-	schreiben	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	direct.speech.7|reported.writing.8	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	direct.speech.7|reported.writing.8	-	-	-	-
Artikel	-	Artikel	NN	N.Reg.Acc.Sg.Masc	no	direct.speech.7|reported.writing.8	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Neut	no	direct.speech.7|reported.writing.8	-	-	-	-
Interesse	-	Interesse	NN	N.Reg.Dat.Sg.Neut	no	direct.speech.7|reported.writing.8	-	-	-	-
der	-	der	ART	ART.Def.Gen.Sg.Fem	no	direct.speech.7|reported.writing.8	-	-	-	-
Kunst	-	Kunst	NN	N.Reg.Gen.Sg.Fem	no	direct.speech.7|reported.writing.8	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	direct.speech.7|reported.writing.8	-	-	-	-
der	-	der	ART	ART.Def.Gen.Sg.Fem	no	direct.speech.7|reported.writing.8	-	-	-	-
Freiheit	-	Freiheit	NN	N.Reg.Gen.Sg.Fem	no	direct.speech.7|reported.writing.8	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.speech.7|reported.writing.8	-	-	-	-
«	-	«	$(	CARD	no	direct.speech.7	-	-	-	-
–	-	–	ADJA	N.Reg.*.*.Neut	no	-	-	-	-	-
Vorsitzender	-	vorsitzend	NN	N.Reg.Nom.Sg.Masc	no	-	frame.9	speaker.9	-	-
:	-	--	$.	SYM.Pun.Colon	no	-	frame.9	-	-	-
»	-	»	$(	CARD	yes	direct.speech.9	-	-	-	-
Das	-	der	PDS	PRO.Dem.Subst.-.Nom.Sg.Neut	no	direct.speech.9	-	-	-	-
setzt	-	setzen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	direct.speech.9	-	-	-	-
mich	-	mich	PRF	PRO.Pers.Subst.1.Acc.Sg.*	no	direct.speech.9	-	-	-	-
in	-	in	APPR	APPR.In	no	direct.speech.9	-	-	-	-
Erstaunen	-	Erstaunen	NN	N.Reg.Acc.Sg.Neut	no	direct.speech.9	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.speech.9	-	-	-	-
Ihre	-	ihr	PPOSAT	PRO.Poss.Attr.-.Nom.Sg.Fem	yes	direct.speech.9	-	-	-	-
Arbeit	-	Arbeit	NN	N.Reg.Nom.Sg.Fem	no	direct.speech.9	-	-	-	-
wurde	-	werden	VAFIN	VFIN.Aux.3.Sg.Past.Ind	no	direct.speech.9	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	direct.speech.9	-	-	-	-
honoriert	-	honorieren	VVPP	VPP.Full.Psp	no	direct.speech.9	-	-	-	-
?	-	--	$.	SYM.Pun.Sent	no	direct.speech.9	-	-	-	-
«	-	«	$(	ADJA.Pos.Nom.Sg.Masc	no	direct.speech.9	-	-	-	-
–	-	–	ADJA	ADJA.Pos.Nom.Sg.Masc	yes	-	-	-	-	-
