tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
famz_9676	-	famz_9676	ADJA	FM	yes	-	-	-	-	-
grenzboten_341825_157640.txt_26.xml	-	grenzboten_341825_157640.txt_26.xml	NN	FM	no	-	-	-	-	-
1877	-	1877	CARD	CARD	no	-	-	-	-	-
1870	-	1870	CARD	CARD	no	-	-	-	-	-
famz	-	famz	ADJA	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
Johann	-	Johann	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
Huß'	-	Huß'	NE	N.Name.Gen.Sg.Masc	no	-	-	-	-	-
letzte	-	letzter	ADJA	ADJA.Pos.Nom.Sg.Fem	no	-	-	-	-	-
Lebensstunden	-	Lebensstunde	NN	N.Reg.Nom.Pl.Fem	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Tod	-	Tod	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
H.	-	H.	NE	SYM.Other.XY	no	-	-	-	-	-
Salchow	-	Salchow	NN	FM	no	-	-	-	-	-
no	-	--	VVFIN	FM	no	-	-	-	-	-
571	-	571	CARD	CARD	no	-	-	-	-	-
1	-	1	CARD	CARD	no	-	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Kaiser	-	Kaiser	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
selbst	-	selbst	ADV	ADV	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	-	-	-	-
eine	-	ein	ART	ART.Indef.Acc.Sg.Fem	no	-	-	-	-	-
güldene	-	gülden	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Krone	-	Krone	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	-	-	-	-	-
seinem	-	sein	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Neut	no	-	-	-	-	-
Haupte	-	Haupte	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
hatte	-	haben	VAFIN	VFIN.Haben.3.Sg.Past.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
saß	-	sitzen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	-	-	-	-	-
seinem	-	sein	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Masc	no	-	-	-	-	-
kaiserlichen	-	kaiserlich	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
Thron	-	Thron	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
;	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
neben	-	neben	APPR	APPR.Nom	no	-	-	-	-	-
ihm	-	ihm	PPER	PRO.Pers.Subst.3.Dat.Sg.Masc	no	-	-	-	-	-
hielte	-	halten	VVFIN	VFIN.Full.3.Sg.Past.Subj	no	-	-	-	-	-
Herzog	-	Herzog	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
Ludwig	-	Ludwig	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
von	-	von	APPR	APPR.Dat	no	-	-	-	-	-
Bayern	-	Bayern	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
Reichsapfel	-	Reichsapfel	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Masc	no	-	-	-	-	-
Kreutze	-	Kreutze	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
;	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
andern	-	anderer	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Seite	-	Seite	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
stund	-	stund	NN	ADJD.Pos	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Burggraf	-	Burggraf	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
von	-	von	APPR	APPR.Dat	no	-	-	-	-	-
Nürnberg	-	Nürnberg	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
einem	-	ein	ART	ART.Indef.Dat.Sg.Masc	no	-	-	-	-	-
blanken	-	blank	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
Schwerde	-	Schwerde	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Mitten	-	Mitte	ADV	ADV	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Kirche	-	Kirche	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
stund	-	stund	NN	ADJD.Pos	no	-	-	-	-	-
ein	-	ein	ART	ART.Indef.Nom.Sg.Masc	no	-	-	-	-	-
hoher	-	hoch	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Tisch	-	Tisch	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
darauf	-	darauf	PAV	PROADV.Dem	no	-	-	-	-	-
lag	-	liegen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
ein	-	ein	ART	ART.Indef.Acc.Sg.Neut	no	-	-	-	-	-
Meßgewand	-	Meßgewand	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
welchem	-	welcher	PRELS	PRO.Rel.Subst.-.Dat.Sg.Neut	no	-	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
Hussen	-	Hussen	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
entweyhen	-	entweyhen	VVINF	VINF.Full.-	no	-	-	-	-	-
wollten	-	wollen	VMFIN	VFIN.Mod.3.Pl.Past.Ind	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Vor	-	vor	APPR	APPR.Vor	no	-	-	-	-	-
diesen	-	dieser	PDAT	PRO.Dem.Subst.-.Acc.Sg.Masc	no	-	-	-	-	-
stellten	-	stellen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	-	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
Hussen	-	Hussen	ADJD	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
welcher	-	welcher	PWS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	-	-	-	-
niederkniete	-	niederknien	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
betete	-	beten	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.speech.1.border=unspec	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Unterdessen	-	Unterdessen	ADV	ADV	no	-	-	-	-	-
stieg	-	steigen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
Bischof	-	Bischof	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
Nandinus	-	Nandinus	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
sonst	-	sonst	ADV	ADV	no	reported.speech.2	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	reported.speech.2	-	-	-	-
Mönch	-	Mönch	NN	N.Reg.Nom.Sg.Masc	no	reported.speech.2	-	-	-	-
genannt	-	nennen	VVPP	VPP.Full.Psp	no	reported.speech.2	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
Predigtstuhl	-	Predigtstuhl	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
von	-	von	APPR	APPR.Dat	no	-	-	-	-	-
welchem	-	welcher	PRELS	PRO.Rel.Subst.-.Dat.Sg.Masc	no	-	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	reported.speech.3.nonfact	-	-	-	-
ihre	-	ihr	PPOSAT	PRO.Poss.Attr.-.Acc.Pl.Neut	no	reported.speech.3.nonfact	-	-	-	-
Decrete	-	Decret	NN	N.Reg.Acc.Pl.Neut	no	reported.speech.3.nonfact	-	-	-	-
abzulesen	-	ablesen	VVIZU	VINF.Full.zu	no	reported.speech.3.nonfact	-	-	-	-
pflegten	-	pflegen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	reported.speech.3.nonfact	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
hielt	-	halten	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.speech.4	frame.6	-	intexpr.6	-
einen	-	ein	ART	ART.Indef.Acc.Sg.Masc	no	reported.speech.4	frame.6	-	-	-
langen	-	lang	ADJA	ADJA.Pos.Acc.Sg.Masc	no	reported.speech.4	frame.6	-	-	-
Sermon	-	Sermon	NN	N.Reg.Acc.Sg.Masc	no	reported.speech.4	frame.6	-	intexpr.6	-
aus	-	aus	APPR	APPR.Dat	no	-	frame.6	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Neut	no	-	frame.6	-	-	-
sechsten	-	sechster	ADJA	ADJA.Pos.Dat.Sg.Neut	no	reported.writing.5	frame.6	-	-	-
Kapitel	-	Kapitel	NN	N.Reg.Dat.Sg.Neut	no	reported.writing.5	frame.6	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	reported.writing.5	frame.6	-	-	-
Apostels	-	Apostel	NN	N.Reg.Gen.Sg.Masc	no	reported.writing.5	frame.6	-	-	-
Pauli	-	Pauli	NE	N.Name.Nom.Sg.*	no	reported.writing.5	frame.6	-	-	-
an	-	an	APPR	APPR.An	no	reported.writing.5	frame.6	-	-	-
die	-	der	ART	ART.Def.Acc.Pl.Masc	no	reported.writing.5	frame.6	-	-	-
Römer	-	Römer	NE	N.Reg.Acc.Pl.Masc	no	reported.writing.5	frame.6	-	-	-
über	-	über	APPR	APPR.über	no	-	frame.6	-	-	-
die	-	der	ART	ART.Def.Acc.Pl.Neut	no	-	frame.6	-	-	-
Worte	-	Wort	NN	N.Reg.Acc.Pl.Neut	no	-	frame.6	-	-	-
:	-	--	$.	SYM.Pun.Colon	no	-	frame.6	-	-	-
Was	-	was	PWS	PRO.Inter.Subst.-.Acc.Sg.Neut	no	direct.speech.6	-	-	-	-
wollen	-	wollen	VMFIN	VFIN.Mod.1.Pl.Pres.Ind	no	direct.speech.6	-	-	-	-
wir	-	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	direct.speech.6	-	-	-	-
"	-	--	$(	SYM.Quot.Left	no	direct.speech.6	-	-	-	note
)	-	--	$(	SYM.Paren.Right	no	-	-	-	-	note
Wir	-	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	-	-	-	-	note
geben	-	geben	VVFIN	VFIN.Full.1.Pl.Pres.Ind	no	-	-	-	-	note
das	-	der	ART	ART.Def.Acc.Sg.Neut	no	-	-	-	-	note
Nachstehende	-	nachstehend	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	note
als	-	als	KOKOM	APPR.Als	no	-	-	-	-	note
unsern	-	unsern	ADJA	PRO.Poss.Attr.-.Acc.Sg.Masc	no	-	-	-	-	note
Beitrag	-	Beitrag	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	note
zur	-	zu	APPRART	APPRART.Dat.Sg.Fem	no	-	-	-	-	note
Jubelfeier	-	Jubelfeier	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	note
der	-	der	ART	ART.Def.Gen.Sg.Fem	no	-	-	-	-	note
römischen	-	römisch	ADJA	ADJA.Pos.Gen.Sg.Fem	no	-	-	-	-	note
Curie	-	Curie	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	note
über	-	über	APPR	APPR.über	no	-	-	-	-	note
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	note
Büßergang	-	Büßergang	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	note
Heinrichs	-	Heinrich	NE	N.Name.Nom.Sg.*	no	-	-	-	-	note
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	-	-	-	-	note
Vierten	-	vierter	NN	N.Reg.Gen.Sg.Masc	no	-	-	-	-	note
nach	-	nach	APPR	APPR.Dat	no	-	-	-	-	note
Canossa	-	Canossa	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	note
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	note
unsern	-	unsern	ADJD	PRO.Poss.Attr.-.Acc.Sg.Masc	no	-	-	-	-	note
„Freiheitskämpfern"	-	„Freiheitskämpfern"	ADJD	N.Reg.Acc.Sg.Masc	no	-	-	-	-	note
vom	-	von	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	note
schwarzen	-	schwarz	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	note
Centrum	-	Centrum	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	note
liebevoll	-	liebevoll	ADJD	ADJD.Pos	no	-	-	-	-	note
