tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Beobachtungen	-	Beobachtung	NN	N.Reg.Nom.Pl.Fem	yes	-	-	-	-	-
an	-	an	APPR	APPR.An	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Wetterwarte	-	Wetterwarte	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
der	-	der	ART	ART.Def.Gen.Sg.Fem	no	-	-	-	-	-
Landes-Obst-	-	Landes-Obst	TRUNC	TRUNC.Noun	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Weinbauschule	-	Weinbauschule	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
Marburg	-	Marburg	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
von	-	von	APPR	APPR.Dat	yes	-	-	-	-	-
Montag	-	Montag	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
10.	-	10.	ADJA	ADJA.Pos.Acc.Sg.Masc	no	-	-	-	-	-
bis	-	bis	KON	APPR.Bis	no	-	-	-	-	-
einschließlich	-	einschließlich	APPR	APPR.Gen	no	-	-	-	-	-
Sonntag	-	Sonntag	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
16.	-	16.	ADJA	ADJA.Pos.Acc.Sg.Masc	no	-	-	-	-	-
November	-	November	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
1913.	-	1913.	ADJA	ADJA.Pos.Acc.Sg.Masc	no	-	-	-	-	-
Tag	-	Tag	NN	N.Reg.Acc.Sg.Masc	yes	-	-	-	-	-
