tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
„Das	-	„das	NN	ADJA.Pos.Nom.Sg.Neut	yes	direct.writing.1	-	-	-	-
zinstragende	-	zinstragend	ADJA	ADJA.Pos.Nom.Sg.Neut	no	direct.writing.1	-	-	-	-
Kapital	-	Kapital	NN	N.Reg.Nom.Sg.Neut	no	direct.writing.1	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	direct.writing.1	-	-	-	-
das	-	der	ART	ART.Def.Nom.Sg.Neut	no	direct.writing.1	-	-	-	-
Kapital	-	Kapital	NN	N.Reg.Nom.Sg.Neut	no	direct.writing.1	-	-	-	-
als	-	als	KOKOM	APPR.Als	no	direct.writing.1	-	-	-	-
Eigentum	-	Eigentum	NN	N.Reg.Acc.Sg.Neut	yes	direct.writing.1	-	-	-	-
gegenüber	-	gegenüber	APPR	APPR.Dat	yes	direct.writing.1	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Neut	no	direct.writing.1	-	-	-	-
Kapital	-	Kapital	NN	N.Reg.Dat.Sg.Neut	no	direct.writing.1	-	-	-	-
als	-	als	KOKOM	APPR.Als	no	direct.writing.1	-	-	-	-
Funktion	-	Funktion	NN	N.Reg.Acc.Sg.Fem	yes	direct.writing.1	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.writing.1	-	-	-	-
“	-	“	NN	CARD	yes	direct.writing.1	-	-	-	-
Beide	-	Beide	PIS	PRO.Indef.Subst.-.Nom.Pl.*	yes	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
Geldkapitalist	-	Geldkapitalist	NN	ADJD.Pos	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
fungierender	-	fungierend	ADJA	ADJD.Comp	no	-	-	-	-	-
(	-	--	$(	SYM.Paren.Left	no	-	-	-	-	-
industrieller	-	industriell	ADJA	ADJD.Comp	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
produktiver	-	produktiv	ADJA	ADJD.Comp	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
aktiver	-	aktiv	ADJA	ADJD.Comp	no	-	-	-	-	-
)	-	--	$(	SYM.Paren.Right	no	-	-	-	-	-
Kapitalist	-	Kapitalist	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
(	-	--	$(	SYM.Paren.Left	no	-	-	-	-	-
Unternehmer	-	Unternehmer	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
)	-	--	$(	SYM.Paren.Right	no	-	-	-	-	-
sind	-	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	reported.speech.2	-	-	-	-
begrifflich	-	begrifflich	ADJD	ADJD.Pos	no	reported.speech.2	-	-	-	-
auch	-	auch	ADV	ADV	no	reported.speech.2	-	-	-	-
dann	-	dann	ADV	ADV	no	reported.speech.2	-	-	-	-
scharf	-	scharf	ADJD	ADJD.Pos	no	reported.speech.2	-	-	-	-
auseinanderzuhalten	-	auseinanderhalten	VVIZU	VINF.Full.zu	no	reported.speech.2	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
wenn	-	wenn	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
konkretem	-	konkret	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
Fall	-	Fall	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
ein	-	ein	PTKVZ	PART.Verb	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
dieselbe	-	derselbe	PDAT	PRO.Dem.Attr.-.Acc.Sg.Fem	no	-	-	-	-	-
Person	-	Person	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
sind	-	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
