tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Hector	-	Hector	NE	N.Name.Nom.Sg.Masc	yes	-	-	-	-	-
Berlioz	-	Berlioz	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
D	-	D	NN	N.Reg.*.*.*	yes	-	-	-	-	-
ieser	-	ieser	ADJA	ADJA.Pos.Nom.Sg.Masc	yes	-	-	-	-	-
ausgezeichnete	-	ausgezeichnet	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
französische	-	französisch	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Musiker	-	Musiker	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
seinen	-	sein	PPOSAT	PRO.Poss.Attr.-.Dat.Pl.Fem	no	-	-	-	-	-
großartigen	-	großartig	ADJA	ADJA.Pos.Dat.Pl.Fem	no	-	-	-	-	-
Compositionen	-	Composition	NN	N.Reg.Dat.Pl.Fem	no	-	-	-	-	-
namentlich	-	namentlich	ADJD	ADV	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
Instrumentalmusik	-	Instrumentalmusik	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	-	-	-	-	-
eine	-	ein	PIS	ART.Indef.Acc.Sg.Fem	no	-	-	-	-	-
früher	-	früh	ADV	ADV	no	-	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
dagewesene	-	dagewesen	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Höhe	-	Höhe	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
emporgebracht	-	emporbringen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
hat	-	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
ward	-	werden	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
am	-	an	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
11.	-	11.	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
December	-	December	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
1803	-	1803	CARD	CARD	no	-	-	-	-	-
zu	-	zu	APPR	APPR.Dat	no	-	-	-	-	-
La-C	-	La-C	NE	N.Name.Dat.Sg.*	no	-	-	-	-	-
ô	-	Ô	ADJA	FM	yes	-	-	-	-	-
te-St.-André	-	te-st.-andré	NN	FM	yes	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
Departement	-	Departement	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
Isère	-	Isère	ADJD	N.Name.Nom.Sg.Neut	no	-	-	-	-	-
geboren	-	gebären	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
wo	-	wo	PWAV	PROADV.Inter	no	-	-	-	-	-
sein	-	sein	PPOSAT	PRO.Poss.Attr.-.Nom.Sg.Masc	no	-	-	-	-	-
Vater	-	Vater	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
als	-	als	KOKOM	APPR.Als	no	reported.thought.1.border=unspec	-	-	-	-
geschätzter	-	geschätzt	ADJA	ADJA.Pos.Nom.Sg.Masc	no	reported.thought.1.border=unspec	-	-	-	-
Arzt	-	Arzt	NN	N.Reg.Nom.Sg.Masc	no	reported.thought.1.border=unspec	-	-	-	-
wirkte	-	wirken	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	yes	-	-	-	-	-
junge	-	jung	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Hector	-	Hector	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
war	-	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	-	-	-	-	-
auch	-	auch	ADV	ADV	no	-	-	-	-	-
zunächst	-	zunächst	ADV	ADV	no	-	-	-	-	-
für	-	für	APPR	APPR.Acc	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
medicinische	-	medicinisch	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
