file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_mkhz_1012-short.tsv	mars	nn_auswandererzeitung037_1852_7.xml	1852	1850	mkhz.auswandererzeitung	Colonisationsprojekt von Santa Cruz in der Provinz Rio Grande do Sul in Brasilien	Undefined	no	Reportage	no	no	first	german
rwk1_digbib_201-1.tsv	mars	Altenberg,_Peter_Tulpen.tg148_1.xml	1901	1900	digbib	Tulpen	Altenberg, Peter	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_300-1.tsv	mars	Bartsch,_Karl_1630___Himmelsbrief__Ein_Graf_hatte_einen_Diener_.tg2957_1.xml	1879	1870	digbib	1630. Himmelsbrief: Ein Graf hatte einen Diener	Bartsch, Karl	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_517-1.tsv	mars	Bartsch,_Karl_589__Die_sieben_Steine_bei_Spornitz.tg782_1.xml	1879	1870	digbib	589. Die sieben Steinebei Spornitz	Bartsch, Karl	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_855-1.tsv	mars	Birlinger,_Anton_580__Graf_Stadion_und_das_Uebelmaennlein.tg819_1.xml	1861	1860	digbib	580. Graf Stadion und das Uebelmännlein	Birlinger, Anton	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_934-2.tsv	mars	Bjørnson,_Bjørnstjerne_Synnoeve_Solbakken.tg4_1.xml	1857	1850	digbib	Synnöve Solbakken	Bjørnson, Bjørnstjerne	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1017-1.tsv	mars	Busch,_Wilhelm_Eduards_Traum.tg643_1.xml	1891	1890	digbib	Eduards Traum	Busch, Wilhelm	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1019-3.tsv	mars	Cechov,_Anton_Pavlovic_Die_Dame_mit_dem_Huendchen.tg5_1.xml	1899	1890	digbib	Die Dame mit dem Hündchen	Cechov, Anton Pavlovi?	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1038-2.tsv	mars	Christen,_Ada_Als_er_heimkehrte.tg330_1.xml	1884	1880	digbib	Als er heim kehrte	Christen, Ada	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1039-1.tsv	mars	Christen,_Ada_Der_einsame_Spatz.tg328_1.xml	1884	1880	digbib	Der einsame Spatz	Christen, Ada	yes	Erzähltext	yes	no	third	chevron
