tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Niemand	-	niemand	PIS	PRO.Indef.Subst.-.Nom.Sg.Masc	yes	reported.thought.1.nonfact	-	-	-	-
denkt	-	denken	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	reported.thought.1.nonfact	-	-	-	-
aber	-	aber	ADV	ADV	no	reported.thought.1.nonfact	-	-	-	-
in	-	in	APPR	APPR.In	no	reported.thought.1.nonfact	-	-	-	-
Mitteleuropa	-	Mitteleuropa	NE	N.Name.Dat.Sg.Neut	no	reported.thought.1.nonfact	-	-	-	-
selbst	-	selbst	ADV	ADV	no	reported.thought.1.nonfact	-	-	-	-
an	-	an	APPR	APPR.An	no	reported.thought.1.nonfact	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	reported.thought.1.nonfact	-	-	-	-
Schaffung	-	Schaffung	NN	N.Reg.Acc.Sg.Fem	no	reported.thought.1.nonfact	-	-	-	-
eines	-	ein	ART	ART.Indef.Gen.Sg.Neut	no	reported.thought.1.nonfact	-	-	-	-
solchen	-	solcher	PIAT	PRO.Indef.Attr.-.Gen.Sg.Neut	no	reported.thought.1.nonfact	-	-	-	-
Imperiums	-	Imperium	NN	N.Reg.Gen.Sg.Neut	no	reported.thought.1.nonfact	-	-	-	-
;	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	reported.speech.2	-	-	-	-
wer	-	wer	PWS	PRO.Inter.Subst.-.Nom.Sg.Masc	no	reported.speech.2	-	-	-	-
anderwärts	-	anderwärts	ADV	ADV	no	reported.speech.2	-	-	-	-
davon	-	davon	PAV	PROADV.Dem	no	reported.speech.2	-	-	-	-
spricht	-	sprechen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	reported.speech.2	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
setzt	-	setzen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	frame.3	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	frame.3	-	-	-
