tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	yes	-	frame.1	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	frame.1	-	-	-
ein	-	ein	ART	ART.Indef.Nom.Sg.Neut	no	-	frame.1	-	-	-
altes	-	alt	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	frame.1	-	-	-
Sprüchwort	-	Sprüchwort	NN	N.Reg.Nom.Sg.Neut	no	-	frame.1	-	intexpr.1	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	indirect.speech.1.prag	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Neut	no	indirect.speech.1.prag	-	-	-	-
Lachen	-	lachen	NN	N.Reg.Dat.Sg.Neut	no	indirect.speech.1.prag	-	-	-	-
nichts	-	nichts	PIS	PRO.Indef.Subst.-.*.*.Neut	no	indirect.speech.1.prag	-	-	-	-
näher	-	nah	ADJD	ADJD.Comp	no	indirect.speech.1.prag	-	-	-	-
steht	-	stehen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	indirect.speech.1.prag	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	indirect.speech.1.prag	-	-	-	-
als	-	als	KOUS	CONJ.Comp.-	no	indirect.speech.1.prag	-	-	-	-
das	-	der	ART	PRO.Dem.Subst.-.Acc.Sg.Neut	no	indirect.speech.1.prag	-	-	-	-
Weinen	-	Weinen	NN	VINF.Full.-	no	indirect.speech.1.prag	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	reported.speech.2	-	-	-	-
nach	-	nach	APPR	APPR.Dat	no	reported.speech.2	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	reported.speech.2	-	-	-	-
Aussage	-	Aussage	NN	N.Reg.Dat.Sg.Fem	no	reported.speech.2	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	reported.speech.2	-	-	-	-
Arztes	-	Arzt	NN	N.Reg.Gen.Sg.Masc	no	reported.speech.2	-	-	-	-
Lempi	-	Lempi	ADJA	FM	no	reported.speech.2	-	-	-	-
è	-	È	XY	FM	no	reported.speech.2	-	-	-	-
re	-	re	ADJD	FM	no	reported.speech.2	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	reported.speech.2	-	-	-	-
das	-	der	ART	PRO.Dem.Subst.-.Nom.Sg.Neut	no	reported.speech.2	-	-	-	-
Eine	-	ein	NN	ART.Indef.Nom.Sg.Fem	no	reported.speech.2	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	reported.speech.2	-	-	-	-
natürliche	-	natürlich	ADJA	ADJA.Pos.Nom.Sg.Fem	no	reported.speech.2	-	-	-	-
Folge	-	Folge	NN	N.Reg.Nom.Sg.Fem	no	reported.speech.2	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.*	no	reported.speech.2	-	-	-	-
