file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_mkhz_2567-short.tsv	mercury	nn_chronik104_1845_4.xml	1845	1840	mkhz.chronik	Forstamt Tübingen. Revier Einsiedel. Holz	Undefined	no	Anzeige	no	no	third	undef
rwk1_digbib_384-1.tsv	mercury	Bartsch,_Karl_2__Ein_Siegfried_Maerchen.tg876_1.xml	1879	1870	digbib	2. Ein Siegfried-Märchen	Bartsch, Karl	yes	Erzähltext	yes	no	third	other
rwk1_digbib_945-1.tsv	mercury	Buechner,_Luise_Die_Fee_von_Argouges.tg105_1.xml	1878	1870	digbib	Die Fee von Argouges	Büchner, Luise	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1041-1.tsv	mercury	Christen,_Ada_Nachbar_Krippelmacher.tg329_1.xml	1884	1880	digbib	Nachbar Krippelmacher	Christen, Ada	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1140-2.tsv	mercury	Duncker,_Dora_Jugend.tg11_1.xml	1905	1900	digbib	Jugend	Duncker, Dora	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1145-4.tsv	mercury	Ebner-Eschenbach,_Marie_von_Agave.tg126_1.xml	1903	1900	digbib	Agave	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1153-1.tsv	mercury	Ebner-Eschenbach,_Marie_von_Ein_Spaetgeborner.tg95_1.xml	1875	1870	digbib	Ein Spätgeborner	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1159-1.tsv	mercury	Eichendorff,_Joseph_von_Die_Gluecksritter.tg598_1.xml	1841	1840	digbib	Die Glücksritter	Eichendorff, Joseph von	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_1162-1.tsv	mercury	Federer,_Heinrich_Der_gestohlene_Koenig_von_Belgien.tg15_1.xml	1911	1910	digbib	Der gestohlene König von Belgien	Federer, Heinrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1176-1.tsv	mercury	Franzos,_Karl_Emil_Leib_Weihnachtskuchen_und_sein_Kind.tg56_1.xml	1896	1890	digbib	Leib Weihnachtskuchen und sein Kind	Franzos, Karl Emil	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1194-1.tsv	mercury	Gogol,_Nikolaj_Vasilevic_Der_Mantel.tg8_1.xml	1842	1840	digbib	Der Mantel	Gogol, Nikolaj Vasilevi?	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1196-1.tsv	mercury	Gotthelf,_Jeremias_Das_Erdbeerimareili.tg65_1.xml	1850	1850	digbib	Das Erdbeeri Mareili	Gotthelf, Jeremias	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_1290-1.tsv	mercury	Jahn,_Ulrich_Das_wunderbare_Stoecklein.tg7_1.xml	1890	1890	digbib	Das wunderbare Stöcklein	Jahn, Ulrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1324-1.tsv	mercury	Janitschek,_Maria_Neue_Erziehung_und_alte_Moral.tg109_1.xml	1902	1900	digbib	Neue Erziehung und alte Moral	Janitschek, Maria	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1328-4.tsv	mercury	Jensen,_Wilhelm_Gradiva.tg4_1.xml	1903	1900	digbib	Gradiva	Jensen, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1330-3.tsv	mercury	Keller,_Gottfried_Das_Sinngedicht.tg830_1.xml	1882	1880	digbib	Das Sinngedicht	Keller, Gottfried	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1335-1.tsv	mercury	Keller,_Gottfried_Dietegen.tg811_1.xml	1874	1870	digbib	Dietegen	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1343-1.tsv	mercury	Keller,_Gottfried_Spiegel__das_Kaetzchen__Ein_Maerchen.tg806_1.xml	1856	1850	digbib	Spiegel, das Kätzchen. Ein Märchen	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron other
rwk1_digbib_1346-1.tsv	mercury	Keyserling,_Eduard_von_Schwuele_Tage.tg53_1.xml	1904	1900	digbib	Schwüle Tage	Keyserling, Eduard von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1865-1.tsv	mercury	Kurz,_Hermann_Die_beiden_Tubus.tg48_1.xml	1859	1850	digbib	Die beiden Tubus	Kurz, Hermann	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1865-2.tsv	mercury	Kurz,_Hermann_Die_beiden_Tubus.tg48_1.xml	1859	1850	digbib	Die beiden Tubus	Kurz, Hermann	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1869-2.tsv	mercury	Leskov,_Semenovic_Nikolaj_Die_Lady_Makbeth_des_Mzensker_Landkreises.tg27_1.xml	1865	1860	digbib	Die Lady Makbeth des Mzensker Landkreises	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1966-1.tsv	mercury	Meyer,_Conrad_Ferdinand_Angela_Borgia.tg421_1.xml	1891	1890	digbib	Angela Borgia	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1967-2.tsv	mercury	Meyer,_Conrad_Ferdinand_Das_Amulett.tg330_1.xml	1873	1870	digbib	Das Amulett	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	no	first	chevron other
rwk1_digbib_1968-1.tsv	mercury	Meyer,_Conrad_Ferdinand_Das_Leiden_eines_Knaben.tg406_1.xml	1883	1880	digbib	Das Leiden eines Knaben	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	no	third	chevron other
rwk1_digbib_1968-2.tsv	mercury	Meyer,_Conrad_Ferdinand_Das_Leiden_eines_Knaben.tg406_1.xml	1883	1880	digbib	Das Leiden eines Knaben	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	no	first	other
rwk1_digbib_2028-4.tsv	mercury	Moellhausen,_Balduin_Die_Mandanenwaise.tg4_1.xml	1865	1860	digbib	Die Mandanenwaise	Möllhausen, Balduin	yes	Erzähltext	yes	no	first	undef
