tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
mes	-	m	ADJD	N.Name.Nom.Sg.*	yes	-	-	-	-	-
bewohnt	-	bewohnen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Fem	no	reported.speech.9	-	speaker.9	-	-
heute	-	heute	ADV	ADV	no	reported.speech.9	-	-	-	-
zu	-	zu	APPR	APPR.Dat	no	reported.speech.9	-	-	-	-
neun	-	neun	CARD	CARD	no	reported.speech.9	-	-	-	-
Zehnteln	-	Zehntel	NN	N.Reg.Dat.Pl.Neut	no	reported.speech.9	-	-	-	-
noch	-	noch	ADV	ADV	no	reported.speech.9	-	-	-	-
in	-	in	APPR	APPR.In	no	reported.speech.9	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	reported.speech.9	-	-	-	-
Familie	-	Familie	NN	N.Reg.Dat.Sg.Fem	no	reported.speech.9	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	reported.speech.9	-	-	-	-
grödnerische	-	grödnerisch	ADJA	ADJA.Pos.Acc.Sg.Fem	no	reported.speech.9	-	-	-	-
Mundart	-	Mundart	NN	N.Reg.Acc.Sg.Fem	no	reported.speech.9	-	-	-	-
reden	-	reden	VVINF	VINF.Full.-	no	reported.speech.9	-	-	intexpr.9	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
jedoch	-	jedoch	ADV	ADV	no	-	-	-	-	-
durch	-	durch	APPR	APPR.Acc	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
zunehmenden	-	zunehmend	ADJA	ADJA.Pos.Acc.Sg.Masc	no	-	-	-	-	-
Fremdenverkehr	-	Fremdenverkehr	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
immer	-	immer	ADV	ADV	no	-	-	-	-	-
stärker	-	stark	ADJD	ADJD.Comp	no	-	-	-	-	-
werdenden	-	werdend	ADJA	ADJA.Pos.Acc.Pl.Fem	no	-	-	-	-	-
Handelsbeziehungen	-	Handelsbeziehung	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
genöthigt	-	nöthigen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
werden	-	werden	VAINF	VINF.Aux.-	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
das	-	der	ART	ART.Def.Acc.Sg.Neut	no	-	-	-	-	-
Deutsche	-	deutsche	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
gründlich	-	gründlich	ADJD	ADJD.Pos	no	-	-	-	-	-
