tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Der	-	der	ART	ART.Def.Nom.Sg.Masc	yes	-	-	-	-	-
Platz	-	Platz	NN	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
für	-	für	APPR	APPR.Acc	yes	-	-	-	-	-
das	-	der	ART	ART.Def.Acc.Sg.Neut	no	-	-	-	-	-
Parlamentsgebäude	-	Parlamentsgebäude	NN	N.Reg.Acc.Sg.Neut	yes	-	-	-	-	-
kommt	-	kommen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	yes	-	-	-	-	-
allein	-	allein	ADV	ADV	no	-	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	-	-	-	-	-
das	-	der	ART	ART.Def.Acc.Sg.Neut	no	-	-	-	-	-
anständige	-	anständig	ADJA	ADJA.Pos.Acc.Sg.Neut	no	-	-	-	-	-
Sümmchen	-	Sümmchen	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
von	-	von	APPR	APPR.Dat	no	-	-	-	-	-
Fr	-	Fr	NE	N.Name.Dat.Sg.Fem	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
2,000	-	2,000	ADV	CARD	no	-	-	-	-	-
,000	-	,000	CARD	CARD	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
sage	-	sagen	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	-	-	-	-	-
zwei	-	zwei	CARD	CARD	yes	-	-	-	-	-
Millionen	-	Million	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
Franken	-	Franken	NN	N.Reg.*.*.Masc	no	-	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	yes	-	-	-	-	-
stehen	-	stehen	VVINF	VINF.Full.-	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
—	-	—	NN	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
Uri	-	Uri	NE	N.Name.Nom.Sg.Masc	yes	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Das	-	der	ART	ART.Def.Nom.Sg.Neut	yes	-	frame.1	-	-	-
„Urner	-	„urner	NN	ADJA.Pos.*.*.*	no	-	frame.1	speaker.1	-	-
Wochenblatt“	-	Wochenblatt“	NN	N.Reg.Nom.Sg.Neut	no	-	frame.1	speaker.1	-	-
meldet	-	melden	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	frame.1	-	intexpr.1	-
:	-	--	$.	SYM.Pun.Colon	no	-	frame.1	-	-	-
„Kaum	-	„kaum	NN	CARD	yes	direct.writing.1	-	-	-	-
haben	-	haben	VAFIN	VFIN.Haben.3.Pl.Pres.Ind	no	direct.writing.1	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	direct.writing.1	-	-	-	-
Russen	-	Russe	NN	N.Reg.Nom.Pl.Masc	no	direct.writing.1	-	-	-	-
vom	-	von	APPRART	APPRART.Dat.Sg.Masc	no	direct.writing.1	-	-	-	-
Bundesrate	-	Bundesrate	NN	N.Reg.Dat.Sg.Masc	no	direct.writing.1	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	direct.writing.1	-	-	-	-
Erlaubnis	-	Erlaubnis	NN	N.Reg.Acc.Sg.Fem	no	direct.writing.1	-	-	-	-
erhalten	-	erhalten	VVPP	VFIN.Full.3.Pl.Pres.Ind	no	direct.writing.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.1	-	-	-	-
bei	-	bei	APPR	APPR.Dat	no	direct.writing.1	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	direct.writing.1	-	-	-	-
Teufelsbrücke	-	Teufelsbruck	NN	N.Reg.Dat.Sg.Fem	no	direct.writing.1	-	-	-	-
ein	-	ein	ART	ART.Indef.Acc.Sg.Neut	no	direct.writing.1	-	-	-	-
