tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Den	-	der	ART	ART.Def.Dat.Pl.Fem	yes	direct.speech.5|indirect freeIndirect.speech.1	-	-	-	-
deutschfeindlichen	-	deutschfeindlich	ADJA	ADJA.Pos.Dat.Pl.Fem	no	direct.speech.5|indirect freeIndirect.speech.1	-	-	-	-
Ausstreuungen	-	Ausstreuung	NN	N.Reg.Dat.Pl.Fem	no	direct.speech.5|indirect freeIndirect.speech.1	-	-	-	-
habe	-	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Subj	no	direct.speech.5|indirect freeIndirect.speech.1	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	direct.speech.5|indirect freeIndirect.speech.1	-	-	-	-
japanische	-	japanisch	ADJA	ADJA.Pos.Nom.Sg.Fem	no	direct.speech.5|indirect freeIndirect.speech.1	-	-	-	-
Regierung	-	Regierung	NN	N.Reg.Nom.Sg.Fem	no	direct.speech.5|indirect freeIndirect.speech.1	-	-	-	-
niemals	-	niemals	ADV	ADV	no	direct.speech.5|indirect freeIndirect.speech.1	-	-	-	-
Glauben	-	Glaube	NN	N.Reg.Acc.Sg.Masc	no	direct.speech.5|indirect freeIndirect.speech.1	-	-	-	-
geschenkt	-	schenken	VVPP	VPP.Full.Psp	no	direct.speech.5|indirect freeIndirect.speech.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.5|indirect freeIndirect.speech.1	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	no	direct.speech.5|indirect freeIndirect.speech.1	frame.2	speaker.2	-	-
wisse	-	wissen	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	direct.speech.5|indirect freeIndirect.speech.1	frame.2	-	intexpr.2	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.5|indirect freeIndirect.speech.1	frame.2	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	direct.speech.5|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
gegen	-	gegen	APPR	APPR.Acc	no	direct.speech.5|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
uns	-	uns	PPER	PRO.Pers.Subst.1.Acc.Pl.*	no	direct.speech.5|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
Jntriguen	-	Jntriguen	NN	N.Reg.Nom.Pl.Fem	no	direct.speech.5|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
spielen	-	spielen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	direct.speech.5|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
....	-	....	ADJA	CARD	no	direct.speech.5|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
............................	-	............................	NN	N.Reg.*.*.Neut	no	direct.speech.5	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	no	direct.speech.5	frame.3	-	-	-
japanische	-	japanisch	ADJA	ADJA.Pos.Nom.Sg.Masc	no	direct.speech.5	frame.3	-	-	-
Minister	-	Minister	NN	N.Reg.Nom.Sg.Masc	no	direct.speech.5	frame.3	speaker.3	-	-
fährt	-	fahren	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	direct.speech.5	frame.3	-	intexpr.3	-
fort	-	fort	PTKVZ	PART.Verb	no	direct.speech.5	frame.3	-	intexpr.3	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.5	frame.3	-	-	-
auch	-	auch	ADV	ADV	no	direct.speech.5|indirect.speech.3	-	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	direct.speech.5|indirect.speech.3	-	-	-	-
habe	-	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Subj	no	direct.speech.5|indirect.speech.3	-	-	-	-
keinen	-	kein	PIAT	PRO.Indef.Attr.-.Acc.Sg.Masc	no	direct.speech.5|indirect.speech.3	-	-	-	-
Grund	-	Grund	NN	N.Reg.Acc.Sg.Masc	no	direct.speech.5|indirect.speech.3	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.5|indirect.speech.3	-	-	-	-
uns	-	uns	PPER	PRO.Pers.Subst.1.Acc.Pl.*	no	direct.speech.5|indirect.speech.3	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	direct.speech.5|indirect.speech.3	-	-	-	-
mißtrauen	-	mißtrauen	VVINF	VINF.Full.-	no	direct.speech.5|indirect.speech.3	-	-	-	-
oder	-	oder	KON	CONJ.Coord.-	no	direct.speech.5|indirect.speech.3	-	-	-	-
über	-	über	APPR	APPR.über	no	direct.speech.5|indirect.speech.3	-	-	-	-
