tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Wer	-	wer	PWS	PRO.Inter.Subst.-.Nom.Sg.Masc	yes	direct.writing.5	-	-	-	-
diesen	-	dieser	PDS	PRO.Dem.Attr.-.Acc.Sg.Masc	no	direct.writing.5	-	-	-	-
geschrieben	-	schreiben	VVPP	ADJD.Pos	no	direct.writing.5	-	-	-	-
bei	-	bei	APPR	APPR.Dat	no	direct.writing.5	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Dat.Sg.*	no	direct.writing.5	-	-	-	-
trägt	-	tragen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	direct.writing.5	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.5	-	-	-	-
dem	-	der	PDS	PRO.Dem.Subst.-.Dat.Sg.Neut	no	direct.writing.5	-	-	-	-
wird	-	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	direct.writing.5	-	-	-	-
nichts	-	nichts	PIS	PRO.Indef.Subst.-.*.*.Neut	no	direct.writing.5	-	-	-	-
schaden	-	schaden	VVINF	VINF.Full.-	no	direct.writing.5	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.5	-	-	-	-
es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	direct.writing.5	-	-	-	-
wird	-	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	direct.writing.5	-	-	-	-
ihn	-	ihn	PPER	PRO.Pers.Subst.3.Acc.Sg.Masc	no	direct.writing.5	-	-	-	-
nichts	-	nichts	PIS	PRO.Indef.Subst.-.*.*.Neut	no	direct.writing.5	-	-	-	-
treffen	-	treffen	VVINF	VINF.Full.-	no	direct.writing.5	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.5	-	-	-	-
das	-	der	ART	ART.Def.Acc.Sg.Neut	no	direct.writing.5	-	-	-	-
Geschütz	-	Geschütz	NN	N.Reg.Acc.Sg.Neut	no	direct.writing.5	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	direct.writing.5	-	-	-	-
Waffen	-	Waffe	NN	N.Reg.Acc.Pl.Fem	no	direct.writing.5	-	-	-	-
wird	-	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	direct.writing.5	-	-	-	-
Gott	-	Gott	NN	N.Reg.Nom.Sg.Masc	no	direct.writing.5	-	-	-	-
