tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Den	-	der	ART	ART.Def.Dat.Pl.Fem	yes	direct.speech.7|reported.thought.27.nonfact	-	-	-	-
deutschfeindlichen	-	deutschfeindlich	ADJA	ADJA.Pos.Dat.Pl.Fem	no	direct.speech.7|reported.thought.27.nonfact	-	-	-	-
Ausstreuungen	-	Ausstreuung	NN	N.Reg.Dat.Pl.Fem	no	direct.speech.7|reported.thought.27.nonfact	-	-	-	-
habe	-	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Subj	no	direct.speech.7|reported.thought.27.nonfact	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	direct.speech.7|reported.thought.27.nonfact	-	-	-	-
japanische	-	japanisch	ADJA	ADJA.Pos.Nom.Sg.Fem	no	direct.speech.7|reported.thought.27.nonfact	-	-	-	-
Regierung	-	Regierung	NN	N.Reg.Nom.Sg.Fem	no	direct.speech.7|reported.thought.27.nonfact	-	-	-	-
niemals	-	niemals	ADV	ADV	no	direct.speech.7|reported.thought.27.nonfact	-	-	-	-
Glauben	-	Glaube	NN	N.Reg.Acc.Sg.Masc	no	direct.speech.7|reported.thought.27.nonfact	-	-	-	-
geschenkt	-	schenken	VVPP	VPP.Full.Psp	no	direct.speech.7|reported.thought.27.nonfact	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.7|reported.thought.27.nonfact	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	no	direct.speech.7|indirect freeIndirect.speech.1	frame.2	speaker.2	-	-
wisse	-	wissen	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	direct.speech.7|indirect freeIndirect.speech.1	frame.2	-	intexpr.2	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.7|indirect freeIndirect.speech.1	-	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	direct.speech.7|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
gegen	-	gegen	APPR	APPR.Acc	no	direct.speech.7|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
uns	-	uns	PPER	PRO.Pers.Subst.1.Acc.Pl.*	no	direct.speech.7|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
Jntriguen	-	Jntriguen	NN	N.Reg.Nom.Pl.Fem	no	direct.speech.7|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
spielen	-	spielen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	direct.speech.7|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
....	-	....	ADJA	CARD	no	direct.speech.7|indirect freeIndirect.speech.1|indirect.thought.2.border=state	-	-	-	-
............................	-	............................	NN	N.Reg.*.*.Neut	no	direct.speech.7	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	no	direct.speech.7	frame.3	-	-	-
japanische	-	japanisch	ADJA	ADJA.Pos.Nom.Sg.Masc	no	direct.speech.7	frame.3	-	-	-
Minister	-	Minister	NN	N.Reg.Nom.Sg.Masc	no	direct.speech.7	frame.3	speaker.3	-	-
fährt	-	fahren	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	direct.speech.7	frame.3	-	intexpr.3	-
fort	-	fort	PTKVZ	PART.Verb	no	direct.speech.7	frame.3	-	intexpr.3	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.7	frame.3	-	-	-
auch	-	auch	ADV	ADV	no	direct.speech.7|indirect.speech.3	-	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	direct.speech.7|indirect.speech.3	-	-	-	-
habe	-	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Subj	no	direct.speech.7|indirect.speech.3	-	-	-	-
keinen	-	kein	PIAT	PRO.Indef.Attr.-.Acc.Sg.Masc	no	direct.speech.7|indirect.speech.3	-	-	-	-
Grund	-	Grund	NN	N.Reg.Acc.Sg.Masc	no	direct.speech.7|indirect.speech.3	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.7|indirect.speech.3	-	-	-	-
uns	-	uns	PPER	PRO.Pers.Subst.1.Acc.Pl.*	no	direct.speech.7|indirect.speech.3	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	direct.speech.7|indirect.speech.3	-	-	-	-
mißtrauen	-	mißtrauen	VVINF	VINF.Full.-	no	direct.speech.7|indirect.speech.3	-	-	-	-
oder	-	oder	KON	CONJ.Coord.-	no	direct.speech.7|indirect.speech.3	-	-	-	-
über	-	über	APPR	APPR.über	no	direct.speech.7|indirect.speech.3|reported.speech.28	-	-	-	-
uns	-	uns	PPER	PRO.Pers.Subst.1.Acc.Pl.*	no	direct.speech.7|indirect.speech.3|reported.speech.28	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	direct.speech.7|indirect.speech.3|reported.speech.28	-	-	-	-
klagen	-	klagen	VVINF	VINF.Full.-	no	direct.speech.7|indirect.speech.3|reported.speech.28	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.speech.7|indirect.speech.3|reported.speech.28	-	-	-	-
Er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
lege	-	legen	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
gute	-	gut	ADJA	ADJA.Pos.Acc.Pl.Fem	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
Beziehungen	-	Beziehung	NN	N.Reg.Acc.Pl.Fem	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
zu	-	zu	APPR	APPR.Dat	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
Deutschland	-	Deutschland	NE	N.Name.Dat.Sg.Neut	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
größten	-	groß	ADJA	ADJA.Sup.Acc.Sg.Masc	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
Wert	-	Wert	NN	N.Reg.Acc.Sg.Masc	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
sehe	-	sehen	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
zu	-	zu	APPR	APPR.Dat	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
Kollisionen	-	Kollision	NN	N.Reg.Dat.Pl.Fem	no	direct.speech.7|indirect freeIndirect.speech.4	-	-	-	-
