tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	yes	-	frame.3	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	frame.3	-	-	-
ein	-	ein	ART	ART.Indef.Nom.Sg.Neut	no	-	frame.3	-	-	-
altes	-	alt	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	frame.3	-	-	-
Sprüchwort	-	Sprüchwort	NN	N.Reg.Nom.Sg.Neut	no	-	frame.3	-	intexpr.3	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	indirect.speech.3	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Neut	no	indirect.speech.3	-	-	-	-
Lachen	-	lachen	NN	N.Reg.Dat.Sg.Neut	no	indirect.speech.3	-	-	-	-
nichts	-	nichts	PIS	PRO.Indef.Subst.-.*.*.Neut	no	indirect.speech.3	-	-	-	-
näher	-	nah	ADJD	ADJD.Comp	no	indirect.speech.3	-	-	-	-
steht	-	stehen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	indirect.speech.3	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	indirect.speech.3	-	-	-	-
als	-	als	KOUS	CONJ.Comp.-	no	indirect.speech.3	-	-	-	-
das	-	der	ART	PRO.Dem.Subst.-.Acc.Sg.Neut	no	indirect.speech.3	-	-	-	-
Weinen	-	Weinen	NN	VINF.Full.-	no	indirect.speech.3	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	indirect.speech.3	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	reported.speech.2	-	-	-	-
nach	-	nach	APPR	APPR.Dat	no	reported.speech.2	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	reported.speech.2	-	-	-	-
Aussage	-	Aussage	NN	N.Reg.Dat.Sg.Fem	no	reported.speech.2	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	reported.speech.2	-	-	-	-
Arztes	-	Arzt	NN	N.Reg.Gen.Sg.Masc	no	reported.speech.2	-	-	-	-
Lempi	-	Lempi	ADJA	FM	no	reported.speech.2	-	-	-	-
è	-	È	XY	FM	no	reported.speech.2	-	-	-	-
re	-	re	ADJD	FM	no	reported.speech.2	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	reported.speech.2	-	-	-	-
