file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_mkhz_1012-short.xmi	saturn	nn_auswandererzeitung037_1852_7.xml	1852	1850	mkhz.auswandererzeitung	Colonisationsprojekt von Santa Cruz in der Provinz Rio Grande do Sul in Brasilien	Undefined	no	Reportage	no	no	first	german
rwk1_digbib_300-1.xmi	saturn	Bartsch,_Karl_1630___Himmelsbrief__Ein_Graf_hatte_einen_Diener_.tg2957_1.xml	1879	1870	digbib	1630. Himmelsbrief: Ein Graf hatte einen Diener	Bartsch, Karl	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1020-2.xmi	saturn	Cechov,_Anton_Pavlovic_Gram.tg4_1.xml	1886	1880	digbib	Gram	Cechov, Anton Pavlovi?	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1020-3.xmi	saturn	Cechov,_Anton_Pavlovic_Gram.tg4_1.xml	1886	1880	digbib	Gram	Cechov, Anton Pavlovi?	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1029-1.xmi	saturn	Christ,_Lena_Die_Freier.tg56_1.xml	1919	1910	digbib	Die Freier	Christ, Lena	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_1039-1.xmi	saturn	Christen,_Ada_Der_einsame_Spatz.tg328_1.xml	1884	1880	digbib	Der einsame Spatz	Christen, Ada	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1040-1.xmi	saturn	Christen,_Ada_Kaethes_Federhut.tg326_1.xml	1876	1870	digbib	Käthes Federhut	Christen, Ada	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1057-1.xmi	saturn	Colshorn,_Carl_und_Theodor_23__Die_Zwerge_im_Guebichenstein.tg29_1.xml	1854	1850	digbib	23. Die Zwerge im Gübichenstein	Colshorn, Carl und Theodor	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1133-1.xmi	saturn	Dohm,_Hedwig_Werde__die_Du_bist_.tg11_1.xml	1894	1890	digbib	Werde, die Du bist!	Dohm, Hedwig	yes	Erzähltext	yes	no	first	chevron none
rwk1_digbib_1135-2.xmi	saturn	Droste-Huelshoff,_Annette_von_Bei_uns_zulande_auf_dem_Lande.tg262_1.xml	1886	1880	digbib	Bei uns zulande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	first	none
rwk1_digbib_1136-3.xmi	saturn	Droste-Huelshoff,_Annette_von_Die_Judenbuche.tg257_1.xml	1842	1840	digbib	Die Judenbuche	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1140-1.xmi	saturn	Duncker,_Dora_Jugend.tg11_1.xml	1905	1900	digbib	Jugend	Duncker, Dora	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1141-1.xmi	saturn	Duncker,_Dora_Muetter.tg7_1.xml	1897	1890	digbib	Mütter	Duncker, Dora	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1145-2.xmi	saturn	Ebner-Eschenbach,_Marie_von_Agave.tg126_1.xml	1903	1900	digbib	Agave	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1145-3.xmi	saturn	Ebner-Eschenbach,_Marie_von_Agave.tg126_1.xml	1903	1900	digbib	Agave	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1147-2.xmi	saturn	Ebner-Eschenbach,_Marie_von_Der_gute_Mond.tg120_1.xml	1884	1880	digbib	Der gute Mond	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1148-2.xmi	saturn	Ebner-Eschenbach,_Marie_von_Der_Herr_Hofrat.tg132_1.xml	1915	1910	digbib	Der Herr Hofrat	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1153-2.xmi	saturn	Ebner-Eschenbach,_Marie_von_Ein_Spaetgeborner.tg95_1.xml	1875	1870	digbib	Ein Spätgeborner	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1159-1.xmi	saturn	Eichendorff,_Joseph_von_Die_Gluecksritter.tg598_1.xml	1841	1840	digbib	Die Glücksritter	Eichendorff, Joseph von	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_1159-2.xmi	saturn	Eichendorff,_Joseph_von_Die_Gluecksritter.tg598_1.xml	1841	1840	digbib	Die Glücksritter	Eichendorff, Joseph von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1160-2.xmi	saturn	Essig,_Hermann_Der_Wetterfrosch.tg21_1.xml	1919	1910	digbib	Der Wetterfrosch	Essig, Hermann	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1162-1.xmi	saturn	Federer,_Heinrich_Der_gestohlene_Koenig_von_Belgien.tg15_1.xml	1911	1910	digbib	Der gestohlene König von Belgien	Federer, Heinrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1167-2.xmi	saturn	Fontane,_Theodor_Grete_Minde.tg704_1.xml	1879	1870	digbib	Grete Minde	Fontane, Theodor	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1168-2.xmi	saturn	Fontane,_Theodor_Mathilde_Moehring.tg787_1.xml	1906	1900	digbib	Mathilde Möhring	Fontane, Theodor	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1170-2.xmi	saturn	Fontane,_Theodor_Unterm_Birnbaum.tg766_1.xml	1885	1880	digbib	Unterm Birnbaum	Fontane, Theodor	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_1176-1.xmi	saturn	Franzos,_Karl_Emil_Leib_Weihnachtskuchen_und_sein_Kind.tg56_1.xml	1896	1890	digbib	Leib Weihnachtskuchen und sein Kind	Franzos, Karl Emil	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1179-1.xmi	saturn	Franzos,_Karl_Emil_Zwei_Retter.tg49_1.xml	1877	1870	digbib	Zwei Retter	Franzos, Karl Emil	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1181-2.xmi	saturn	François,_Louise_von_Der_Katzenjunker.tg58_1.xml	1879	1870	digbib	Der Katzenjunker	François, Louise von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1184-2.xmi	saturn	François,_Louise_von_Judith__die_Kluswirtin.tg47_1.xml	1862	1860	digbib	Judith, die Kluswirtin	François, Louise von	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1185-1.xmi	saturn	François,_Louise_von_Phosphorus_Hollunder.tg46_1.xml	1857	1850	digbib	Phosphorus Hollunder	François, Louise von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1186-1.xmi	saturn	Frapan,_Ilse_Altmodische_Leute.tg13_1.xml	1890	1890	digbib	Altmodische Leute	Frapan, Ilse	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_1194-1.xmi	saturn	Gogol,_Nikolaj_Vasilevic_Der_Mantel.tg8_1.xml	1842	1840	digbib	Der Mantel	Gogol, Nikolaj Vasilevi?	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1196-1.xmi	saturn	Gotthelf,_Jeremias_Das_Erdbeerimareili.tg65_1.xml	1850	1850	digbib	Das Erdbeeri Mareili	Gotthelf, Jeremias	yes	Erzähltext	yes	yes_DS	third	chevron
rwk1_digbib_1197-2.xmi	saturn	Gotthelf,_Jeremias_Die_schwarze_Spinne.tg63_1.xml	1842	1840	digbib	Die schwarze Spinne	Gotthelf, Jeremias	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1209-2.xmi	saturn	Heyking,_Elisabeth_von_Ueber_einen_Hund_und_die_Monroe_Doktrin.tg76_1.xml	1905	1900	digbib	Der Begleiter	Heiseler, Henry von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1217-2.xmi	saturn	Heyse,_Paul_Andrea_Delfin.tg565_1.xml	1862	1860	digbib	Andrea Delfin	Heyse, Paul	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1221-1.xmi	saturn	Hofmannsthal,_Hugo_von_Erlebnis_des_Marschalls_von_Bassompierre.tg362_1.xml	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1290-1.xmi	saturn	Jahn,_Ulrich_Das_wunderbare_Stoecklein.tg7_1.xml	1890	1890	digbib	Das wunderbare Stöcklein	Jahn, Ulrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1319-1.xmi	saturn	Janitschek,_Maria_Koenigin_Judith.tg42_1.xml	1895	1890	digbib	Königin Judith	Janitschek, Maria	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1324-1.xmi	saturn	Janitschek,_Maria_Neue_Erziehung_und_alte_Moral.tg109_1.xml	1902	1900	digbib	Neue Erziehung und alte Moral	Janitschek, Maria	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1329-2.xmi	saturn	Keller,_Gottfried_Das_Faehnlein_der_sieben_Aufrechten.tg823_1.xml	1860	1860	digbib	Das Fähnlein der sieben Aufrechten	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1330-2.xmi	saturn	Keller,_Gottfried_Das_Sinngedicht.tg830_1.xml	1882	1880	digbib	Das Sinngedicht	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1333-1.xmi	saturn	Keller,_Gottfried_Der_Narr_auf_Manegg.tg820_1.xml	1877	1870	digbib	Der Narr auf Manegg	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1335-1.xmi	saturn	Keller,_Gottfried_Dietegen.tg811_1.xml	1874	1870	digbib	Dietegen	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1343-1.xmi	saturn	Keller,_Gottfried_Spiegel__das_Kaetzchen__Ein_Maerchen.tg806_1.xml	1856	1850	digbib	Spiegel, das Kätzchen. Ein Märchen	Keller, Gottfried	yes	Erzähltext	yes	no	third	chevron other
rwk1_digbib_1345-2.xmi	saturn	Keyserling,_Eduard_von_Beate_und_Mareile.tg41_1.xml	1903	1900	digbib	Beate und Mareile	Keyserling, Eduard von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1359-1.xmi	saturn	Klabund_Die_Briefmarke_auf_der_Feldpostkarte.tg453_1.xml	1918	1910	digbib	Die Briefmarke auf der Feldpostkarte	Klabund	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1364-1.xmi	saturn	Klabund_Hoelderlin.tg468_1.xml	1918	1910	digbib	Hölderlin	Klabund	yes	Erzähltext	yes	no	first	none
rwk1_digbib_1508-1.xmi	saturn	Kuhn,_Adalbert_186__Raeuber_Danneil.tg663_1.xml	1848	1840	digbib	186. Räuber Danneil	Kuhn, Adalbert	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1851-1.xmi	saturn	Kuhn,_Adalbert_9__Der_starke_Hans.tg2663_1.xml	1859	1850	digbib	9. Der starke Hans	Kuhn, Adalbert	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1865-1.xmi	saturn	Kurz,_Hermann_Die_beiden_Tubus.tg48_1.xml	1859	1850	digbib	Die beiden Tubus	Kurz, Hermann	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1866-1.xmi	saturn	Leskov,_Semenovic_Nikolaj_Das_Tier.tg10_1.xml	1883	1880	digbib	Das Tier	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1968-1.xmi	saturn	Meyer,_Conrad_Ferdinand_Das_Leiden_eines_Knaben.tg406_1.xml	1883	1880	digbib	Das Leiden eines Knaben	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	no	third	chevron other
rwk1_digbib_1995-1.xmi	saturn	Meyrink,_Gustav_Der_heisse_Soldat.tg82_1.xml	1913	1910	digbib	Der heiße Soldat	Meyrink, Gustav	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1869-1.xmi	saturn	Leskov,_Semenovic_Nikolaj_Die_Lady_Makbeth_des_Mzensker_Landkreises.tg27_1.xml	1865	1860	digbib	Die Lady Makbeth des Mzensker Landkreises	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1869-2.xmi	saturn	Leskov,_Semenovic_Nikolaj_Die_Lady_Makbeth_des_Mzensker_Landkreises.tg27_1.xml	1865	1860	digbib	Die Lady Makbeth des Mzensker Landkreises	Leskov, Semënovi? Nikolaj	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1871-1.xmi	saturn	Lichtenstein,_Alfred_Cafe_Kloesschen.tg125_1.xml	1919	1910	digbib	Cafe Klößchen	Lichtenstein, Alfred	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1872-1.xmi	saturn	Lichtenstein,_Alfred_Der_Freund.tg118_1.xml	1911	1910	digbib	Der Freund	Lichtenstein, Alfred	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1886-1.xmi	saturn	Liliencron,_Detlev_von_Unter_flatternden_Fahnen.tg262_1.xml	1888	1880	digbib	Unter flatternden Fahnen	Liliencron, Detlev von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1890-1.xmi	saturn	Marlitt,_Eugenie_Amtmanns_Magd.tg123_1.xml	1881	1880	digbib	Amtmanns Magd	Marlitt, Eugenie	yes	Erzähltext	yes	no	third	chevron
