tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Noch	-	noch	ADV	ADV	yes	-	-	-	-	-
giebt	-	gieben	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	-	-	-	-	-
Scharen	-	Schar	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
von	-	von	APPR	APPR.Dat	no	-	-	-	-	-
Arbeitern	-	Arbeiter	NN	N.Reg.Dat.Pl.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	-	der	PRELS	PRO.Rel.Subst.-.Acc.Pl.Masc	no	-	-	-	-	-
selten	-	selten	ADJD	ADJD.Pos	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
noch	-	noch	ADV	ADV	no	-	-	-	-	-
giebt	-	gieben	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	-	-	-	-	-
tausende	-	tausend	ADJA	ADJA.Pos.Acc.Pl.Fem	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	-	der	PRELS	PRO.Rel.Subst.-.Nom.Pl.Fem	no	-	-	-	-	-
nie	-	nie	ADV	ADV	no	-	-	-	-	-
einen	-	ein	ART	ART.Indef.Acc.Sg.Masc	no	-	-	-	-	-
Sonntag	-	Sonntag	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
haben	-	haben	VAINF	VFIN.Haben.3.Pl.Pres.Ind	no	-	-	-	-	-
;	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
zu	-	zu	APPR	APPR.Dat	no	-	-	-	-	-
ihnen	-	ihnen	PPER	PRO.Pers.Subst.3.Dat.Pl.*	no	-	-	-	-	-
gehören	-	gehören	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
meisten	-	meister	PIAT	PRO.Indef.Attr.-.Nom.Pl.Masc	no	-	-	-	-	-
Bäcker	-	Bäcker	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Kellner	-	Kellner	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Wir	-	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	yes	-	-	-	-	-
kennen	-	kennen	VVFIN	VFIN.Full.1.Pl.Pres.Ind	no	-	-	-	-	-
persönlich	-	persönlich	ADJD	ADJD.Pos	no	-	-	-	-	-
Knaben	-	Knabe	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
von	-	von	APPR	APPR.Dat	no	-	-	-	-	-
vierzehn	-	vierzehn	CARD	CARD	no	-	-	-	-	-
bis	-	bis	KON	CONJ.Coord.Bis	no	-	-	-	-	-
siebzehn	-	siebzehn	CARD	CARD	no	-	-	-	-	-
Jahren	-	Jahr	NN	N.Reg.Dat.Pl.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	-	der	PRELS	PRO.Rel.Subst.-.Nom.Pl.Neut	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
Jahre	-	Jahr	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
365	-	365	ADJA	CARD	no	-	-	-	-	-
sechzehn-	-	sechzehn	TRUNC	TRUNC.Adj	no	-	-	-	-	-
bis	-	bis	KON	CONJ.Coord.Bis	no	-	-	-	-	-
achtzehnstündige	-	achtzehnstündig	ADJA	ADJA.Pos.Acc.Pl.Masc	no	-	-	-	-	-
Arbeitstage	-	Arbeitstag	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
haben	-	haben	VAINF	VINF.Haben.-	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
In	-	in	APPR	APPR.In	yes	-	frame.1	-	-	-
einer	-	ein	ART	ART.Indef.Dat.Sg.Fem	no	-	frame.1	-	-	-
neuern	-	neuern	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	frame.1	-	-	-
Petition	-	Petition	NN	N.Reg.Dat.Sg.Fem	no	-	frame.1	-	-	-
von	-	von	APPR	APPR.Dat	no	-	frame.1	-	-	-
Bäckermeistern	-	Bäckermeister	NN	N.Reg.Dat.Pl.Masc	no	-	frame.1	speaker.1	-	-
wird	-	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	-	frame.1	-	-	-
gebeten	-	bitten	VVPP	VPP.Full.Psp	no	-	frame.1	-	intexpr.1	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	indirect.writing.1	-	-	-	-
Bäckereiverordnung	-	Bäckereiverordnung	NN	N.Reg.Acc.Sg.Fem	no	indirect.writing.1	-	-	-	-
entweder	-	entweder	KON	ADV	no	indirect.writing.1	-	-	-	-
aufzuheben	-	aufheben	VVIZU	VINF.Full.zu	no	indirect.writing.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	indirect.writing.1	-	-	-	-
oder	-	oder	KON	CONJ.Coord.-	no	indirect.writing.1|reported.writing.2.nonfact	-	-	-	-
