tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Vom	-	von	APPRART	APPRART.Dat.Sg.Masc	yes	-	-	-	-	-
Tage	-	Tag	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
(	-	--	$(	SYM.Paren.Left	yes	-	-	-	-	-
Drei	-	drei	CARD	CARD	no	-	-	-	-	-
Königstöchter	-	Königstöchter	NN	N.Reg.Nom.Pl.Fem	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
)	-	--	$(	SYM.Paren.Right	no	-	-	-	-	-
Eine	-	ein	ART	ART.Indef.Nom.Sg.Fem	yes	reported.writing.1.metaph	-	-	-	-
reizende	-	reizend	ADJA	ADJA.Pos.Nom.Sg.Fem	no	reported.writing.1.metaph	-	-	-	-
Idylle	-	Idyll	NN	N.Reg.Nom.Sg.Fem	no	reported.writing.1.metaph	-	-	-	-
aus	-	aus	APPR	APPR.Dat	no	reported.writing.1.metaph	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Neut	no	reported.writing.1.metaph	-	-	-	-
Leben	-	Leben	NN	N.Reg.Dat.Sg.Neut	no	reported.writing.1.metaph	-	-	-	-
dreier	-	drei	ADJA	ADJA.Pos.Gen.Pl.Fem	no	reported.writing.1.metaph	-	-	-	-
Fürstinnen	-	Fürstin	NN	N.Reg.Gen.Pl.Fem	no	reported.writing.1.metaph	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	reported.writing.1.metaph	-	-	-	-
es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	reported.writing.1.metaph	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.writing.1.metaph	-	-	-	-
welche	-	welcher	PRELS	PRO.Rel.Subst.-.Nom.Sg.Fem	no	reported.writing.1.metaph	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	reported.writing.1.metaph	-	-	-	-
Pariser	-	Pariser	NN	ADJA.Pos.*.*.*	no	reported.writing.1.metaph	-	-	-	-
