tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Wie	-	wie	KOUS	PROADV.Inter	yes	-	-	-	-	-
hoch	-	hoch	ADJD	ADJD.Pos	no	-	-	-	-	-
beläuft	-	belaufen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Gewinnantheil	-	Gewinnantheil	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
der	-	der	ART	ART.Def.Gen.Pl.Masc	no	-	-	-	-	-
Arbeitnehmer	-	Arbeitnehmer	NN	N.Reg.Gen.Pl.Masc	no	-	-	-	-	-
a	-	--	FM	N.Name.*.*.*	yes	-	-	-	-	-
)	-	--	$(	SYM.Paren.Right	yes	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
Verhältniß	-	Verhältniß	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
zum	-	zu	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
Reinertrag	-	Reinertrag	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Neut	no	-	-	-	-	-
Geschäfts	-	Geschäft	NN	N.Reg.Gen.Sg.Neut	no	-	-	-	-	-
?	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
b	-	b	NE	SYM.Other.XY	yes	-	-	-	-	-
)	-	--	$(	SYM.Paren.Right	yes	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
Verhältniß	-	Verhältniß	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
zu	-	zu	APPR	APPR.Dat	no	-	-	-	-	-
den	-	der	ART	ART.Def.Dat.Pl.Masc	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
Geschäftsjahr	-	Geschäftsjahr	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
bezogenen	-	bezogen	ADJA	ADJA.Pos.Dat.Pl.Masc	no	-	-	-	-	-
Löhnen	-	Lohn	NN	N.Reg.Dat.Pl.Masc	no	-	-	-	-	-
?	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
5.	-	5.	ADJA	ADV	yes	-	-	-	-	-
Welche	-	welcher	PIAT	PRO.Inter.Attr.-.Nom.Pl.Neut	yes	-	-	-	-	-
Gewinnantheile	-	Gewinnantheil	NN	N.Reg.Nom.Pl.Neut	no	-	-	-	-	-
oder	-	oder	KON	CONJ.Coord.-	no	-	-	-	-	-
Prämien	-	Prämie	NN	N.Reg.Nom.Pl.Fem	no	-	-	-	-	-
ec	-	ec	NE	ADJD.Pos	yes	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
sind	-	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	yes	-	-	-	-	-
bisher	-	bisher	ADV	ADV	no	-	-	-	-	-
ausgezahlt	-	auszahlen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
worden	-	werden	VAPP	VPP.Aux.Psp	no	-	-	-	-	-
--	-	-	$(	FM	no	-	-	-	-	-
bis	-	bis	KON	APPR.Bis	no	-	-	-	-	-
zum	-	zu	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
Jahre	-	Jahr	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
