file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_mkhz_2567-short.xmi	uranus	nn_chronik104_1845_4.xml	1845	1840	mkhz.chronik	Forstamt Tübingen. Revier Einsiedel. Holz	Undefined	no	Anzeige	no	no	third	undef
rwk1_digbib_201-1.xmi	uranus	Altenberg,_Peter_Tulpen.tg148_1.xml	1901	1900	digbib	Tulpen	Altenberg, Peter	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_384-1.xmi	uranus	Bartsch,_Karl_2__Ein_Siegfried_Maerchen.tg876_1.xml	1879	1870	digbib	2. Ein Siegfried-Märchen	Bartsch, Karl	yes	Erzähltext	yes	no	third	other
rwk1_digbib_517-1.xmi	uranus	Bartsch,_Karl_589__Die_sieben_Steine_bei_Spornitz.tg782_1.xml	1879	1870	digbib	589. Die sieben Steinebei Spornitz	Bartsch, Karl	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_855-1.xmi	uranus	Birlinger,_Anton_580__Graf_Stadion_und_das_Uebelmaennlein.tg819_1.xml	1861	1860	digbib	580. Graf Stadion und das Uebelmännlein	Birlinger, Anton	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_934-2.xmi	uranus	Bjørnson,_Bjørnstjerne_Synnoeve_Solbakken.tg4_1.xml	1857	1850	digbib	Synnöve Solbakken	Bjørnson, Bjørnstjerne	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1017-1.xmi	uranus	Busch,_Wilhelm_Eduards_Traum.tg643_1.xml	1891	1890	digbib	Eduards Traum	Busch, Wilhelm	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1020-2.xmi	uranus	Cechov,_Anton_Pavlovic_Gram.tg4_1.xml	1886	1880	digbib	Gram	Cechov, Anton Pavlovi?	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1038-2.xmi	uranus	Christen,_Ada_Als_er_heimkehrte.tg330_1.xml	1884	1880	digbib	Als er heim kehrte	Christen, Ada	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1039-1.xmi	uranus	Christen,_Ada_Der_einsame_Spatz.tg328_1.xml	1884	1880	digbib	Der einsame Spatz	Christen, Ada	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1041-1.xmi	uranus	Christen,_Ada_Nachbar_Krippelmacher.tg329_1.xml	1884	1880	digbib	Nachbar Krippelmacher	Christen, Ada	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1057-1.xmi	uranus	Colshorn,_Carl_und_Theodor_23__Die_Zwerge_im_Guebichenstein.tg29_1.xml	1854	1850	digbib	23. Die Zwerge im Gübichenstein	Colshorn, Carl und Theodor	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1135-3.xmi	uranus	Droste-Huelshoff,_Annette_von_Bei_uns_zulande_auf_dem_Lande.tg262_1.xml	1886	1880	digbib	Bei uns zulande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	first	chevron none
rwk1_digbib_1140-1.xmi	uranus	Duncker,_Dora_Jugend.tg11_1.xml	1905	1900	digbib	Jugend	Duncker, Dora	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1140-2.xmi	uranus	Duncker,_Dora_Jugend.tg11_1.xml	1905	1900	digbib	Jugend	Duncker, Dora	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1143-2.xmi	uranus	Duncker,_Dora_Sturm.tg8_1.xml	1897	1890	digbib	Sturm	Duncker, Dora	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1145-4.xmi	uranus	Ebner-Eschenbach,_Marie_von_Agave.tg126_1.xml	1903	1900	digbib	Agave	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1152-1.xmi	uranus	Ebner-Eschenbach,_Marie_von_Die_Poesie_des_Unbewussten.tg112_1.xml	1881	1880	digbib	Die Poesie des Unbewussten	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1153-3.xmi	uranus	Ebner-Eschenbach,_Marie_von_Ein_Spaetgeborner.tg95_1.xml	1875	1870	digbib	Ein Spätgeborner	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1165-2.xmi	uranus	Federer,_Heinrich_Vater_und_Sohn_im_Examen.tg27_1.xml	1911	1910	digbib	Vater und Sohn im Examen	Federer, Heinrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1166-1.xmi	uranus	Fontane,_Theodor_Ellernklipp.tg725_1.xml	1881	1880	digbib	Ellernklipp	Fontane, Theodor	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1168-3.xmi	uranus	Fontane,_Theodor_Mathilde_Moehring.tg787_1.xml	1906	1900	digbib	Mathilde Möhring	Fontane, Theodor	yes	Erzähltext	yes	no	unsure	chevron
rwk1_digbib_1171-1.xmi	uranus	Franzos,_Karl_Emil_Das_Christusbild.tg54_1.xml	1877	1870	digbib	Das Christusbild	Franzos, Karl Emil	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1181-3.xmi	uranus	François,_Louise_von_Der_Katzenjunker.tg58_1.xml	1879	1870	digbib	Der Katzenjunker	François, Louise von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1194-3.xmi	uranus	Gogol,_Nikolaj_Vasilevic_Der_Mantel.tg8_1.xml	1842	1840	digbib	Der Mantel	Gogol, Nikolaj Vasilevi?	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1199-2.xmi	uranus	Grillparzer,_Franz_Der_arme_Spielmann.tg1810_1.xml	1847	1840	digbib	Der arme Spielmann	Grillparzer, Franz	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1199-3.xmi	uranus	Grillparzer,_Franz_Der_arme_Spielmann.tg1810_1.xml	1847	1840	digbib	Der arme Spielmann	Grillparzer, Franz	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1201-2.xmi	uranus	Hartleben,_Otto_Erich_Vom_Gastfreien_Pastor.tg261_1.xml	1895	1890	digbib	Vom Gastfreien Pastor	Hartleben, Otto Erich	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1201-3.xmi	uranus	Hartleben,_Otto_Erich_Vom_Gastfreien_Pastor.tg261_1.xml	1895	1890	digbib	Vom Gastfreien Pastor	Hartleben, Otto Erich	yes	Erzähltext	yes	no	first	dash chevron other
rwk1_digbib_1202-2.xmi	uranus	Hebbel,_Friedrich_Der_Rubin.tg982_1.xml	1843	1840	digbib	Der Rubin	Hebbel, Friedrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1204-1.xmi	uranus	Hebbel,_Friedrich_Matteo.tg970_1.xml	1841	1840	digbib	Matteo	Hebbel, Friedrich	yes	Erzähltext	yes	no	third	dash chevron
rwk1_digbib_1205-2.xmi	uranus	Heiseler,_Henry_von_Der_Begleiter.tg21_1.xml	1919	1910	digbib	Der Tag Anderer	Heyking, Elisabeth von	yes	Erzähltext	yes	no	third	dash none
rwk1_digbib_1205-3.xmi	uranus	Heiseler,_Henry_von_Der_Begleiter.tg21_1.xml	1919	1910	digbib	Über einen Hund und die Monroe-Doktrin	Heyking, Elisabeth von	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1209-2.xmi	uranus	Heyking,_Elisabeth_von_Ueber_einen_Hund_und_die_Monroe_Doktrin.tg76_1.xml	1905	1900	digbib	Der Begleiter	Heiseler, Henry von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1217-3.xmi	uranus	Heyse,_Paul_Andrea_Delfin.tg565_1.xml	1862	1860	digbib	Andrea Delfin	Heyse, Paul	yes	Erzähltext	yes	no	third	chevron none
rwk1_digbib_1218-2.xmi	uranus	Heyse,_Paul_L__Arrabbiata.tg564_1.xml	1855	1850	digbib	L'Arrabbiata	Heyse, Paul	yes	Erzähltext	yes	no	third	none
rwk1_digbib_1220-2.xmi	uranus	Hofmannsthal,_Hugo_von_Die_Frau_ohne_Schatten.tg364_1.xml	1919	1910	digbib	Die Frau ohne Schatten	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1221-3.xmi	uranus	Hofmannsthal,_Hugo_von_Erlebnis_des_Marschalls_von_Bassompierre.tg362_1.xml	1900	1900	digbib	Erlebnis des Marschalls von Bassompierre	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1223-3.xmi	uranus	Hofmannsthal,_Hugo_von_Reitergeschichte.tg361_1.xml	1899	1890	digbib	Reitergeschichte	Hofmannsthal, Hugo von	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1225-2.xmi	uranus	Holz,_Arno_Ein_Tod.tg457_1.xml	1889	1880	digbib	Ein Tod	Holz, Arno	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1230-1.xmi	uranus	Jahn,_Ulrich_13__Hans_Wunderlich.tg39_1.xml	1891	1890	digbib	13. Hans Wunderlich	Jahn, Ulrich	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1313-1.xmi	uranus	Janitschek,_Maria_Elias.tg66_1.xml	1897	1890	digbib	Elias	Janitschek, Maria	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_1321-1.xmi	uranus	Janitschek,_Maria_Liebeswunder.tg69_1.xml	1900	1900	digbib	Liebeswunder	Janitschek, Maria	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1328-3.xmi	uranus	Jensen,_Wilhelm_Gradiva.tg4_1.xml	1903	1900	digbib	Gradiva	Jensen, Wilhelm	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1328-4.xmi	uranus	Jensen,_Wilhelm_Gradiva.tg4_1.xml	1903	1900	digbib	Gradiva	Jensen, Wilhelm	yes	Erzähltext	yes	no	third	chevron
