tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	yes	-	frame.1	-	-	-
sei	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Subj	no	-	frame.1	-	-	-
„das	-	„der	NN	ADJA.Pos.Nom.Sg.Neut	no	direct.speech.1	-	-	-	-
Ideal	-	Ideal	NN	N.Reg.Nom.Sg.Neut	no	direct.speech.1	-	-	-	-
der	-	der	ART	ART.Def.Gen.Pl.Masc	no	direct.speech.1	-	-	-	-
salonfähigen	-	salonfähig	ADJA	ADJA.Pos.Gen.Pl.Masc	no	direct.speech.1	-	-	-	-
Menschen	-	Mensch	NN	N.Reg.Gen.Pl.Masc	no	direct.speech.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.1	-	-	-	-
das	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Neut	no	direct.speech.1	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Masc	no	direct.speech.1	-	-	-	-
Urheber	-	Urheber	NN	N.Reg.Dat.Sg.Masc	no	reported.writing.2	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	reported.writing.2	-	-	-	-
Gesetzentwurfs	-	Gesetzentwurf	NN	N.Reg.Gen.Sg.Masc	no	reported.writing.2	-	-	-	-
als	-	als	KOKOM	APPR.Als	no	direct.speech.1	-	-	-	-
Ideal	-	Ideal	NN	N.Reg.Acc.Sg.Neut	no	direct.speech.1	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	direct.speech.1	-	-	-	-
Richters	-	Richter	NN	N.Reg.Gen.Sg.Masc	no	direct.speech.1	-	-	-	-
vorschwebe	-	vorschweben	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	direct.speech.1	-	-	-	-
,"	-	,"	NN	N.Name.Nom.Sg.*	no	direct.speech.1	-	-	-	-
während	-	während	APPR	APPR.Gen	no	direct.speech.1	-	-	-	-
doch	-	doch	ADV	ADV	no	direct.speech.1	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	direct.speech.1	-	-	-	-
„offenherzige	-	„offenherzig	ADJA	N.Reg.Nom.Sg.Masc	no	direct.speech.1	-	-	-	-
Plebejer"	-	Plebejer"	NN	N.Name.Nom.Sg.*	no	direct.speech.1	-	-	-	-
—	-	—	ADJD	N.Name.Nom.Sg.*	no	-	-	-	-	-
als	-	als	KOKOM	APPR.Als	no	-	-	-	-	-
Beispiel	-	Beispiel	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
eines	-	ein	ART	ART.Indef.Gen.Sg.Masc	no	-	-	-	-	-
solchen	-	solcher	PIAT	PRO.Indef.Attr.-.Gen.Sg.Masc	no	-	-	-	-	-
wird	-	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
bekannte	-	bekannt	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Kommentator	-	Kommentator	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Neut	no	-	-	-	-	-
preußischen	-	preußisch	ADJA	ADJA.Pos.Gen.Sg.Neut	no	-	-	-	-	-
Landrechts	-	Landrecht	NN	N.Reg.Gen.Sg.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
Chr	-	Chr	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Fr	-	Fr	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Koch	-	Koch	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
ins	-	in	APPRART	APPRART.Acc.Sg.Neut	no	-	-	-	-	-
Treffen	-	Treffen	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
geführt	-	führen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
---	-	--	ADJD	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
sittlich	-	sittlich	ADJD	ADJD.Pos	no	direct.speech.1	-	-	-	-
immer	-	immer	ADV	ADV	no	direct.speech.1	-	-	-	-
höher	-	hoch	ADJD	ADJD.Comp	no	direct.speech.1	-	-	-	-
stehe	-	stehen	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	direct.speech.1	-	-	-	-
als	-	als	KOKOM	CONJ.Comp.-	no	direct.speech.1	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	direct.speech.1	-	-	-	-
„Parvenü	-	„Parvenü	NN	N.Reg.Nom.Sg.Masc	no	direct.speech.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.1	-	-	-	-
der	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	direct.speech.1	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	direct.speech.1	-	-	-	-
seines	-	sein	PPOSAT	PRO.Poss.Attr.-.Gen.Sg.Masc	no	direct.speech.1	-	-	-	-
Ursprungs	-	Ursprung	NN	N.Reg.Gen.Sg.Masc	no	direct.speech.1	-	-	-	-
schäme	-	schämen	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	direct.speech.1	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	direct.speech.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.1	-	-	-	-
um	-	um	KOUI	CONJ.SubInf.-	no	direct.speech.1	frame.3	-	-	-
ihn	-	ihn	PPER	PRO.Pers.Subst.3.Acc.Sg.Masc	no	direct.speech.1	frame.3	speaker.3	-	-
vergessen	-	vergessen	VVINF	VINF.Full.-	no	direct.speech.1	frame.3	-	intexpr.3	-
zu	-	zu	PTKZU	PART.Zu	no	direct.speech.1	frame.3	-	-	-
machen	-	machen	VVINF	VINF.Full.-	no	direct.speech.1	frame.3	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech.1	frame.3	-	-	-
seinen	-	sein	PPOSAT	PRO.Poss.Attr.-.Dat.Pl.Fem	no	indirect.thought.3.nonfact.border=state	-	-	-	-
