tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Bunte	-	bunte	ADJA	ADJA.Pos.Nom.Sg.Fem	yes	-	-	-	-	-
Chronik	-	Chronik	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Czernowitz	-	Czernowitz	NE	N.Reg.Nom.Sg.Neut	yes	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
27.	-	27.	ADJA	ADJA.Pos.Dat.Sg.Masc	yes	-	-	-	-	-
November	-	November	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
date	-	dat	NN	VFIN.Full.3.Sg.Past.Ind	yes	-	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	yes	-	-	-	-	-
Kaiser	-	Kaiser	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Wien	-	Wien	NE	N.Name.Nom.Sg.Neut	yes	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
27.	-	27.	ADJA	ADJA.Pos.*.Sg.Masc	yes	-	-	-	-	-
November	-	November	NN	N.Reg.*.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
date	-	dat	NN	N.Reg.Nom.Sg.Fem	yes	-	-	-	-	-
(	-	--	$(	SYM.Paren.Left	yes	-	-	-	-	-
Tel	-	Tel	NE	N.Reg.Nom.Sg.*	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
„Cz	-	„Cz	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Allg	-	Allg	NN	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Ztg	-	Ztg	NE	N.Reg.Nom.Sg.Neut	yes	-	-	-	-	-
.“	-	.“	NN	CARD	no	-	-	-	-	-
)	-	--	$(	SYM.Paren.Right	no	-	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	yes	-	-	-	-	-
Kaiser	-	Kaiser	NN	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
wohnte	-	wohnen	VVFIN	VFIN.Full.3.Sg.Past.Ind	yes	-	-	-	-	-
vormittags	-	vormittags	ADV	ADV	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
ersten	-	erster	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Messe	-	Messe	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
neuerrichteten	-	neuerrichtet	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Notkirche	-	Notkirche	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
Zwischenbrücken	-	Zwischenbrücken	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
bei	-	bei	PTKVZ	PART.Verb	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
wozu	-	wozu	PWAV	PROADV.Inter	no	-	-	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Pl.Fem	no	-	-	-	-	-
gesamten	-	gesamt	ADJA	ADJA.Pos.Acc.Pl.Fem	no	-	-	-	-	-
Kosten	-	Kosten	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
gespendet	-	spenden	VVPP	VPP.Full.Psp	no	-	-	-	-	-
hatte	-	haben	VAFIN	VFIN.Haben.3.Sg.Past.Ind	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Bei	-	bei	APPR	APPR.Dat	yes	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Ankunft	-	Ankunft	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Abfahrt	-	Abfahrt	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
wurde	-	werden	VAFIN	VFIN.Aux.3.Sg.Past.Ind	no	-	-	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	-	-	-	-
von	-	von	APPR	APPR.Dat	no	-	-	-	-	-
einem	-	ein	ART	ART.Indef.Dat.Sg.Neut	no	-	-	-	-	-
zahlreichen	-	zahlreich	ADJA	ADJA.Pos.Dat.Sg.Neut	no	-	-	-	-	-
Publikum	-	Publikum	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
begeisterten	-	begeistert	ADJA	ADJA.Pos.Dat.Pl.Fem	no	-	-	-	-	-
Ovationen	-	Ovation	NN	N.Reg.Dat.Pl.Fem	no	-	-	-	-	-
begrüßt	-	begrüßen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Erdstöße	-	Erdstoß	NN	N.Reg.Nom.Pl.Masc	yes	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Roin	-	Roin	NE	N.Name.Nom.Sg.Masc	yes	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
27.	-	27.	ADJA	ADJA.Pos.*.Sg.Masc	yes	-	-	-	-	-
November	-	November	NN	N.Reg.*.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
date	-	dat	NN	N.Reg.Nom.Sg.Fem	yes	-	-	-	-	-
(	-	--	$(	SYM.Paren.Left	yes	-	-	-	-	-
Tel	-	Tel	NE	N.Reg.Nom.Sg.*	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
„Cz	-	„Cz	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Allg	-	Allg	NN	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Ztg	-	Ztg	NE	N.Name.Gen.Sg.Neut	yes	-	-	-	-	-
.“	-	.“	NN	CARD	no	-	-	-	-	-
)	-	--	$(	SYM.Paren.Right	no	-	-	-	-	-
Gestern	-	Gestern	NN	ADV	yes	reported.thought.1.border=percept	-	-	-	-
früh	-	früh	ADJD	ADJD.Pos	no	reported.thought.1.border=percept	-	-	-	-
waren	-	sein	VAFIN	VFIN.Sein.3.Pl.Past.Ind	no	reported.thought.1.border=percept	-	-	-	-
Erdstöße	-	Erdstoß	NN	N.Reg.Nom.Pl.Masc	no	reported.thought.1.border=percept	-	-	-	-
in	-	in	APPR	APPR.In	no	reported.thought.1.border=percept	-	-	-	-
Benevent	-	Benevent	NE	N.Name.Dat.Sg.Neut	no	reported.thought.1.border=percept	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.thought.1.border=percept	-	-	-	-
Faggia	-	Faggia	NE	N.Name.Dat.Sg.Neut	no	reported.thought.1.border=percept	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.thought.1.border=percept	-	-	-	-
Avellino	-	Avellino	NE	N.Name.Dat.Sg.Neut	no	reported.thought.1.border=percept	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.thought.1.border=percept	-	-	-	-
Ariano	-	Ariano	NE	N.Name.Dat.Sg.Neut	no	reported.thought.1.border=percept	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	reported.thought.1.border=percept	-	-	-	-
Neapel	-	Neapel	NE	N.Name.Dat.Sg.Neut	no	reported.thought.1.border=percept	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	reported.thought.1.border=percept	-	-	-	-
Apice-Benevent	-	Apice-Benevent	NN	ADJD.Pos	no	reported.thought.1.border=percept	-	-	-	-
bemerkbar	-	bemerkbar	ADJD	ADJD.Pos	no	reported.thought.1.border=percept	-	-	intexpr.1	-
.	-	--	$.	SYM.Pun.Sent	no	reported.thought.1.border=percept	-	-	-	-
Es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	yes	-	-	-	-	-
entstand	-	entstehen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
eine	-	ein	ART	ART.Indef.Acc.Sg.Fem	no	-	-	-	-	-
große	-	groß	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Panik	-	Panik	NN	N.Reg.Acc.Sg.Fem	yes	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
In	-	in	APPR	APPR.In	yes	-	-	-	-	-
Apice	-	Apice	NN	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
wurden	-	werden	VAFIN	VFIN.Aux.3.Pl.Past.Ind	no	-	-	-	-	-
mehrere	-	mehrere	PIAT	PRO.Indef.Attr.-.Acc.Pl.Neut	no	-	-	-	-	-
Gebäude	-	Gebäude	NN	N.Reg.Acc.Pl.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
darunter	-	darunter	PAV	PROADV.Dem	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
Kaserne	-	Kaserne	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
derart	-	derart	ADV	ADV	no	-	-	-	-	-
beschädigt	-	beschädigen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
daß	-	daß	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
geräumt	-	räumen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
werden	-	werden	VAINF	VINF.Aux.-	no	-	-	-	-	-
mußten	-	müssen	VMFIN	VFIN.Mod.3.Pl.Past.Ind	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
—	-	—	NN	N.Reg.Acc.Sg.Neut	yes	-	-	-	-	-
In	-	in	APPR	APPR.In	no	-	-	-	-	-
Ariano	-	Ariano	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
wurden	-	werden	VAFIN	VFIN.Aux.3.Pl.Past.Ind	no	-	-	-	-	-
auch	-	auch	ADV	ADV	no	-	-	-	-	-
mehrere	-	mehrere	PIAT	PRO.Indef.Attr.-.Nom.Pl.Fem	no	-	-	-	-	-
Kirchen	-	Kirche	NN	N.Reg.Nom.Pl.Fem	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
darunter	-	darunter	PAV	PROADV.Dem	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Kathedrale	-	Kathedrale	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
beschädigt	-	beschädigen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	-	der	ART	ART.Def.Nom.Pl.Fem	yes	-	-	-	-	-
verwandtschaftlichen	-	verwandtschaftlich	ADJA	ADJA.Pos.Nom.Pl.Fem	no	-	-	-	-	-
Beziehungen	-	Beziehung	NN	N.Reg.Nom.Pl.Fem	no	-	-	-	-	-
der	-	der	ART	ART.Def.Gen.Sg.Fem	no	-	-	-	-	-
englischen	-	englisch	ADJA	ADJA.Pos.Gen.Sg.Fem	no	-	-	-	-	-
Königsfamilie	-	Königsfamilie	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Aus	-	Aus	APPR	APPR.Dat	yes	-	frame.2	-	-	-
London	-	London	NE	N.Name.Dat.Sg.Neut	yes	-	frame.2	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.2	-	-	-
23.	-	23.	ADJA	ADJA.Pos.Dat.Sg.Masc	yes	-	frame.2	-	-	-
November	-	November	NN	N.Reg.Dat.Sg.Masc	no	-	frame.2	-	-	-
wird	-	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	-	frame.2	-	-	-
uns	-	uns	PPER	PRO.Pers.Subst.1.Dat.Pl.*	no	-	frame.2	-	-	-
geschrieben	-	schreiben	VVPP	VPP.Full.Psp	no	-	frame.2	-	intexpr.2	-
:	-	--	$.	SYM.Pun.Colon	no	-	frame.2	-	-	-
Die	-	der	ART	ART.Def.Nom.Sg.Fem	yes	direct.writing.2	-	-	-	-
Königswahl	-	Königswahl	NN	N.Reg.Nom.Sg.Fem	no	direct.writing.2	-	-	-	-
der	-	der	ART	ART.Def.Gen.Pl.Masc	no	direct.writing.2	-	-	-	-
Norweger	-	Norweger	NN	N.Reg.Gen.Pl.Masc	no	direct.writing.2	-	-	-	-
hat	-	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	direct.writing.2	-	-	-	-
aus	-	aus	APPR	APPR.Dat	no	direct.writing.2	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	direct.writing.2	-	-	-	-
jüngsten	-	jung	ADJA	ADJA.Sup.Dat.Sg.Fem	no	direct.writing.2	-	-	-	-
Tochter	-	Tochter	NN	N.Reg.Dat.Sg.Fem	no	direct.writing.2	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Masc	no	direct.writing.2	-	-	-	-
Königs	-	König	NE	N.Reg.Gen.Sg.Masc	no	direct.writing.2	-	-	-	-
Eduard	-	Eduard	NE	N.Name.Nom.Sg.Masc	no	direct.writing.2	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.2	-	-	-	-
der	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	direct.writing.2	-	-	-	-
seit	-	seit	APPR	APPR.Dat	no	direct.writing.2	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Masc	no	direct.writing.2	-	-	-	-
22.	-	22.	ADJA	ADJA.Pos.Dat.Sg.Masc	no	direct.writing.2	-	-	-	-
Juli	-	Juli	NN	N.Reg.Dat.Sg.Masc	no	direct.writing.2	-	-	-	-
1896	-	1896	CARD	CARD	no	direct.writing.2	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	direct.writing.2	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Masc	no	direct.writing.2	-	-	-	-
Prinzen	-	Prinz	NN	N.Reg.Dat.Sg.Masc	no	direct.writing.2	-	-	-	-
Karl	-	Karl	NE	N.Name.Nom.Sg.Masc	no	direct.writing.2	-	-	-	-
von	-	von	APPR	APPR.Dat	no	direct.writing.2	-	-	-	-
Dänemark	-	Dänemark	NE	N.Name.Dat.Sg.Neut	no	direct.writing.2	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.2	-	-	-	-
jetzigem	-	jetzig	ADJA	ADJA.Pos.Dat.Sg.Masc	no	direct.writing.2	-	-	-	-
König	-	König	NN	N.Reg.Dat.Sg.Masc	no	direct.writing.2	-	-	-	-
Haakon	-	Haakon	NE	N.Name.Nom.Sg.Masc	no	direct.writing.2	-	-	-	-
VII.	-	VII.	NE	N.Name.Nom.Sg.Masc	yes	direct.writing.2	-	-	-	-
vermählten	-	vermählt	ADJA	ADJA.Pos.Dat.Sg.Fem	yes	direct.writing.2	-	-	-	-
Prinzessin	-	Prinzessin	NN	N.Reg.Dat.Sg.Fem	no	direct.writing.2	-	-	-	-
Moud	-	Moud	NE	N.Name.Nom.Sg.*	no	direct.writing.2	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.2	-	-	-	-
eine	-	ein	ART	ART.Indef.Nom.Sg.Fem	no	direct.writing.2	-	-	-	-
Königin	-	Königin	NN	N.Reg.Nom.Sg.Fem	no	direct.writing.2	-	-	-	-
gemacht	-	machen	VVPP	VPP.Full.Psp	no	direct.writing.2	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	direct.writing.2	-	-	-	-
dadurch	-	dadurch	PAV	PROADV.Dem	no	direct.writing.2	-	-	-	-
die	-	der	ART	ART.Def.Acc.Pl.Fem	no	direct.writing.2	-	-	-	-
zahlreichen	-	zahlreich	ADJA	ADJA.Pos.Acc.Pl.Fem	no	direct.writing.2	-	-	-	-
verwandtschaftlichen	-	verwandtschaftlich	ADJA	ADJA.Pos.Acc.Pl.Fem	no	direct.writing.2	-	-	-	-
Beziehungen	-	Beziehung	NN	N.Reg.Acc.Pl.Fem	no	direct.writing.2	-	-	-	-
der	-	der	ART	ART.Def.Gen.Sg.Fem	no	direct.writing.2	-	-	-	-
englischen	-	englisch	ADJA	ADJA.Pos.Gen.Sg.Fem	no	direct.writing.2	-	-	-	-
Herrscherfamilie	-	Herrscherfamilie	NN	N.Reg.Gen.Sg.Fem	no	direct.writing.2	-	-	-	-
um	-	um	APPR	APPR.Acc	no	direct.writing.2	-	-	-	-
eine	-	ein	ART	ART.Indef.Acc.Sg.Fem	no	direct.writing.2	-	-	-	-
wichtige	-	wichtig	ADJA	ADJA.Pos.Acc.Sg.Fem	no	direct.writing.2	-	-	-	-
Verbindung	-	Verbindung	NN	N.Reg.Acc.Sg.Fem	no	direct.writing.2	-	-	-	-
vermehrt	-	vermehrt	VVPP	ADJD.Pos	no	direct.writing.2	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.writing.2	-	-	-	-
Welchen	-	Welcher	PWAT	PRO.Indef.Subst.-.Dat.Pl.*	yes	-	-	-	-	-
Einfluß	-	Einfluß	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
müßte	-	müssen	VMFIN	VFIN.Mod.3.Sg.Past.Subj	no	-	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Londoner	-	Londoner	ADJA	ADJA.Pos.*.*.*	no	-	-	-	-	-
Hof	-	Hof	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Pl.Neut	no	-	-	-	-	-
Geschicke	-	Geschick	NN	N.Reg.Acc.Pl.Neut	no	-	-	-	-	-
Europas	-	Europa	NE	N.Name.Gen.Sg.Neut	no	-	-	-	-	-
ausüben	-	ausüben	VVINF	VINF.Full.-	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
wenn	-	wenn	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
solchen	-	solcher	PIAT	PRO.Indef.Attr.-.Dat.Pl.Neut	no	-	-	-	-	-
dynastischen	-	dynastisch	ADJA	ADJA.Pos.Dat.Pl.Neut	no	-	-	-	-	-
Verhältnissen	-	Verhältnis	NN	N.Reg.Dat.Pl.Neut	no	-	-	-	-	-
noch	-	noch	ADV	ADV	no	-	-	-	-	-
eine	-	ein	ART	ART.Indef.Acc.Sg.Fem	no	-	-	-	-	-
Bedeutung	-	Bedeutung	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
wie	-	wie	KOKOM	CONJ.Comp.-	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
vergangenen	-	vergangen	ADJA	ADJA.Pos.Dat.Pl.Fem	no	-	-	-	-	-
Zeiten	-	Zeit	NN	N.Reg.Dat.Pl.Fem	no	-	-	-	-	-
zukäme	-	zukommen	VVFIN	VFIN.Full.3.Sg.Past.Subj	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Acc.Pl.*	no	-	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
vielmehr	-	vielmehr	ADV	ADV	no	-	-	-	-	-
fast	-	fast	ADV	ADV	no	-	-	-	-	-
belangslos	-	belangslos	ADJD	ADJD.Pos	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
politischer	-	politisch	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Hinsicht	-	Hinsicht	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
geworden	-	werden	VAPP	VPP.Aux.Psp	no	-	-	-	-	-
