tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Vom	-	von	APPRART	APPRART.Dat.Sg.Masc	yes	-	-	-	-	-
Tage	-	Tag	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Czernowitz	-	Czernowitz	NE	N.Name.Nom.Sg.Masc	yes	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
21.	-	21.	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
August	-	August	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Das	-	der	ART	ART.Def.Nom.Sg.Neut	yes	-	-	-	-	-
deutsch-russische	-	deutsch-russisch	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
Abkommen	-	Abkommen	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
perfekt	-	perfekt	ADJD	ADJD.Pos	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Petersburg	-	Petersburg	NE	N.Name.Nom.Sg.Neut	yes	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
19.	-	19.	ADJA	ADJA.Pos.Nom.Sg.Masc	yes	-	-	-	-	-
August	-	August	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
date	-	dat	NN	VFIN.Full.3.Sg.Pres.Subj	yes	-	-	-	-	-
Das	-	der	ART	ART.Def.Nom.Sg.Neut	yes	reported.writing.2|reported.writing.1	-	-	-	-
Abkommen	-	Abkommen	NN	N.Reg.Nom.Sg.Neut	yes	reported.writing.2|reported.writing.1	-	-	-	-
zwischen	-	zwischen	APPR	APPR.Zwischen	yes	reported.writing.2|reported.writing.1	-	-	-	-
Deutschland	-	Deutschland	NE	N.Name.Dat.Sg.Neut	yes	reported.writing.2|reported.writing.1	-	-	-	-
und	-	und	KON	CONJ.Coord.-	yes	reported.writing.2|reported.writing.1	-	-	-	-
