file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	dialect	perspective	quotes
rwk1_mkhz_10113-short.tsv	venus	MT_1887_02_07.txt_11.xml	1887	1880	mkhz.maehrisches	Undefined	Undefined	no	Nachrichten	no	no	third	german
rwk1_digbib_205-1.tsv	venus	Altenberg,_Peter_Venedig_in_Wien.tg38_1.xml	1896	1890	digbib	Venedig in Wien	Altenberg, Peter	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_633-1.tsv	venus	Bechstein,_Ludwig_Die_dankbaren_Tiere.tg128_1.xml	1845	1840	digbib	Die dankbaren Tiere	Bechstein, Ludwig	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_787-1.tsv	venus	Birlinger,_Anton_300__Festlichkeiten_bei_Empfang_von_hohen_weltlichen.tg1640_1.xml	1862	1860	digbib	300. Festlichkeiten bei Empfang von hohen Weltlichen	Birlinger, Anton	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_936-1.tsv	venus	Buechner,_Luise_2__Erzaehlung__Die_Geschichte_vom_Knecht_Nikolaus.tg109_1.xml	1868	1860	digbib	2. Erzählung. Die Geschichte vom Knecht Nikolaus	Büchner, Luise	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_945-1.tsv	venus	Buechner,_Luise_Die_Fee_von_Argouges.tg105_1.xml	1878	1870	digbib	Die Fee von Argouges	Büchner, Luise	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1042-1.tsv	venus	Christen,_Ada_Rahel.tg327_1.xml	1873	1870	digbib	Rahel	Christen, Ada	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1135-1.tsv	venus	Droste-Huelshoff,_Annette_von_Bei_uns_zulande_auf_dem_Lande.tg262_1.xml	1886	1880	digbib	Bei uns zu Lande auf dem Lande	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1136-1.tsv	venus	Droste-Huelshoff,_Annette_von_Die_Judenbuche.tg257_1.xml	1842	1840	digbib	Die Judenbuche	Droste-Hülshoff, Annette von	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_1142-1.tsv	venus	Duncker,_Dora_Seine_Letzte.tg12_1.xml	1905	1900	digbib	Seine Letzte	Duncker, Dora	yes	Erzähltext	yes	no	third	undef
rwk1_digbib_1147-1.tsv	venus	Ebner-Eschenbach,_Marie_von_Der_gute_Mond.tg120_1.xml	1884	1880	digbib	Der gute Mond	Ebner-Eschenbach, Marie von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1885-2.tsv	venus	Liliencron,_Detlev_von_Eine_Sommerschlacht.tg261_1.xml	1887	1880	digbib	Eine Sommerschlacht	Liliencron, Detlev von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_1967-2.tsv	venus	Meyer,_Conrad_Ferdinand_Das_Amulett.tg330_1.xml	1873	1870	digbib	Das Amulett	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	no	first	chevron other
rwk1_digbib_1968-2.tsv	venus	Meyer,_Conrad_Ferdinand_Das_Leiden_eines_Knaben.tg406_1.xml	1883	1880	digbib	Das Leiden eines Knaben	Meyer, Conrad Ferdinand	yes	Erzähltext	yes	no	first	other
rwk1_digbib_2028-4.tsv	venus	Moellhausen,_Balduin_Die_Mandanenwaise.tg4_1.xml	1865	1860	digbib	Die Mandanenwaise	Möllhausen, Balduin	yes	Erzähltext	yes	no	first	undef
rwk1_digbib_2621-3.tsv	venus	Raabe,_Wilhelm_Das_Odfeld.tg256_1.xml	1889	1880	digbib	Das Odfeld	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2623-2.tsv	venus	Raabe,_Wilhelm_Die_schwarze_Galeere.tg221_1.xml	1861	1860	digbib	Die schwarze Galeere	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2625-3.tsv	venus	Raabe,_Wilhelm_Frau_Salome.tg243_1.xml	1875	1870	digbib	Frau Salome	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2626-4.tsv	venus	Raabe,_Wilhelm_Hastenbeck.tg283_1.xml	1899	1890	digbib	Hastenbeck	Raabe, Wilhelm	yes	Erzähltext	yes	no	third	chevron
rwk1_digbib_2638-1.tsv	venus	Reventlow,_Franziska_Graefin_zu_Ein_Bekenntnis.tg81_1.xml	1894	1890	digbib	Ein Bekenntnis	Reventlow, Franziska Gräfin zu	yes	Erzähltext	yes	no	third	other
rwk1_digbib_2701-2.tsv	venus	Rosegger,_Peter_Waldheimat__Erzaehlungen_aus_der_Jugendzeit.tg27_1_18.xml	1877	1870	digbib	Dem Anderl sein Tabakgeld	Rosegger, Peter	yes	Erzähltext	yes	no	first	chevron none
rwk1_digbib_2812-1.tsv	venus	Saar,_Ferdinand_von_Leutnant_Burda.tg215_1.xml	1877	1870	digbib	Leutnant Burda	Saar, Ferdinand von	yes	Erzähltext	yes	no	first	chevron
rwk1_digbib_2817-1.tsv	venus	Saar,_Ferdinand_von_Sappho.tg361_1.xml	1906	1900	digbib	Sappho	Saar, Ferdinand von	yes	Erzähltext	yes	no	unsure	chevron other
rwk1_digbib_2823-4.tsv	venus	Sacher-Masoch,_Leopold_von_Don_Juan_von_Kolomea.tg4_1.xml	1866	1860	digbib	Don Juanvon Kolomea	Sacher-Masoch, Leopold von	yes	Erzähltext	yes	no	first	none
