tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Denn	-	denn	KON	CONJ.Coord.Denn	yes	direct.speech writing.1	-	-	-	-
diesen	-	dieser	PDAT	PRO.Dem.Attr.-.Acc.Sg.Masc	no	direct.speech writing.1	-	-	-	-
Affect	-	Affect	NN	N.Reg.Acc.Sg.Masc	no	direct.speech writing.1	-	-	-	-
empfinden	-	empfinden	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	direct.speech writing.1	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	direct.speech writing.1	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Fem	no	direct.speech writing.1	-	-	-	-
spielenden	-	spielend	ADJA	ADJA.Pos.Nom.Pl.Fem	no	direct.speech writing.1	-	-	-	-
Personen	-	Person	NN	N.Reg.Nom.Pl.Fem	no	direct.speech writing.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech writing.1	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	direct.speech writing.1	-	-	-	-
wir	-	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	direct.speech writing.1	-	-	-	-
empfinden	-	empfinden	VVFIN	VFIN.Full.1.Pl.Pres.Ind	no	direct.speech writing.1	-	-	-	-
ihn	-	ihn	PPER	PRO.Pers.Subst.3.Acc.Sg.Masc	no	direct.speech writing.1	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	direct.speech writing.1	-	-	-	-
bloß	-	bloß	ADJD	ADV	no	direct.speech writing.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech writing.1	-	-	-	-
weil	-	weil	KOUS	CONJ.SubFin.-	no	direct.speech writing.1	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	direct.speech writing.1	-	-	-	-
ihn	-	ihn	PPER	PRO.Pers.Subst.3.Acc.Sg.Masc	no	direct.speech writing.1	-	-	-	-
empfinden	-	empfinden	VVINF	VFIN.Full.3.Pl.Pres.Ind	no	direct.speech writing.1	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.speech writing.1	-	-	-	-
sondern	-	sondern	KON	CONJ.Coord.-	no	direct.speech writing.1	-	-	-	-
er	-	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	direct.speech writing.1	-	-	-	-
entsteht	-	entstehen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	direct.speech writing.1	-	-	-	-
in	-	in	APPR	APPR.In	no	direct.speech writing.1	-	-	-	-
uns	-	uns	PPER	PRO.Pers.Subst.1.Dat.Pl.*	no	direct.speech writing.1	-	-	-	-
ursprünglich	-	ursprünglich	ADJD	ADJD.Pos	no	direct.speech writing.1	-	-	-	-
aus	-	aus	APPR	APPR.Dat	no	direct.speech writing.1	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	direct.speech writing.1	-	-	-	-
Wirkung	-	Wirkung	NN	N.Reg.Dat.Sg.Fem	no	direct.speech writing.1	-	-	-	-
der	-	der	ART	ART.Def.Gen.Pl.Masc	no	direct.speech writing.1	-	-	-	-
Gegenstände	-	Gegenstand	NN	N.Reg.Gen.Pl.Masc	no	direct.speech writing.1	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	direct.speech writing.1	-	-	-	-
uns	-	uns	PPER	PRO.Pers.Subst.1.Acc.Pl.*	no	direct.speech writing.1	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.speech writing.1	-	-	-	-
"	-	--	$(	SYM.Quot.Left	no	direct.speech writing.1	-	-	-	-
Aber	-	aber	ADV	CONJ.Coord.Aber	yes	-	-	-	-	-
soll	-	sollen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Tragödie	-	Tragödie	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
Schrecken	-	Schrecken	NN	VINF.Full.-	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
soll	-	sollen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	-	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	no	-	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
Bewunderung	-	Bewunderung	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
erregen	-	erregen	VVINF	VINF.Full.-	no	-	-	-	-	-
?	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
„Schrecken	-	„Schrecken	NN	N.Reg.Nom.Pl.Fem	yes	direct.writing.3	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	direct.writing.3	-	-	-	-
Bewunderung	-	Bewunderung	NN	N.Reg.Nom.Sg.Fem	no	direct.writing.3	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
antwortet	-	antworten	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	frame.3	-	intexpr.3	-
Lessing	-	Lessing	NE	N.Name.Nom.Sg.Masc	no	-	frame.3	speaker.3_4_5	-	-
(	-	--	$(	SYM.Paren.Left	no	-	frame.3	-	-	-
an	-	an	APPR	APPR.An	no	-	frame.3	-	-	-
Nicolai	-	Nicolai	NE	N.Name.Nom.Sg.Masc	no	-	frame.3	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
13.	-	13.	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	frame.3	-	-	-
November	-	November	NN	N.Reg.Nom.Sg.Masc	no	-	frame.3	-	-	-
1756	-	1756	CARD	CARD	no	-	frame.3	-	-	-
)	-	--	$(	SYM.Paren.Right	no	-	frame.3	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
sind	-	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	direct.writing.3	-	-	-	-
keine	-	kein	PIAT	PRO.Indef.Attr.-.Nom.Pl.Fem	no	direct.writing.3	-	-	-	-
Leidenschaften	-	Leidenschaft	NN	N.Reg.Nom.Pl.Fem	no	direct.writing.3	-	-	-	-
nach	-	nach	APPR	APPR.Dat	no	direct.writing.3	-	-	-	-
meinem	-	mein	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Neut	no	direct.writing.3	-	-	-	-
Verstände	-	Verstand	NN	N.Reg.Dat.Sg.Neut	no	direct.writing.3	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.writing.3	-	-	-	-
"	-	--	$(	SYM.Quot.Left	no	direct.writing.3	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	yes	-	-	-	-	-
Schrecken	-	Schrecken	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Tragödie	-	Tragödie	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
nichts	-	nichts	PIS	PRO.Indef.Subst.-.*.*.Neut	no	-	-	-	-	-
weiter	-	weiter	ADV	ADV	no	-	-	-	-	-
als	-	als	KOKOM	CONJ.Comp.-	no	-	-	-	-	-
das	-	der	ART	ART.Def.Nom.Sg.Neut	no	-	-	-	-	-
überraschte	-	überrascht	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
unentwickelte	-	unentwickelt	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
Mitleid	-	Mitleid	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Bewunderung	-	Bewunderung	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
nichts	-	nichts	PIS	PRO.Indef.Subst.-.*.*.Neut	no	-	-	-	-	-
anders	-	anders	ADV	ADV	no	-	-	-	-	-
als	-	als	KOKOM	CONJ.Comp.-	no	-	-	-	-	-
das	-	der	ART	ART.Def.Nom.Sg.Neut	no	-	-	-	-	-
entbehrlich	-	entbehrlich	ADJD	ADJD.Pos	no	-	-	-	-	-
gewordene	-	geworden	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
Mitleid	-	Mitleid	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
„Das	-	„Da	NN	CARD	yes	direct.writing.4	-	-	-	-
Schrecken	-	Schrecken	NN	N.Reg.Acc.Pl.Masc	no	direct.writing.4	-	-	-	-
braucht	-	brauchen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	direct.writing.4	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	direct.writing.4	-	-	-	-
Dichter	-	Dichter	NN	N.Reg.Nom.Sg.Masc	no	direct.writing.4	-	speaker.19	-	-
zur	-	zu	APPRART	APPRART.Dat.Sg.Fem	no	direct.writing.4	-	-	-	-
Ankündigung	-	Ankündigung	NN	N.Reg.Dat.Sg.Fem	no	direct.writing.4|reported.writing.19	-	-	intexpr.19	-
des	-	der	ART	ART.Def.Gen.Sg.Neut	no	direct.writing.4|reported.writing.19	-	-	-	-
Mitleids	-	Mitleid	NN	N.Reg.Gen.Sg.Neut	no	direct.writing.4|reported.writing.19	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.4	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	direct.writing.4	-	-	-	-
Bewunderung	-	Bewunderung	NN	N.Reg.Nom.Sg.Fem	no	direct.writing.4	-	-	-	-
gleichsam	-	gleichsam	ADJD	ADJD.Pos	no	direct.writing.4	-	-	-	-
zum	-	zu	APPRART	APPRART.Dat.Sg.Masc	no	direct.writing.4	-	-	-	-
Ruhepunkte	-	Ruhepunkt	NN	N.Reg.Dat.Sg.Masc	no	direct.writing.4	-	-	-	-
desselben	-	derselbe	PDS	PRO.Dem.Subst.-.Gen.Sg.Neut	no	direct.writing.4	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.writing.4	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	yes	direct.writing.4	-	-	-	-
Weg	-	Weg	NN	N.Reg.Nom.Sg.Masc	no	direct.writing.4	-	-	-	-
zum	-	zu	APPRART	APPRART.Dat.Sg.Neut	no	direct.writing.4	-	-	-	-
Mitleid	-	Mitleid	NN	N.Reg.Dat.Sg.Neut	no	direct.writing.4	-	-	-	-
wird	-	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	direct.writing.4	-	-	-	-
dem	-	der	ART	ART.Def.Dat.Sg.Masc	no	direct.writing.4	-	-	-	-
Zuhörer	-	Zuhörer	NN	N.Reg.Dat.Sg.Masc	no	direct.writing.4	-	-	-	-
zu	-	zu	PTKA	PART.Deg	no	direct.writing.4	-	-	-	-
lang	-	lang	ADJD	ADJD.Pos	no	direct.writing.4	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.4	-	-	-	-
wenn	-	wenn	KOUS	CONJ.SubFin.-	no	direct.writing.4	-	-	-	-
ihn	-	ihn	PPER	PRO.Pers.Subst.3.Acc.Sg.Masc	no	direct.writing.4	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	direct.writing.4	-	-	-	-
gleich	-	gleich	ADJD	ADV	no	direct.writing.4	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	direct.writing.4	-	-	-	-
erste	-	erster	ADJA	ADJA.Pos.Nom.Sg.Masc	no	direct.writing.4	-	-	-	-
Schreck	-	Schreck	NN	N.Reg.Nom.Sg.Masc	no	direct.writing.4	-	-	-	-
aufmerksam	-	aufmerksam	ADJD	ADJD.Pos	no	direct.writing.4	-	-	-	-
macht	-	machen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	direct.writing.4	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.4	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	direct.writing.4	-	-	-	-
das	-	der	ART	ART.Def.Nom.Sg.Neut	no	direct.writing.4	-	-	-	-
Mitleiden	-	mitleiden	NN	N.Reg.Nom.Sg.Neut	no	direct.writing.4	-	-	-	-
nützt	-	nützen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	direct.writing.4	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	direct.writing.4	-	-	-	-
ab	-	ab	PTKVZ	PART.Verb	no	direct.writing.4	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.4	-	-	-	-
wenn	-	wenn	KOUS	CONJ.SubFin.-	no	direct.writing.4	-	-	-	-
es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	direct.writing.4	-	-	-	-
sich	-	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	direct.writing.4	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	direct.writing.4	-	-	-	-
in	-	in	APPR	APPR.In	no	direct.writing.4	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	direct.writing.4	-	-	-	-
Bewunderung	-	Bewunderung	NN	N.Reg.Dat.Sg.Fem	no	direct.writing.4	-	-	-	-
erholen	-	erholen	VVINF	VINF.Full.-	no	direct.writing.4	-	-	-	-
kann	-	können	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	direct.writing.4	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.writing.4	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.writing.4	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.writing.4	-	-	-	-
Ein	-	ein	ART	ART.Indef.Nom.Sg.Neut	yes	direct.writing.4	-	-	-	-
Trauerspiel	-	Trauerspiel	NN	N.Reg.Nom.Sg.Neut	no	direct.writing.4	-	-	-	-
voller	-	voller	ADJA	ADJA.Pos.Gen.Pl.Masc	no	direct.writing.4	-	-	-	-
Schrecken	-	Schrecken	NN	N.Reg.Gen.Pl.Masc	no	direct.writing.4	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.4	-	-	-	-
ohne	-	ohne	KOUI	APPR.Acc	no	direct.writing.4	-	-	-	-
Mitleid	-	Mitleid	NN	N.Reg.Acc.Sg.Neut	no	direct.writing.4	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.4	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	direct.writing.4	-	-	-	-
ein	-	ein	ART	ART.Indef.Nom.Sg.Neut	no	direct.writing.4	-	-	-	-
Wetterleuchten	-	Wetterleuchten	NN	N.Reg.Nom.Sg.Neut	no	direct.writing.4	-	-	-	-
ohne	-	ohne	APPR	APPR.Acc	no	direct.writing.4	-	-	-	-
Donner	-	Donner	NN	N.Reg.Acc.Sg.Masc	no	direct.writing.4	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.writing.4	-	-	-	-
"	-	--	$(	SYM.Quot.Left	no	direct.writing.4	-	-	-	-
„Wenn	-	„wenn	ADJA	N.Name.*.*.*	yes	direct.writing.5	-	-	-	-
heldenmüthige	-	heldenmüthig	ADJA	ADJA.Pos.Nom.Pl.Fem	no	direct.writing.5	-	-	-	-
Gesinnungen	-	Gesinnung	NN	N.Reg.Nom.Pl.Fem	no	direct.writing.5	-	-	-	-
Bewunderung	-	Bewunderung	NN	N.Reg.Acc.Sg.Fem	no	direct.writing.5	-	-	-	-
erregen	-	erregen	VVINF	VINF.Full.-	no	direct.writing.5	-	-	-	-
sollen	-	sollen	VMFIN	VFIN.Mod.3.Pl.Pres.Ind	no	direct.writing.5	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	direct.writing.5	-	-	-	-
so	-	so	ADV	ADV	no	direct.writing.5	-	-	-	-
muß	-	müssen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	direct.writing.5	-	-	-	-
der	-	der	ART	ART.Def.Nom.Sg.Masc	no	direct.writing.5	-	-	-	-
Dichter	-	Dichter	NN	N.Reg.Nom.Sg.Masc	no	direct.writing.5	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	direct.writing.5	-	-	-	-
zu	-	zu	PTKA	PART.Deg	no	direct.writing.5	-	-	-	-
verschwenderisch	-	verschwenderisch	ADJD	ADJD.Pos	no	direct.writing.5	-	-	-	-
damit	-	damit	PAV	PROADV.Dem	no	direct.writing.5	-	-	-	-
umgehen	-	umgehen	VVINF	VINF.Full.-	no	direct.writing.5	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	direct.writing.5	-	-	-	-
"	-	--	$(	SYM.Quot.Left	no	direct.writing.5	-	-	-	-
(	-	--	$(	SYM.Paren.Left	no	-	-	-	-	-
Hamburgische	-	hamburgisch	ADJA	ADJA.Pos.Nom.Sg.Fem	no	-	-	-	-	-
Dramaturgie	-	Dramaturgie	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
