tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Zur	-	zu	APPRART	APPRART.Dat.Sg.Fem	yes	reported.writing.1	-	-	-	-
Erleichterung	-	Erleichterung	NN	N.Reg.Dat.Sg.Fem	no	reported.writing.1	-	-	-	-
des	-	der	ART	ART.Def.Gen.Sg.Neut	no	reported.writing.1	-	-	-	-
Gesammtüberblickes	-	Gesammtüberblick	NN	N.Reg.Gen.Sg.Neut	no	reported.writing.1	-	-	-	-
theilt	-	theilen	ADJD	VFIN.Full.3.Sg.Pres.Ind	no	reported.writing.1	-	-	intexpr.1	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	reported.writing.1	-	-	-	-
Botschaft	-	Botschaft	NN	N.Reg.Nom.Sg.Fem	no	reported.writing.1	-	speaker.1	-	-
zunächst	-	zunächst	ADV	ADV	no	reported.writing.1	-	-	-	-
eine	-	ein	ART	ART.Indef.Acc.Sg.Fem	no	reported.writing.1	-	-	-	-
Reihe	-	Reihe	NN	N.Reg.Acc.Sg.Fem	no	reported.writing.1	-	-	-	-
interessanter	-	interessant	ADJA	ADJA.Pos.Gen.Pl.Fem	no	reported.writing.1	-	-	-	-
Angaben	-	Angabe	NN	N.Reg.Gen.Pl.Fem	no	reported.writing.1	-	-	-	-
über	-	über	APPR	APPR.über	no	reported.writing.1	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	reported.writing.1	-	-	-	-
schweizerischen	-	schweizerisch	ADJA	ADJA.Pos.Acc.Sg.Masc	no	reported.writing.1	-	-	-	-
Verkehr	-	Verkehr	NN	N.Reg.Acc.Sg.Masc	no	reported.writing.1	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	reported.writing.1	-	-	-	-
Italien	-	Italien	NE	N.Name.Dat.Sg.Neut	no	reported.writing.1	-	-	-	-
mit	-	mit	PTKVZ	PART.Verb	no	reported.writing.1	-	-	intexpr.1	-
.	-	--	$.	SYM.Pun.Sent	no	reported.writing.1	-	-	-	-
Wir	-	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	yes	-	-	-	-	-
entnehmen	-	entnehmen	VVFIN	VFIN.Full.1.Pl.Pres.Ind	no	-	-	-	-	-
denselben	-	derselbe	PDAT	PRO.Dem.Subst.-.Acc.Sg.Masc	no	-	-	-	-	-
folgende	-	folgend	ADJA	ADJA.Pos.Acc.Pl.Fem	no	-	-	-	-	-
Ziffern	-	Ziffer	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
:	-	--	$.	SYM.Pun.Colon	no	-	-	-	-	-
Es	-	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	yes	-	-	-	-	-
betrug	-	betragen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
Jahre	-	Jahr	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
1890	-	1890	CARD	CARD	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
schweizerische	-	schweizerisch	ADJA	ADJA.Pos.Nom.Sg.Fem	no	-	-	-	-	-
Gesammtausfuhr	-	Gesammtausfuhr	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
704	-	704	CARD	CARD	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Gesammteinfuhr	-	Gesammteinfuhr	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
953	-	953	CARD	CARD	no	-	-	-	-	-
Millionen	-	Million	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
An	-	an	APPR	APPR.An	yes	-	-	-	-	-
dieser	-	dieser	PDAT	PRO.Dem.Attr.-.Dat.Sg.Fem	no	-	-	-	-	-
Summe	-	Summe	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
partizipirt	-	partizipirt	NN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Ausfuhr	-	Ausfuhr	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
nach	-	nach	APPR	APPR.Dat	no	-	-	-	-	-
Italien	-	Italien	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
51	-	51	CARD	CARD	no	-	-	-	-	-
Millionen	-	Million	NN	N.Reg.Dat.Pl.Fem	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
fünfter	-	fünft	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Linie	-	Linie	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
(	-	--	$(	SYM.Paren.Left	no	-	-	-	-	-
zuerst	-	zuerst	ADV	ADV	no	-	-	-	-	-
kommt	-	kommen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
Deutschland	-	Deutschland	NE	N.Name.Nom.Sg.Neut	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
185	-	185	CARD	CARD	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
Frankreich	-	Frankreich	NE	N.Name.Acc.Sg.Neut	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
130	-	130	CARD	CARD	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
England	-	England	NE	N.Name.Acc.Sg.Neut	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
107	-	107	ADJA	CARD	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
Vereinigte	-	vereinigter	ADJA	ADJA.Pos.Nom.Pl.Masc	no	-	-	-	-	-
Staaten	-	Staat	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
mit	-	mit	APPR	APPR.Dat	no	-	-	-	-	-
83	-	83	CARD	CARD	no	-	-	-	-	-
Mill.	-	Mill.	NN	N.Reg.*.*.*	no	-	-	-	-	-
)	-	--	$(	SYM.Paren.Right	no	-	-	-	-	-
;	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
wogegen	-	wogegen	PWAV	PROADV.Inter	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Einfuhr	-	Einfuhr	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
aus	-	aus	APPR	APPR.Dat	no	-	-	-	-	-
Italien	-	Italien	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
Schweiz	-	Schweiz	NE	N.Name.Acc.Sg.Fem	no	-	-	-	-	-
128	-	128	CARD	CARD	no	-	-	-	-	-
Millionen	-	Million	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
beträgt	-	betragen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
