tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Volkswirtschaft	-	Volkswirtschaft	NN	N.Reg.Nom.Sg.Fem	yes	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Richtpreise	-	Richtpreis	NN	N.Reg.Nom.Sg.Fem	yes	-	-	-	-	-
für	-	für	APPR	APPR.Acc	no	-	-	-	-	-
Gährungsessig	-	Gährungsessig	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Preßhefe	-	Preßhefe	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Bei	-	bei	APPR	APPR.Dat	yes	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Grazer	-	Grazer	NN	ADJA.Pos.*.*.*	no	-	-	-	-	-
Kammer	-	Kammer	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
liegen	-	liegen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
von	-	von	APPR	APPR.Dat	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
k	-	--	NN	ADJA.Pos.*.*.*	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
k	-	--	NE	ADJA.Pos.*.*.*	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Zentralpreisprüfungskommission	-	Zentralpreisprüfungskommission	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
festgesetzten	-	festgesetzt	ADJA	ADJA.Pos.Gen.Pl.Neut	no	-	-	-	-	-
Richtpreise	-	Richtpreis	NN	N.Reg.Gen.Pl.Neut	no	-	-	-	-	-
für	-	für	APPR	APPR.Acc	no	-	-	-	-	-
Gährungsessig	-	Gährungsessig	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Preßhefe	-	Preßhefe	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
zur	-	zu	APPRART	APPRART.Dat.Sg.Fem	no	-	-	-	-	-
unentgeltlichen	-	unentgeltlich	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Abgabe	-	Abgabe	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
auf	-	auf	PTKVZ	PART.Verb	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Wein-	-	Wein	TRUNC	TRUNC.Noun	yes	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Obstmostgebinde	-	Obstmostgebinde	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
In	-	in	APPR	APPR.In	yes	reported.speech.1.nonfact	-	-	-	-
Steiermark	-	Steiermark	NE	N.Name.Dat.Sg.Fem	no	reported.speech.1.nonfact	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	reported.speech.1.nonfact	-	-	-	-
die	-	der	ART	ART.Def.Nom.Sg.Fem	no	reported.speech.1.nonfact	-	-	-	-
Abgabe	-	Abgabe	NN	N.Reg.Nom.Sg.Fem	no	reported.speech.1.nonfact	-	-	-	-
von	-	von	APPR	APPR.Dat	no	reported.speech.1.nonfact	-	-	-	-
Faßeisenreifen	-	Faßeisenreif	NN	N.Reg.Dat.Pl.Masc	no	reported.speech.1.nonfact	-	-	-	-
anzusprechen	-	ansprechen	VVIZU	VINF.Full.zu	no	reported.speech.1.nonfact	-	-	intexpr.1	-
bei	-	bei	APPR	APPR.Dat	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Eisenhandels-	-	Eisenhandel	TRUNC	TRUNC.Noun	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Industrie-A.-G	-	Industrie-A.-G	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Greinitz	-	Greinitz	NN	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
in	-	in	APPR	APPR.In	yes	-	-	-	-	-
Graz	-	Graz	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
ferner	-	ferner	ADJD	ADV	no	-	-	-	-	-
bei	-	bei	APPR	APPR.Dat	no	-	-	-	-	-
D.	-	Der	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
Rakusch	-	Rakusch	NN	N.Name.Dat.Sg.Masc	yes	-	-	-	-	-
in	-	in	APPR	APPR.In	yes	-	-	-	-	-
Cilli	-	Cilli	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Obsttrester	-	Obsttrester	NN	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
als	-	als	KOKOM	APPR.Als	no	-	-	-	-	-
Futter	-	Futter	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
In	-	in	APPR	APPR.In	yes	-	-	-	-	-
den	-	der	ART	ART.Def.Dat.Pl.Masc	no	-	-	-	-	-
Obsttrestern	-	Obsttrester	NN	N.Reg.Dat.Pl.Masc	no	-	-	-	-	-
haben	-	haben	VAFIN	VFIN.Haben.1.Pl.Pres.Ind	no	-	-	-	-	-
wir	-	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	-	-	-	-	-
ein	-	ein	ART	ART.Indef.Acc.Sg.Neut	no	-	-	-	-	-
wertvolles	-	wertvoll	ADJA	ADJA.Pos.Acc.Sg.Neut	no	-	-	-	-	-
Futtermittel	-	Futtermittel	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
das	-	der	PRELS	PRO.Rel.Subst.-.Nom.Sg.Neut	no	-	-	-	-	-
bisher	-	bisher	ADV	ADV	no	-	-	-	-	-
nicht	-	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
beachtet	-	beachten	VVPP	VPP.Full.Psp	no	-	-	-	-	-
wurde	-	werden	VAFIN	VFIN.Aux.3.Sg.Past.Ind	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
So	-	so	ADV	ADV	yes	-	-	-	-	-
werden	-	werden	VAFIN	VFIN.Aux.3.Pl.Pres.Ind	no	-	-	-	-	-
häufig	-	häufig	ADJD	ADJD.Pos	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Öbsttrester	-	Öbsttrester	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
auf	-	auf	APPR	APPR.Auf	no	-	-	-	-	-
den	-	der	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
Dünger	-	Dünger	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
geworfen	-	werfen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
statt	-	statt	KOUI	CONJ.SubInf.-	no	-	-	-	-	-
sie	-	sie	PPER	PRO.Pers.Subst.3.Acc.Pl.*	no	-	-	-	-	-
als	-	als	KOKOM	APPR.Als	no	-	-	-	-	-
Futtermittel	-	Futtermittel	NN	N.Reg.Acc.Pl.Neut	no	-	-	-	-	-
zu	-	zu	PTKZU	PART.Zu	no	-	-	-	-	-
erhalten	-	erhalten	VVINF	VINF.Full.-	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	-	der	ART	ART.Def.Nom.Pl.Neut	yes	-	-	-	-	-
Preßstücke	-	Preßstück	NN	N.Reg.Nom.Pl.Neut	no	-	-	-	-	-
werden	-	werden	VAFIN	VFIN.Aux.3.Pl.Pres.Ind	no	-	-	-	-	-
gut	-	gut	ADJD	ADJD.Pos	no	-	-	-	-	-
zerkleinert	-	zerkleinern	VVPP	VPP.Full.Psp	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Trester	-	Trester	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
an	-	an	APPR	APPR.An	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Sonne	-	Sonne	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
oder	-	oder	KON	CONJ.Coord.-	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
luftigen	-	luftig	ADJA	ADJA.Pos.Dat.Pl.Masc	no	-	-	-	-	-
Schuppen	-	Schuppe	NN	N.Reg.Dat.Pl.Masc	no	-	-	-	-	-
getrocknet	-	trocknen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Ein	-	ein	ART	ART.Indef.Nom.Sg.Neut	yes	-	-	-	-	-
rasches	-	rasch	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
und	-	und	KON	CONJ.Coord.-	no	-	-	-	-	-
gründliches	-	gründlich	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
Trocknen	-	trocknen	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
würde	-	werden	VAFIN	VFIN.Aux.3.Sg.Past.Subj	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
Backofen	-	Backofen	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
erfolgen	-	erfolgen	VVINF	VINF.Full.-	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
nachdem	-	nachdem	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Trester	-	Trester	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
zuerst	-	zuerst	ADV	ADV	no	-	-	-	-	-
an	-	an	APPR	APPR.An	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Luft	-	Luft	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
vorgetrocknet	-	vorgetrocknen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
wurden	-	werden	VAFIN	VFIN.Aux.3.Pl.Past.Ind	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Gut	-	Gut	ADJD	ADJD.Pos	yes	-	-	-	-	-
getrocknete	-	getrocknet	ADJA	ADJA.Pos.Nom.Pl.Masc	no	-	-	-	-	-
Trester	-	Trester	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
bilden	-	bilden	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
im	-	in	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
Winter	-	Winter	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
ein	-	ein	ART	ART.Indef.Acc.Sg.Neut	no	-	-	-	-	-
wertvolles	-	wertvoll	ADJA	ADJA.Pos.Acc.Sg.Neut	no	-	-	-	-	-
Futter	-	Futter	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
besonders	-	besonders	ADV	ADV	no	-	-	-	-	-
für	-	für	APPR	APPR.Acc	no	-	-	-	-	-
Schweine	-	Schwein	NN	N.Reg.Acc.Pl.Neut	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Auch	-	auch	ADV	ADV	yes	-	-	-	-	-
Rindvieh	-	Rindvieh	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
frißt	-	fressen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
die	-	der	ART	ART.Def.Acc.Pl.Masc	no	-	-	-	-	-
Trester	-	Trester	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
gerne	-	gerne	ADV	ADV	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Der	-	der	ART	ART.Def.Nom.Sg.Masc	yes	-	-	-	-	-
Futterwert	-	Futterwert	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
der	-	der	ART	ART.Def.Gen.Pl.Masc	no	-	-	-	-	-
Trockentrester	-	Trockentrester	NN	N.Reg.Gen.Pl.Masc	no	-	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
etwa	-	etwa	ADV	ADV	no	-	-	-	-	-
doppelt	-	doppelt	ADJD	ADJD.Pos	yes	-	-	-	-	-
so	-	so	ADV	ADV	yes	-	-	-	-	-
groß	-	groß	ADJD	ADJD.Pos	no	-	-	-	-	-
als	-	als	KOKOM	CONJ.Comp.-	no	-	-	-	-	-
der	-	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Kartoffel	-	Kartoffel	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Wenn	-	wenn	KOUS	CONJ.SubFin.-	yes	-	-	-	-	-
die	-	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Obsttrester	-	Obsttrester	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
allgemein	-	allgemein	ADJD	ADJD.Pos	no	-	-	-	-	-
getrocknet	-	trocknen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
werden	-	werden	VAINF	VFIN.Aux.3.Pl.Pres.Ind	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
so	-	so	ADV	ADV	no	-	-	-	-	-
würden	-	werden	VAFIN	VFIN.Aux.3.Pl.Past.Subj	no	-	-	-	-	-
in	-	in	APPR	APPR.In	no	-	-	-	-	-
Steiermark	-	Steiermark	NE	N.Name.Dat.Sg.Fem	no	-	-	-	-	-
viele	-	vieler	PIAT	PRO.Indef.Attr.-.Acc.Pl.Masc	no	-	-	-	-	-
hundert	-	hundert	CARD	CARD	no	-	-	-	-	-
Waggon	-	Waggon	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
wertvollen	-	wertvoll	ADJA	ADJA.Pos.Gen.Sg.Neut	no	-	-	-	-	-
Futters	-	Futter	NN	N.Reg.Gen.Sg.Neut	no	-	-	-	-	-
geschaffen	-	schaffen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Richtpreise	-	Richtpreis	NN	N.Reg.Acc.Sg.Fem	yes	-	-	-	-	-
für	-	für	APPR	APPR.Acc	no	-	-	-	-	-
Brennholz	-	Brennholz	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	-	der	ART	ART.Def.Nom.Sg.Fem	yes	-	-	-	-	-
Preisprüfungsstelle	-	Preisprüfungsstelle	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
für	-	für	APPR	APPR.Acc	no	-	-	-	-	-
Marburg	-	Marburg	NE	N.Name.Acc.Sg.Neut	no	-	-	-	-	-
hat	-	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	-	-	-	-	-
folgende	-	folgend	ADJA	ADJA.Pos.Acc.Pl.Masc	no	-	-	-	-	-
Richtpreise	-	Richtpreis	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
für	-	für	APPR	APPR.Acc	no	-	-	-	-	-
Brennholz	-	Brennholz	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
festgesetzt	-	festsetzen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
1.	-	1.	ADJA	ADJA.Pos.Nom.Sg.Fem	yes	-	-	-	-	-
Prima	-	Prima	NN	ADJA.Pos.Nom.Sg.Fem	no	-	-	-	-	-
Brennholz	-	Brennholz	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
das	-	der	PDS	PRO.Dem.Subst.-.Nom.Sg.Neut	no	-	-	-	-	-
ist	-	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
vollkommen	-	vollkommen	ADJD	ADJD.Pos	no	-	-	-	-	-
gesundes	-	gesund	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
gerades	-	gerad	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
Scheitholz	-	Scheitholz	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
.	-	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
über	-	über	APPR	APPR.über	yes	-	-	-	-	-
10	-	10	CARD	CARD	no	-	-	-	-	-
Zentimeter	-	Zentimeter	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
breit	-	breit	ADJD	ADJD.Pos	no	-	-	-	-	-
,	-	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	-	der	ART	ART.Def.Gen.Sg.Fem	no	-	-	-	-	-
Buche	-	Buch	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
