tok	normtok	lemma	pos	rfpos	sentstart	fictional	cat
Über	Über	über	APPR	APPR.über	yes	yes	x
einen	einen	eine	ART	ART.Indef.Acc.Sg.Masc	no	yes	x
Hund	Hund	Hund	NN	N.Reg.Acc.Sg.Masc	no	yes	x
und	und	und	KON	CONJ.Coord.-	no	yes	x
die	die	d	ART	ART.Def.Nom.Sg.Fem	no	yes	x
Monroe-Doktrin	Monroedoktrin	Monroedoktrin	NN	N.Reg.Nom.Sg.Fem	no	yes	x
Shorty	Shorty	Shorty	NE	N.Name.Nom.Sg.*	yes	yes	x
war	war	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	yes	x
ein	ein	eine	ART	ART.Indef.Nom.Sg.Masc	no	yes	x
weißer	weißer	weiß	ADJA	ADJA.Pos.Nom.Sg.Masc	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
braungefleckter	braungefleckter	braungefleckt	ADJA	ADJA.Pos.Nom.Sg.Masc	no	yes	x
Hund	Hund	Hund	NN	N.Reg.Nom.Sg.Masc	no	yes	x
unbestimmter	unbestimmter	unbestimmt	ADJA	ADJA.Pos.Gen.Sg.Fem	no	yes	x
Gattung	Gattung	Gattung	NN	N.Reg.Gen.Sg.Fem	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
aber	aber	aber	ADV	CONJ.Coord.Aber	no	yes	x
die	die	d	ART	ART.Def.Acc.Pl.Fem	no	yes	x
besten	besten	gut	ADJA	ADJA.Sup.Acc.Pl.Fem	no	yes	x
Rassen	Rassen	Rasse	NN	N.Reg.Acc.Pl.Fem	no	yes	x
der	der	d	ART	ART.Def.Gen.Sg.Fem	no	yes	x
Alten	Alten	alt	ADJA	ADJA.Pos.Gen.Sg.Fem	no	yes	x
Welt	Welt	Welt	NN	N.Reg.Gen.Sg.Fem	no	yes	x
hatten	hatten	haben	VAFIN	VFIN.Haben.3.Pl.Past.Ind	no	yes	x
offenbar	offenbar	offenbar	ADJD	ADJD.Pos	no	yes	x
bei	bei	bei	APPR	APPR.Dat	no	yes	x
seinem	seinem	seine	PPOSAT	PRO.Poss.Attr.-.Dat.Sg.Masc	no	yes	x
Pedigree	Pedigree	Pedigree	NN	N.Reg.Dat.Sg.Masc	no	yes	x
mitgewirkt	mitgewirkt	mitwirken	VVPP	VPP.Full.Psp	no	yes	x
und	und	und	KON	CONJ.Coord.-	no	yes	x
hatten	hatten	haben	VAFIN	VFIN.Haben.3.Pl.Past.Ind	no	yes	x
auf	auf	auf	APPR	APPR.Auf	no	yes	x
einem	einem	eine	ART	ART.Indef.Dat.Sg.Masc	no	yes	x
der	der	d	ART	ART.Def.Gen.Sg.Fem	no	yes	x
Entwicklung	Entwicklung	Entwicklung	NN	N.Reg.Gen.Sg.Fem	no	yes	x
neuer	neuer	neu	ADJA	ADJA.Pos.Gen.Pl.Masc	no	yes	x
Typen	Typen	Type	NN	N.Reg.Gen.Pl.Masc	no	yes	x
so	so	so	ADV	ADV	no	yes	x
überaus	überaus	überaus	ADV	ADV	no	yes	x
günstigen	günstigen	günstig	ADJA	ADJA.Pos.Acc.Sg.Masc	no	yes	x
Boden	Boden	Boden	NN	N.Reg.Acc.Sg.Masc	no	yes	x
dazu	dazu	dazu	PAV	PROADV.Dem	no	yes	x
beigetragen	beigetragen	beitragen	VVPP	VPP.Full.Psp	no	yes	x
,	,	,	$,	SYM.Pun.Comma	no	yes	x
