tok	cat
Frau	x
Selma	x
Knolle	x
liebte	x
die	x
Einsamkeit	x
und	x
schwärmte	x
vom	x
völligen	x
Abgeschlossensein	x
von	x
der	x
Welt	x
.	x
Deshalb	x
veranstaltete	x
sie	x
jede	x
Woche	x
einen	x
Empfangsabend	x
,	x
an	x
dem	x
sich	x
über	x
ein	x
halbes	x
Hundert	x
Menschen	x
in	x
ihrem	x
Hause	x
zusammenfanden	x
.	x
Sie	x
betete	x
die	x
Wahrheit	x
an	x
,	x
und	x
ihre	x
Busenfreundin	x
war	x
eine	x
–	x
Spiritistin	x
;	x
sie	x
stellte	x
die	x
höchsten	x
Anforderungen	x
an	x
die	x
Sittenreinheit	x
des	x
Weibes	x
,	x
und	x
ihre	x
Abgötterei	x
galt	x
einer	x
vierzigjährigen	x
Dame	x
,	x
die	x
noch	x
vor	x
Thorschluss	x
das	x
Jungfernkränzchen	x
abgelegt	x
hatte	x
,	x
um	x
die	x
interessanten	x
Umstände	x
kennen	x
zu	x
lernen	x
.	x
Frau	x
Selma	x
Knolle	x
hatte	x
als	x
Mädchen	x
immer	x
für	x
das	x
Cölibat	x
geschwärmt	x
,	x
deshalb	x
heiratete	x
sie	x
einen	x
athletisch	x
gebauten	x
Mann	x
,	x
der	x
schon	x
von	x
zwei	x
Gattinnen	x
geschieden	x
war	x
.	x
Sie	x
bekam	x
vier	x
Kinder	x
von	x
ihm	x
.	x
Er	x
war	x
ein	x
verteufelt	x
schlauer	x
Bursche	x
,	x
der	x
Doktor	x
.	x
Dem	x
Zug	x
seiner	x
Zeit	x
folgend	x
,	x
hatte	x
er	x
viele	x
Reisen	x
gemacht	x
,	x
sechsmal	x
seinen	x
Beruf	x
gewechselt	x
,	x
sein	x
Vermögen	x
verloren	x
,	x
wieder	x
erworben	x
,	x
abermals	x
verloren	x
,	x
sich	x
durch	x
gute	x
Partien	x
wieder	x
rangiert	x
,	x
aber	x
,	x
zu	x
vielseitig	x
begabt	x
für	x
einen	x
Ehemann	x
,	x
schlechten	x
Erfolg	x
mit	x
seinen	x
Gattinnen	x
gehabt	x
.	x
Zum	x
Schluss	x
war	x
ihm	x
diese	x
grosse	x
,	x
blonde	x
Frau	x
mit	x
dem	x
weichen	x
Fleisch	x
begegnet	x
,	x
die	x
ihm	x
resolut	x
sagte	x
:	x
»	x
Deine	x
andern	x
Gattinnen	x
verstanden	x
dich	x
nicht	x
,	x
ich	x
aber	x
verstehe	x
dich	x
und	x
bin	x
die	x
Richtige	x
für	x
dich.	x
«	x
Da	x
hatte	x
er	x
zum	x
drittenmal	x
eingewilligt	x
,	x
einer	indirect
schönen	indirect
Frau	indirect
zu	indirect
einem	indirect
Irrtum	indirect
zu	indirect
verhelfen	indirect
.	indirect
In	x
den	x
ersten	x
vier	x
Jahren	x
war	x
sie	x
beständig	x
schwanger	x
und	x
konnte	x
sich	x
seiner	x
nicht	x
so	x
erfreuen	x
,	x
wie	x
sie	x
es	x
gewünscht	x
hätte	x
.	x
Dann	x
musste	x
er	x
–	x
er	x
behauptete	x
es	x
wenigstens	x
–	x
eine	x
Reise	x
um	x
die	x
Welt	x
machen	x
.	x
Als	x
er	x
wiederkehrte	x
,	x
hatte	x
er	x
allerlei	x
Marotten	x
mitgebracht	x
.	x
Er	x
zog	x
z.B	x
.	x
ihre	x
langen	x
Nachthemden	x
an	x
und	x
setzte	x
sich	x
in	x
diesem	x
Aufzug	x
in	x
ein	x
künstlich	x
verdunkeltes	x
Zimmer	x
,	x
um	x
»	x
nachzudenken	x
«	x
.	x
Er	x
behauptete	x
,	x
dann	indirect
erhabene	indirect
Gesichte	indirect
zu	indirect
haben	indirect
,	indirect
die	indirect
er	indirect
nach	indirect
seinem	indirect
Tod	indirect
aufzeichnen	indirect
wollte	indirect
.	indirect
Manchmal	x
verschmähte	x
er	x
sogar	x
ihre	x
Nachthemden	x
und	x
sie	x
fand	x
ihn	x
als	x
Adam	x
verkleidet	x
.	x
Schliesslich	x
fing	x
sie	x
an	x
,	x
an	x
seinem	x
Verstand	x
zu	x
zweifeln	x
und	x
eilte	x
,	x
einen	x
Nervenarzt	x
zu	x
holen	x
.	x
Der	x
blieb	x
sehr	x
lange	x
bei	x
Knolle	x
,	x
und	x
als	x
er	x
dessen	x
Zimmer	x
verliess	x
,	x
machte	x
er	x
ein	x
sehr	x
vergnügliches	x
Gesicht	x
,	x
drückte	x
ihr	x
beruhigend	x
die	x
Hand	x
,	x
erkundigte	x
sich	x
teilnahmsvoll	x
nach	x
ihrem	x
Gesundheitszustand	x
und	x
verschrieb	x
ihr	x
Pillen	x
.	x
Sie	x
verstand	x
das	x
alles	x
sich	x
zwar	x
nicht	x
zusammenzureimen	x
,	x
doch	x
war	x
sie	x
zufrieden	x
,	x
dass	x
ihrem	x
Bibibi	x
,	x
wie	x
sie	x
den	x
Athleten	x
nannte	x
,	x
nichts	x
Ernsthaftes	x
fehle	x
.	x
Sie	x
überlegte	x
,	x
zu	indirect
welchem	indirect
Beruf	indirect
sie	indirect
ihm	indirect
raten	indirect
sollte	indirect
.	indirect
Und	x
da	x
sie	x
im	x
Grunde	x
doch	x
an	x
seinem	x
gesunden	x
Verstand	x
zweifelte	x
,	x
kaufte	x
sie	x
ihm	x
eine	x
Zeitung	x
,	x
deren	x
Leitung	x
er	x
zugleich	x
übernehmen	x
sollte	x
.	x
Sie	x
kalkulierte	x
ganz	x
richtig	x
,	x
dass	indirect
es	indirect
für	indirect
einen	indirect
Mann	indirect
von	indirect
seiner	indirect
Begabung	indirect
keine	indirect
passendere	indirect
Beschäftigung	indirect
geben	indirect
konnte	indirect
.	indirect
Bibibi	x
,	x
der	x
Bibibi	x
,	x
der	x
drei	x
strenge	x
Jungfrauen	x
zum	x
Altar	x
geführt	x
hatte	x
–	x
nicht	x
alle	x
seine	x
Jungfrauen	x
hatte	x
er	x
zum	x
Altar	x
geführt	x
!	x
-	x
,	x
kehrte	x
glücklich	x
das	x
Unterste	x
seiner	x
Überzeugungen	x
nach	x
oben	x
.	x
Er	x
nahm	x
nur	x
Ehebruchsromane	x
für	x
seine	x
Zeitung	x
an	x
und	x
lehnte	x
kaltblütig	x
alle	x
andern	x
litterarischen	x
Anerbieten	x
ab	x
.	x
Der	x
Ehebruch	x
musste	x
natürlich	x
in	x
einer	x
verdeckten	x
Schüssel	x
und	x
mit	x
Gewürz	x
aus	x
den	x
Beeten	x
der	x
Romantik	x
serviert	x
sein	x
.	x
Ferner	x
nahm	x
er	x
nur	x
von	x
Damen	x
Arbeiten	x
an	x
.	x
Diese	x
Damen	x
durften	x
indes	x
nicht	x
das	x
vierundzwanzigste	x
Jahr	x
überschritten	x
haben	x
,	x
um	x
noch	x
»	x
ihre	x
ganze	x
Frische	x
«	x
dem	x
Publikum	x
bieten	x
zu	x
können	x
.	x
Zum	x
Schluss	x
pflegte	x
er	x
mit	x
jeder	x
Verfasserin	x
,	x
von	x
der	x
er	x
eine	x
Arbeit	x
acceptierte	x
,	x
die	x
letzten	x
Abmachungen	x
in	x
einem	x
Hotel	x
zu	x
treffen	x
,	x
»	x
weil	x
er	x
da	x
ungestörter	x
sei	x
,	x
als	x
in	x
den	x
unruhigen	x
Redaktionsräumen.	x
«	x
Sein	x
Lesekomitee	x
,	x
d.h.	x
die	x
jede	x
eingelaufene	x
Arbeit	x
Prüfenden	x
,	x
bestand	x
aus	x
ihm	x
geistig	x
verwandten	x
Weibern	x
in	x
Männerröcken	x
.	x
Daneben	x
hatte	x
er	x
unter	x
andern	x
Kritikern	x
besonders	x
zwei	x
engagiert	x
,	x
die	x
einer	x
gewissen	x
Berühmtheit	x
genossen	x
.	x
Der	x
eine	x
machte	x
alles	x
nieder	x
,	x
was	x
er	x
las	x
,	x
der	x
andere	x
war	x
ein	x
Genie	x
;	x
der	x
machte	x
sogar	x
das	x
nieder	x
,	x
was	x
er	x
nicht	x
gelesen	x
hatte	x
.	x
Und	x
der	x
Verleger	x
gedieh	x
und	x
die	x
Mitarbeiter	x
gediehen	x
und	x
die	x
Zeitung	x
gedieh	x
.	x
Bibibi	x
machte	x
einen	x
Ableger	x
von	x
ihr	x
und	x
gründete	x
eine	x
kleine	x
illustrierte	x
Zeitschrift	x
.	x
Das	x
Genie	x
schimpfte	x
diese	x
neue	x
Zeitschrift	x
in	x
Grund	x
und	x
Boden	x
nieder	x
,	x
so	x
dass	x
Bibibi	x
sofort	x
eine	x
zweite	x
,	x
die	x
besser	x
sein	x
sollte	x
,	x
erscheinen	x
liess	x
.	x
Die	x
Schimpferei	x
war	x
natürlich	x
nur	x
ein	x
Trick	x
gewesen	x
,	x
um	x
zwei	x
neuen	x
Zeitschriften	x
zum	x
Dasein	x
zu	x
verhelfen	x
.	x
