tok	cat
Nach	x
der	x
sehr	x
eingehenden	x
und	x
sorgsamen	x
Abhandlung	x
von	x
Arago	x
–	x
ganz	x
zu	x
schweigen	x
von	x
dem	x
Aufsatz	x
in	x
»	x
Sillimans	x
Journal	x
«	x
,	x
der	x
die	x
soeben	x
von	x
Leutnant	x
Maury	x
veröffentlichten	x
Feststellungen	x
im	x
Auszug	x
enthält	x
–	x
wird	x
man	x
natürlich	x
nicht	x
annehmen	x
,	x
daß	indirect
ich	indirect
irgendwie	indirect
die	indirect
Absicht	indirect
habe	indirect
,	indirect
den	indirect
Gegenstand	indirect
vom	indirect
wissenschaftlichen	indirect
Gesichtspunkt	indirect
zu	indirect
betrachten	indirect
,	x
wenn	x
ich	x
mir	x
jetzt	x
einige	x
flüchtige	x
Bemerkungen	x
zu	x
Kempelens	x
Entdeckung	x
erlaube	x
.	x
Meine	x
Absicht	x
ist	x
einfach	x
die	x
,	x
zunächst	x
ein	x
paar	x
Worte	x
über	x
Kempelen	x
selbst	x
zu	x
sagen	x
(	x
zu	x
dem	x
ich	x
vor	x
Jahren	x
in	x
persönlichen	x
Beziehungen	x
stand	x
)	x
,	x
da	x
alles	x
,	x
was	x
ihn	x
betrifft	x
,	x
gegenwärtig	x
von	x
Interesse	x
sein	x
dürfte	x
,	x
und	x
hiernach	x
in	x
allgemeiner	x
und	x
spekulativer	x
Weise	x
die	x
Folgen	x
der	x
Entdeckung	x
zu	x
beleuchten	x
.	x
Ich	x
möchte	x
meinen	x
Betrachtungen	x
vorausschicken	x
,	x
daß	x
ich	x
der	x
allgemeinen	x
Auffassung	x
(	x
die	x
,	x
wie	x
in	x
solchen	x
Fällen	x
üblich	x
,	x
den	x
Zeitungen	x
entlehnt	x
wird	x
)	x
entschieden	x
entgegentreten	x
muß	x
:	x
der	x
Auffassung	x
nämlich	x
,	x
als	indirect
habe	indirect
diese	indirect
Entdeckung	indirect
,	indirect
so	indirect
ungeheuer	indirect
sie	indirect
fraglos	indirect
ist	indirect
,	indirect
nicht	indirect
ihre	indirect
Vorläufer	indirect
gehabt	indirect
.	indirect
Bei	x
Einsicht	x
in	x
das	x
»	x
Tagebuch	x
des	x
Sir	x
Humphrey	x
Davy	x
«	x
(	x
Cottle	x
&	x
Munroe	x
,	x
London	x
)	x
ist	x
