tok	cat
D	x
ie	x
spärliche	x
Bevölkerung	x
der	x
russischen	x
Steppen	x
und	x
tausend	x
andere	x
Hindernisse	x
machen	x
es	x
den	x
reichen	x
Grundbesitzern	x
daselbst	x
unmöglich	x
,	x
bedeutende	x
Strecken	x
ihrer	x
Ländereien	x
beackern	x
zu	x
lassen	x
.	x
Sie	x
richten	x
daher	x
ihr	x
Augenmerk	x
vorzüglich	x
auf	x
die	x
Zucht	x
der	x
Schafe	x
,	x
Ochsen	x
und	x
Pferde	x
,	x
von	x
denen	x
es	x
nirgend	x
auf	x
der	x
Erde	x
größere	x
Heerden	x
gibt	x
.	x
Am	x
meisten	x
eignet	x
sich	x
das	x
Land	x
zur	x
Zucht	x
der	x
Pferde	x
,	x
die	x
sich	x
wegen	x
ihrer	x
Leichtfüßigkeit	x
leicht	x
von	x
einem	x
Ende	x
der	x
ausgedehnten	x
Besitzungen	x
des	x
Eigenthümers	x
zum	x
andern	x
treiben	x
lassen	x
.	x
Es	x
finden	x
sich	x
daher	x
in	x
diesen	x
Gegenden	x
so	x
viele	x
Pferde	x
,	x
daß	x
sie	x
fast	x
die	x
gesammte	x
Cavalerie	x
des	x
russischen	x
Kaiserreichs	x
remontiren	x
und	x
jeden	x
Augenblick	x
einer	x
neuen	x
Armee	x
ihren	x
Bedarf	x
liefern	x
können	x
.	x
Will	x
ein	x
Grundbesitzer	x
einen	x
neuen	x
Tabuhn	x
errichten	x
,	x
so	x
schickt	x
er	x
eine	x
kleine	x
Anzahl	x
von	x
Hengsten	x
und	x
Stuten	x
unter	x
der	x
Obhut	x
besonderer	x
Hirten	x
in	x
die	x
Steppe	x
.	x
Diese	x
bilden	x
den	x
Kern	x
des	x
Tabuhns	x
oder	x
Gestütes	x
.	x
Man	x
läßt	x
nun	x
die	x
Heerde	x
so	x
lange	x
anwachsen	x
,	x
bis	x
die	x
Anzahl	x
der	x
Pferde	x
so	x
groß	x
geworden	x
ist	x
,	x
als	x
es	x
die	x
Subsistenzmittel	x
des	x
Gutes	x
erlauben	x
.	x
Jndeß	x
enthält	x
ein	x
Tabuhn	x
selten	x
mehr	x
als	x
tausend	x
Pferde	x
,	x
aber	x
es	x
gibt	x
Grundbesitzer	x
,	x
die	x
acht	x
bis	x
zehn	x
solcher	x
