tok	cat
Melanchthon	x
tanzte	x
mit	x
der	x
Fledermaus	x
,	x
die	x
den	x
Kopf	x
unten	x
und	x
oben	x
die	x
Füße	x
hatte	x
.	x
Die	x
Flügel	x
um	x
den	x
Leib	x
geschlagen	x
und	x
in	x
den	x
Krallenzehen	x
einen	x
großen	x
goldenen	x
Reifen	x
steif	x
emporhaltend	x
,	x
wie	x
um	x
anzudeuten	x
,	x
daß	x
sie	x
von	x
irgendwo	x
herabhänge	x
,	x
sah	x
sie	x
ganz	x
absonderlich	x
aus	x
,	x
und	x
es	x
mußte	x
einen	x
merkwürdigen	x
Eindruck	x
auf	x
Melanchthon	x
machen	x
,	x
wenn	x
er	x
beim	x
Tanzen	x
beständig	x
durch	x
diesen	x
Ring	x
zu	x
sehen	x
gezwungen	x
war	x
,	x
der	x
genau	x
in	x
seine	x
Gesichtshöhe	x
reichte	x
.	x
Sie	x
war	x
eine	x
der	x
originellsten	x
Masken	x
auf	x
dem	x
Feste	x
des	x
persischen	x
Prinzen	x
,	x
–	x
auch	x
eine	x
der	x
scheußlichsten	x
allerdings	x
–	x
diese	x
Fledermaus	x
.	x
–	x
Sogar	x
Seiner	x
Durchlaucht	x
Mohammed	x
Daraschekoh	x
,	x
dem	x
Gastgeber	x
,	x
war	x
sie	x
aufgefallen	x
.	x
»	x
Schöne	x
Maske	x
,	x
ich	x
kenne	x
dich	x
,	x
«	x
hatte	x
er	x
ihr	x
zugeflüstert	x
und	x
damit	x
große	x
Heiterkeit	x
bei	x
den	x
Nebenstehenden	x
erregt	x
.	x
»	x
Es	x
ist	x
bestimmt	x
die	x
kleine	x
Marquise	x
,	x
die	x
intime	x
Freundin	x
der	x
Fürstin	x
,	x
«	x
meinte	x
ein	x
holländischer	x
Ratsherr	x
,	x
gekleidet	x
im	x
Stile	x
Rembrandts	x
–	x
es	indirect
könne	indirect
gar	indirect
nicht	indirect
anders	indirect
sein	indirect
;	indirect
jeden	indirect
Winkel	indirect
wisse	indirect
sie	indirect
im	indirect
Schlosse	indirect
,	x
–	x
ihren	x
Reden	x
nach	x
–	x
und	indirect
vorhin	indirect
,	indirect
als	indirect
mehreren	indirect
Kavalieren	indirect
der	indirect
›frostige‹	indirect
Einfall	indirect
gekommen	indirect
,	indirect
sich	indirect
von	indirect
dem	indirect
alten	indirect
Kammerdiener	indirect
Filzstiefel	indirect
und	indirect
Fackeln	indirect
bringen	indirect
zu	indirect
lassen	indirect
,	indirect
um	indirect
draußen	indirect
im	indirect
Parke	indirect
Schneeballen	indirect
zu	indirect
werfen	indirect
,	indirect
wobei	indirect
die	indirect
Fledermaus	indirect
ausgelassen	indirect
mitgetollt	indirect
hatte	indirect
–	indirect
,	indirect
hätte	indirect
er	indirect
wetten	indirect
mögen	indirect
,	indirect
ein	indirect
ihm	indirect
wohlbekanntes	indirect
Hyazintharmband	indirect
an	indirect
ihrem	indirect
Handgelenk	indirect
aufblitzen	indirect
gesehen	indirect
zu	indirect
haben	indirect
.	indirect
»	x
Ach	x
,	x
wie	x
interessant	x
,	x
«	x
mischte	x
sich	x
ein	x
blauer	x
Schmetterling	x
ins	x
Gespräch	x
,	x
–	x
»	x
könnte	x
da	x
nicht	x
Melanchthon	x
vorsichtig	x
ein	x
wenig	x
sondieren	x
,	x
ob	x
Graf	x
de	x
Faast	x
,	x
wie	x
es	x
in	x
letzter	x
Zeit	x
den	x
Anschein	x
hat	x
,	x
bei	x
der	x
Fürstin	x
wirklich	x
Hahn	x
im	x
Korbe	x
ist	x
?	x
«	x
»	x
Ich	x
warne	x
dich	x
,	x
Maske	x
,	x
sprich	x
nicht	x
so	x
laut	x
,	x
«	x
unterbrach	x
ernst	x
der	x
holländische	x
Ratsherr	x
.	x
»	x
Nur	x
gut	x
,	x
daß	x
die	x
Musik	x
den	x
Walzerschluß	x
fortissimo	x
spielte	x
,	x
–	x
vor	x
wenigen	x
Augenblicken	x
noch	x
stand	x
der	x
Prinz	x
hier	x
ganz	x
in	x
der	x
Nähe	x
!	x
«	x
»	x
Ja	x
,	x
ja	x
,	x
am	x
besten	x
kein	x
Wort	x
über	x
solche	x
Dinge	x
,	x
«	x
riet	x
flüsternd	x
ein	x
ägyptischer	x
Anubis	x
,	x
»	x
die	x
