tok	cat
St	x
.	x
Gallisches	x
—	x
St	x
.	x
Gallen	x
Mit	x
größtem	x
Vergnügen	x
haben	x
wir	x
hier	x
in	x
der	x
Hauptstadt	x
vernommen	x
,	x
wie	indirect
der	indirect
Seebezirk	indirect
und	indirect
Gaster	indirect
gegenwärtig	indirect
sich	indirect
bestreben	indirect
,	indirect
mit	indirect
den	indirect
übrigen	indirect
St.	indirect
Gallischen	indirect
Landen	indirect
in	indirect
nähere	indirect
Berührung	indirect
zu	indirect
kommen	indirect
,	indirect
theils	indirect
durch	indirect
Eisenbahn-Projekte	indirect
,	indirect
theils	indirect
durch	indirect
Anstrebung	indirect
besserer	indirect
Post-	indirect
und	indirect
TelegraphenVerbindung	indirect
.	indirect
Das	x
Dürrwälderland	x
war	x
bisher	x
wirklich	x
so	x
schlecht	x
mit	x
dem	x
übrigen	x
Kanton	x
verbunden	x
,	x
daß	x
man	x
sich	x
nicht	x
wundern	x
müßte	x
,	x
wenn	x
sich	x
die	x
dortigen	x
Bewohner	x
nur	x
als	x
halbe	x
St.	x
Galler	x
betrachten	x
würden	x
.	x
Darum	x
ist	x
es	x
um	x
so	x
erfreulicher	x
,	x
zu	x
sehen	x
,	x
daß	x
der	x
Patriotismus	x
dennoch	x
so	x
lebhaft	x
sich	x
erhalten	x
hat	x
,	x
daß	x
man	x
dem	x
Gesammtkanton	x
und	x
der	x
Hauptstadt	x
immer	x
näher	x
zu	x
rücken	x
wünscht	x
.	x
Schreiber	x
dies	x
hegt	x
zwar	x
noch	x
einige	x
leise	x
Zweifel	x
,	x
ob	indirect
die	indirect
Eisenbahn	indirect
Uznach-Wattwyl	indirect
so	indirect
bald	indirect
zu	indirect
Stande	indirect
kommen	indirect
werde	indirect
;	x
indeß	x
ist	x
die	x
Anregung	x
und	x
Besprechung	x
des	x
Projektes	x
nur	x
zu	x
begrüßen	x
und	x
würde	x
dessen	x
Verwirklichung	x
wesentliche	x
Verkehrsvortheile	x
bieten	x
.	x
Was	x
hingegen	x
die	x
bessere	x
Post-	x
und	x
TelegraphenVerbindung	x
im	x
oberen	x
Seebezirk	x
anbetrifft	x
,	x
so	x
haben	x
wir	x
uns	x
schon	x
lange	x
gewundert	x
über	x
die	x
Geduld	x
und	x
Langmuth	x
der	x
Gemeinden	x
Eschenbach	x
,	x
St.	x
Gallenkappel	x
und	x
Goldingen	x
,	x
die	x
in	x
Folge	x
der	x
traurigen	x
Verkehrsverhältnisse	x
so	x
ziemlich	x
von	x
der	x
Welt	x
abgeschlossen	x
waren	x
.	x
Der	x
Verkehr	x
mit	x
den	x
übrigen	x
St.	x
Gallischen	x
Landschaften	x
ist	x
wirklich	x
ein	x
äußerst	x
schwerfälliger	x
und	x
ist	x
durch	x
Abschaffung	x
der	x
Postverbindung	x
Rapperswyl-Eschenbach-Riken	x
geradezu	x
unerträglich	x
geworden	x
.	x
Es	x
ist	x
daher	x
dem	x
Gemeinderath	x
von	x
Eschenbach	x
zu	x
gratuliren	x
,	x
daß	indirect
er	indirect
endlich	indirect
sich	indirect
aufgerafft	indirect
und	indirect
auf	indirect
nächsten	indirect
Sonntag	indirect
eine	indirect
BürgerVersammlung	indirect
einberufen	indirect
hat	indirect
,	indirect
um	indirect
über	indirect
die	indirect
Angelegenheit	indirect
zu	indirect
berathen	indirect
.	indirect
Freilich	x
wird	x
Eschenbach	x
allein	x
nicht	x
viel	x
thun	x
können	x
,	x
wenn	x
nicht	x
St.	x
Gallenkappel	x
und	x
Goldingen	x
im	x
wohlverstandenen	x
eigenen	x
Interesse	x
getreulich	x
mithelfen	x
.	x
Wir	x
wissen	x
natürlich	x
nicht	x
,	x
zu	indirect
welchen	indirect
Resultaten	indirect
die	indirect
Vorbesprechungen	indirect
geführt	indirect
haben	indirect
und	indirect
was	indirect
nun	indirect
zunächst	indirect
in	indirect
Aussicht	indirect
genommen	indirect
ist	indirect
.	indirect
Jedenfalls	x
sollte	x
es	x
möglich	x
gemacht	x
werden	x
,	x
daß	x
die	x
Post	x
täglich	x
zweimal	x
abgeht	x
und	x
ankommt	x
,	x
und	x
daß	x
wenigstens	x
in	x
den	x
drei	x
Gemeinde-Hauptorten	x
die	x
Briefe	x
zweimal	x
ausgetheilt	x
werden	x
.	x
Wenn	x
es	x
,	x
wegen	x
Mangel	x
an	x
Reisenden	x
nicht	x
möglich	x
wird	x
,	x
zweimalige	x
Postverbindung	x
Rapperswyl-Riken	x
zu	x
erhalten	x
,	x
so	x
wäre	x
es	x
wohl	x
ebenso	x
praktisch	x
,	x
diesen	x
Post	x
kurs	x
ganz	x
