tok	cat
Ich	x
sitze	x
noch	x
um	x
Mitternacht	x
an	x
meinem	x
Schreibtisch	x
.	x
Der	x
Gedanke	x
an	x
jene	x
unglückliche	x
Frau	x
läßt	x
mich	x
nicht	x
zur	x
Ruhe	x
kommen	x
...	x
Ich	x
denke	x
an	x
das	x
düstere	x
Hofzimmer	x
mit	x
den	x
altertümlichen	x
Bildern	x
;	x
an	x
das	x
Bett	x
mit	x
dem	x
blutgeröteten	x
Polster	x
,	x
auf	x
dem	x
ihr	x
blasser	x
Kopf	x
mit	x
den	x
halbgeschlossenen	x
Augen	x
ruhte	x
.	x
Ein	x
so	x
trüber	x
Regenmorgen	x
war	x
es	x
überdies	x
.	x
Und	x
in	x
der	x
andern	x
Zimmerecke	x
,	x
auf	x
einem	x
Stuhle	x
,	x
die	x
Beine	x
übereinandergeschlagen	x
,	x
mit	x
trotzigem	x
Gesichte	x
,	x
saß	x
er	x
,	x
der	x
Unselige	x
,	x
der	x
Sohn	x
,	x
der	x
das	x
Beil	x
gegen	x
das	x
Haupt	x
der	x
Mutter	x
erhoben	x
...	x
Ja	x
,	x
es	x
gibt	x
solche	x
Menschen	x
,	x
und	x
sie	x
sind	x
nicht	x
immer	x
wahnsinnig	x
!	x
Ich	x
sah	x
mir	x
dieses	x
trotzige	x
Gesicht	x
an	x
,	x
ich	x
versuchte	x
darin	x
zu	x
lesen	x
.	x
Ein	x
böses	x
,	x
bleiches	x
Antlitz	x
,	x
nicht	x
häßlich	x
,	x
nicht	x
dumm	x
,	x
mit	x
blutleeren	x
Lippen	x
,	x
die	x
Augen	x
verdüstert	x
,	x
das	x
Kinn	x
in	x
dem	x
zerknitterten	x
Hemdkragen	x
vergraben	x
,	x
um	x
den	x
Hals	x
eine	x
flatternde	x
Binde	x
,	x
deren	x
eines	x
Ende	x
er	x
zwischen	x
den	x
schmalen	x
Fingern	x
hin	x
und	x
her	x
drehte	x
.	x
–	x
So	x
wartete	x
er	x
auf	x
die	x
Polizei	x
,	x
die	x
ihn	x
wegführen	x
sollte	x
.	x
Unterdessen	x
stand	x
einer	x
,	x
der	x
achthatte	x
,	x
vor	x
der	x
Türe	x
draußen	x
.	x
Ich	x
hatte	x
die	x
Schläfe	x
der	x
unglücklichen	x
Mutter	x
verbunden	x
;	x
die	x
Arme	x
war	x
bewußtlos	x
.	x
Ich	x
verließ	x
sie	x
,	x
nachdem	x
eine	x
Frau	x
aus	x
der	x
Nachbarschaft	x
sich	x
erboten	x
,	x
bei	indirect
ihr	indirect
zu	indirect
wachen	indirect
.	indirect
Auf	x
der	x
Stiege	x
begegneten	x
mir	x
die	x
Gendarmen	x
,	x
welche	x
den	x
Muttermörder	x
abholen	x
kamen	x
.	x
Die	x
Bewohner	x
des	x
Vorstadthauses	x
waren	x
in	x
heftiger	x
Erregung	x
;	x
vor	x
der	x
Wohnungstüre	x
standen	x
sie	x
in	x
Gruppen	x
und	x
besprachen	x
das	x
traurige	x
Ereignis	x
.	x
Einige	x
fragten	x
mich	x
auch	x
,	x
wie	indirect
es	indirect
da	indirect
oben	indirect
stehe	indirect
und	indirect
ob	indirect
Hoffnung	indirect
für	indirect
das	indirect
Leben	indirect
der	indirect
Verletzten	indirect
vorhanden	indirect
sei	indirect
.	indirect
Ich	x
konnte	x
keine	x
bestimmte	x
Antwort	x
geben	x
.	x
Eine	x
mir	x
bekannte	x
,	x
nicht	x
mehr	x
ganz	x
junge	x
Person	x
,	x
die	x
Frau	x
eines	x
kleinen	x
Beamten	x
,	x
zu	x
dem	x
ich	x
früher	x
als	x
Arzt	x
gekommen	x
war	x
,	x
hielt	x
mich	x
etwas	x
länger	x
auf	x
.	x
Sie	x
lehnte	x
am	x
Stiegengeländer	x
und	x
schien	x
ganz	x
vernichtet	x
.	x
»	x
Das	x
ist	x
noch	x
weit	x
schrecklicher	x
als	x
Sie	x
denken	x
,	x
Herr	x
Doktor	x
!	x
«	x
sagte	x
sie	x
,	x
den	x
Kopf	x
schüttelnd	x
.	x
–	x
»	x
Noch	x
schrecklicher	x
?	x
«	x
fragte	x
ich	x
.	x
–	x
»	x
Ja	x
,	x
Herr	x
Doktor	x
!	x
–	x
Wenn	x
Sie	x
wüßten	x
,	x
wie	indirect
sie	indirect
ihn	indirect
geliebt	indirect
hat	indirect
!	indirect
«	x
–	x
»	x
Sie	x
hat	x
ihn	x
geliebt	x
?	x
«	x
–	x
»	x
Ja	x
,	x
sie	x
hat	x
ihn	x
verwöhnt	x
,	x
verzärtelt.	x
«	x
–	x
»	x
Diesen	x
Burschen	x
!	x
?	x
Und	x
warum	x
?	x
«	x
–	x
»	x
Ja	x
,	x
warum	x
!	x
...	x
Sehen	x
Sie	x
,	x
Herr	x
Doktor	x
,	x
der	x
Junge	x
war	x
ungeraten	x
von	x
Kindesbeinen	x
auf	x
.	x
Aber	x
alles	x
ließ	x
sie	x
ihm	x
hingehen	x
...	x
die	x
schlimmsten	x
Streiche	x
verzieh	x
sie	x
ihm	x
...	x
Wir	x
im	x
Hause	x
mußten	x
sie	x
oft	x
warnen	x
,	x
der	x
Tunichtgut	x
betrank	x
sich	x
schon	x
als	x
Knabe	x
,	x
und	x
erst	x
als	x
er	x
älter	x
wurde	x
...	x
diese	x
Geschichten	x
!	x
«	x
–	x
»	x
Was	x
für	x
Geschichten	x
?	x
«	x
–	x
»	x
Für	x
kurze	x
Zeit	x
war	x
er	x
in	x
einem	x
Geschäft	x
,	x
aber	x
er	x
mußte	x
wieder	x
weg	x
!	x
«	x
–	x
»	x
Er	x
mußte	x
?	x
«	x
–	x
»	x
Ja	x
,	x
er	x
stellte	x
alles	x
mögliche	x
an	x
;	x
er	x
bestahl	x
sogar	x
seinen	x
Dienstherrn	x
...	x
Die	x
Mutter	x
ersetzte	x
das	x
Geld	x
,	x
die	x
arme	x
Frau	x
,	x
die	x
kaum	x
selbst	x
zu	x
leben	x
hatte	x
!	x
«	x
–	x
»	x
Was	x
ist	x
sie	x
den	x
eigentlich	x
?	x
«	x
»	x
Sie	x
nähte	x
und	x
stickte	x
;	x
es	x
war	x
ein	x
recht	x
karges	x
Auskommen	x
.	x
Und	x
der	x
Junge	x
,	x
statt	x
sie	x
zu	x
unterstützen	x
,	x
trug	x
ihr	x
das	x
bißchen	x
,	x
was	x
sie	x
verdiente	x
,	x
ins	x
Wirtshaus	x
und	x
weiß	x
Gott	x
wohin	indirect
.	indirect
Damit	x
war	x
's	x
aber	x
nicht	x
genug	x
.	x
Das	x
Eßzeug	x
,	x
zwei	x
,	x
drei	x
Bilder	x
,	x
die	x
Wanduhr	x
,	x
fast	x
alles	x
,	x
was	x
nicht	x
angenagelt	x
war	x
,	x
wanderte	x
ins	x
Leihhaus	x
...	x
!	x
«	x
–	x
»	x
Und	x
sie	x
hat	x
es	x
geduldet	x
?	x
«	x
–	x
»	x
Geduldet	x
?	x
!	x
–	x
Sie	x
liebte	x
ihn	x
immer	x
mehr	x
!	x
Wir	x
alle	x
haben	x
es	x
nicht	x
begriffen	x
...	x
Und	x
nun	x
wollte	x
er	x
Geld	x
...	x
Sie	x
gab	x
ihm	x
,	x
was	x
sie	x
hatte	x
...	x
Er	x
drohte	x
ihr	x
,	x
er	indirect
mußte	indirect
Geld	indirect
haben	indirect
!	indirect
«	x
»	x
Woher	x
wissen	x
Sie	x
das	x
alles	x
?	x
«	x
»	x
Man	x
erfährt	x
das	x
so	x
im	x
Hause	x
.	x
Sein	x
Schreien	x
hörte	x
man	x
oft	x
durchs	x
Stiegenhaus	x
,	x
und	x
wenn	x
er	x
in	x
der	x
Nacht	x
oder	x
auch	x
bei	x
Tag	x
betrunken	x
nach	x
Hause	x
kam	x
,	x
fing	x
er	x
schon	x
bei	x
der	x
Türe	x
an	x
zu	x
brummen	x
und	x
zu	x
schelten	x
.	x
Die	x
arme	x
Frau	x
hatte	x
Schulden	x
überall	x
:	x
es	x
gab	x
manchmal	x
kein	x
Brot	x
da	x
oben	x
...	x
Wir	x
im	x
Hause	x
halfen	x
ihr	x
manchmal	x
aus	x
,	x
obwohl	x
es	x
unter	x
uns	x
keine	x
Reichen	x
gibt	x
.	x
Aber	x
es	x
wurde	x
nur	x
ärger	x
.	x
Sie	x
schien	x
ganz	x
verblendet	x
zu	x
sein	x
.	x
Alles	x
hielt	x
sie	x
für	x
Jugendstreiche	x
;	x
sie	x
bat	x
uns	x
manchmal	x
um	x
Entschuldigung	x
,	x
wenn	x
der	x
Bursch	x
in	x
der	x
Nacht	x
über	x
die	x
Stiege	x
torkelte	x
und	x
Lärm	x
machte	x
.	x
Ja	x
,	x
so	x
ein	x
Sohn	x
war	x
das	x
,	x
Herr	x
Doktor	x
.	x
–	x
Aber	x
daß	x
es	x
so	x
