tok	cat
rigen	x
Regierung-Jubiläums	x
Seiner	x
Majestät	x
des	x
Kaisers	x
ist	x
soeben	x
folgender	x
Tagesbefehl	x
an	x
das	x
k.	x
k.	x
priv	x
.	x
bewaffnete	x
Bürgercorps	x
erschienen	x
:	x
Am	x
2	x
.	x
December	x
1898	x
kehrt	x
zum	x
fünfzigsten	x
Male	x
jener	x
denkwürdige	x
,	x
für	x
das	x
ganze	x
Kaiserreich	x
hochwichtige	x
Tag	x
wieder	x
,	x
an	x
welchem	x
Se	x
.	x
k.	x
u.	x
k.	x
apostolische	x
Majestät	x
,	x
unser	x
allgeliebter	x
Kaiser	x
Franz	x
Josef	x
I.	x
in	x
Olmütz	x
den	x
Thron	x
seiner	x
erlauchten	x
Vorfahren	x
bestieg	x
.	x
Während	x
des	x
feierlichen	x
Thronbesteigungsactes	x
bezogen	x
unsere	x
Vorfahren	x
am	x
Allerhöchsten	x
Hoflager	x
in	x
der	x
fürsterzbischöflichen	x
Residenz	x
die	x
Wache	x
und	x
leistete	x
hienach	x
die	x
ausgerückte	x
Bürgercompagnie	x
dem	x
jungen	x
Kaiser	x
die	x
ersten	x
militärischen	x
Ehrenbezeigungen	x
.	x
Die	x
Erinnerung	x
an	x
diese	x
historische	x
Begebenheit	x
,	x
welche	x
Anlaß	x
zur	x
Stiftung	x
des	x
herrlichen	x
Votivfensters	x
in	x
der	x
St.	x
Mauritzkirche	x
bot	x
,	x
wird	x
ewig	x
wach	x
bleiben	x
und	x
am	x
Jubiläumstage	x
die	x
Herzen	x
aller	x
Mitglieder	x
des	x
k.	x
k.	x
priv	x
.	x
bewaffneten	x
Olmützer	x
Bürgercorps	x
mächtig	x
bewegen	x
.	x
Im	x
Einvernehmen	x
mit	x
der	x
löbl	x
.	x
Stadtvertretung	x
fordere	x
ich	x
daher	x
alle	x
Mitglieder	x
des	x
k.	x
k.	x
priv	x
.	x
bewaffneten	x
Olmützer	x
Bürgercorps	x
auf	x
,	x
an	indirect
diesem	indirect
Tage	indirect
die	indirect
patriotische	indirect
Gesinnung	indirect
und	indirect
die	indirect
treue	indirect
Ergebenheit	indirect
an	indirect
Kaiser	indirect
und	indirect
Reich	indirect
im	indirect
Waffenschmucke	indirect
ganz	indirect
besonders	indirect
zu	indirect
bethätigen	indirect
.	indirect
Demzufolge	x
fühle	x
ich	x
mich	x
veranlaßt	x
,	x
für	x
die	x
Feier	x
des	x
2	x
.	x
December	x
1898	x
nachstehende	x
dienstliche	x
Anordnungen	x
zu	x
treffen	x
:	x
1	x
.	x
Die	x
Mitglieder	x
beider	x
Corpsabtheilungen	x
haben	x
am	x
genannten	x
Tage	x
8	x
Uhr	x
Früh	x
und	x
zwar	x
die	x
Infanterie-Abtheilung	x
im	x
Rathhause	x
,	x
die	x
Schützencompagnie	x
im	x
Gemeindehause	x
vollzählig	x
zum	x
Kirchengange	x
gestellt	x
zu	x
sein	x
.	x
Präcise	x
8	x
Uhr	x
