file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	periodical	narrative	cabtokens	dialect	perspective	quotes
rwz_full_digbib_1136.xmi	neptune	Droste-Huelshoff,_Annette_von_Die_Judenbuche.tg257_1.xml	1842	1840	digbib	Die Judenbuche	Droste-Hülshoff, Annette von	yes	Erzähltext		yes	20124	no	third	swiss
rwz_full_digbib_1199.xmi	neptune	Grillparzer,_Franz_Der_arme_Spielmann.tg1810_1.xml	1847	1840	digbib	Der arme Spielmann	Grillparzer, Franz	yes	Erzähltext		yes	17966	UNDEF	UNDEF	UNDEF
rwz_full_digbib_1208.xmi	neptune	Heyking,_Elisabeth_von_Gewesen.tg75_1.xml	1905	1900	digbib	Gewesen	Heyking, Elisabeth von	yes	Erzähltext		yes	6423	UNDEF	UNDEF	UNDEF
rwz_full_digbib_2473.xmi	venus	Poe,_Edgar_Allan_Hinab_in_den_Maelstroem.tg46_1.xml	1841	1840	digbib	Hinab in den Maelström	Poe, Edgar Allan	yes	Erzähltext		yes	7288	UNDEF	UNDEF	UNDEF
rwz_full_digbib_2632.xmi	neptune	Reventlow,_Franziska_Graefin_zu_Das_Logierhaus__Zur_schwankenden_Weltkugel_.tg91_1.xml	1917	1910	digbib	"Das Logierhaus ""Zur schwankenden Weltkugel"""	Reventlow, Franziska Gräfin zu	yes	Erzähltext		yes	7066	UNDEF	UNDEF	UNDEF
rwz_full_digbib_2649.xmi	venus	Riehl,_Wilhelm_Heinrich_von_Amphion.tg25_1.xml	1862	1860	digbib	Amphion	Riehl, Wilhelm Heinrich von	yes	Erzähltext		yes	9640	UNDEF	UNDEF	UNDEF
rwz_full_digbib_3152.xmi	neptune	Storm,_Theodor_Eine_Halligfahrt.tg233_1.xml	1871	1870	digbib	Eine Halligfahrt	Storm, Theodor	yes	Erzähltext		yes	10075	UNDEF	UNDEF	UNDEF
rwz_full_digbib_3153.xmi	neptune	Storm,_Theodor_Eine_Malerarbeit.tg231_1.xml	1867	1860	digbib	Eine Malerarbeit	Storm, Theodor	yes	Erzähltext		yes	11447	UNDEF	UNDEF	UNDEF
rwz_full_digbib_3228.xmi	neptune	Wildermuth,_Ottilie_2__Aus_dem_Leben_einer_Hausfrau_der_neuen_Zeit.tg46_1.xml	1847	1840	digbib	Aus dem Leben einer Hausfrau der neuen Zeit	Wildermuth, Ottilie	yes	Erzähltext		yes	8125	UNDEF	UNDEF	UNDEF
rwz_full_digbib_5000.xmi	neptune	NA	1871	1870	digbib	Der Leuchttum von Livorno	Eckstein, Ernst	yes	Erzähltext		yes	10809	UNDEF	UNDEF	UNDEF
rwz_full_digbib_5001.xmi	neptune	NA	1857	1850	digbib	Phosphorus Hollunder	Francois, Louise von	yes	Erzähltext		yes	16798	UNDEF	UNDEF	UNDEF
rwz_full_digbib_5002.xmi	neptune	NA	1850	1850	digbib	Das Erdbeermareili	Gotthelf, Jeremias	yes	Erzähltext		yes	18447	UNDEF	UNDEF	UNDEF
rwz_full_digbib_5003.xmi	neptune	NA	1865	1860	digbib	Die zwölf Apostel	Marlitt, Eugenie	yes	Erzähltext		yes	23856	UNDEF	UNDEF	UNDEF
rwz_full_digbib_5004.xmi	neptune	NA	1822	1820	digbib	Der Gefangene	Malsburg, Otto Freiherr von der	yes	Erzähltext		yes	10754	UNDEF	UNDEF	UNDEF
rwz_full_digbib_5005.xmi	neptune	NA	1861	1860	digbib	Die schwarze Galeere	Raabe, Wilhelm	yes	Erzähltext		yes	19008	UNDEF	UNDEF	UNDEF
rwz_full_digbib_5006.xmi	neptune	NA	1853	1850	digbib	Bergmilch	Stifter, Adalbert	yes	Erzähltext		yes	11429	UNDEF	UNDEF	UNDEF
rwz_full_digbib_5007.xmi	neptune	NA	1834	1830	digbib	Die Doppelgängerin	Ungern-Sternberg, Alexander von	yes	Erzähltext		yes	9685	UNDEF	UNDEF	UNDEF
