file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	narrative	cabtokens	dialect	perspective	quotes
rwz_full_grenz_10479.tsv	mercury	grenzboten_341831_157679.txt_10.xml	1880	1880	grenz	Die Tragik in Werken der hellenischen Plastik	Veit, Valentin	no	Undefined	no	6609	NA	NA	NA
rwz_full_grenz_13.tsv	uranus	grenzboten_282160_266616.txt_20.xml	1842	1840	grenz	Der Musikunterricht in Elementarschulen in Deutschland und Frankreich.	Undefined	no	undefined	no	9240	NA	NA	NA
rwz_full_grenz_18399.tsv	uranus	grenzboten_341875_238787.txt_44.xml	1902	1900	grenz	Musikalische Zeitfragen	Kretzschmar, Hermann	no	Undefined	no	7195	NA	NA	NA
rwz_full_grenz_20389.tsv	neptune	grenzboten_341885_303415.txt_6.xml	1907	1900	grenz	Goethe und die Boisserée	Undefined	no	Undefined	no	4483	NA	NA	NA
rwz_full_grenz_23110.tsv	mercury	grenzboten_341901_323097.txt_30.xml	1915	1910	grenz	Die Stellung Belgiens zum alten Reiche	Born, Conrad Professor Dr.	no	Undefined	no	5091	NA	NA	NA
rwz_full_grenz_3721.tsv	venus	grenzboten_341584_102594.txt_38.xml	1856	1850	grenz	Regierung und Volk in Neapel	Undefined	no	Undefined	no	8039	NA	NA	NA
rwz_full_grenz_6595.tsv	neptune	grenzboten_341805_191229.txt_24.xml	1867	1860	grenz	Die Petrussagen	Undefined	no	Undefined	no	5833	NA	NA	NA
rwz_full_grenz_7300.tsv	uranus	grenzboten_341809_121220.txt_26.xml	1869	1860	grenz	Polnischer Monatsbericht.	Undefined	no	Undefined	no	7071	NA	NA	NA
rwz_full_mkhz_10107.tsv	neptune	MT_1887_01_10.txt_1.xml	1887	1880	mkhz.maehrisches	Die Versammlung der deutschen Vertrauensmänner in Brünn	Undefined	no	Undefined	no	7131	NA	NA	NA
rwz_full_mkhz_10440.tsv	neptune	MT_1895_05_24.txt_1.xml	1895	1890	mkhz.maehrisches	Die 15. Hauptversammlung des Deutschen Schulvereins	Undefined	no	Undefined	no	6257	NA	NA	NA
rwz_full_mkhz_1098.tsv	mercury	nn_auswandererzeitung046_1852_2.xml	1852	1850	mkhz.auswandererzeitung	Die deutsche Kolonie Santa Cruz in der Provinz Rio Grande do Sul in Brasilien	Undefined	no	Undefined	no	3175	NA	NA	NA
rwz_full_mkhz_2733.tsv	mercury	nn_europa0106_1905_10.xml	1905	1900	mkhz.europa	Zur Beurteilung der jüngsten Schulkonflikte	Borchardt, Bruno	no	Undefined	no	3356	NA	NA	NA
rwz_full_mkhz_336.tsv	neptune	nn_auswanderer16_1848.txt_3.xml	1848	1840	mkhz.auswanderer	Undefined	Undefined	no	Undefined	no	3368	NA	NA	NA
rwz_full_mkhz_5884.tsv	neptune	nn_social04_1873_11.xml	1873	1870	mkhz.social	Undefined	Undefined	no	Undefined	no	5118	NA	NA	NA
rwz_full_mkhz_599.tsv	mercury	nn_auswanderer63_1847.txt_1.xml	1847	1840	mkhz.auswanderer	Undefined	Undefined	no	Undefined	no	4514	NA	NA	NA
