tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Polnischer	Polnischer	polnisch	ADJA	ADJA.Pos.Nom.Sg.Masc	yes	-	-	-	-	-
Monatsbericht.	Monatsbericht.	Monatsbericht.	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
X	X	--	XY	SYM.Other.XY	yes	-	-	-	-	-
Wenn	Wenn	wenn	KOUS	CONJ.SubFin.-	yes	reported.speech.1	-	-	-	-
Regierungen	Regierungen	Regierung	NN	N.Reg.Nom.Pl.Fem	no	reported.speech.1	-	speaker.1	-	-
und	und	und	KON	CONJ.Coord.-	no	reported.speech.1	-	-	-	-
Völker	Völker	Volk	NN	N.Reg.Nom.Pl.Neut	no	reported.speech.1	-	speaker.1	-	-
Europas	Europas	Europa	NE	N.Name.Gen.Sg.Neut	no	reported.speech.1	-	-	-	-
vor	vor	vor	APPR	APPR.Vor	no	reported.speech.1	-	-	-	-
zwanzig	zwanzig	zwanzig	CARD	CARD	no	reported.speech.1	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	reported.speech.1	-	-	-	-
vor	vor	vor	APPR	APPR.Vor	no	reported.speech.1	-	-	-	-
dreißig	dreißig	dreißig	CARD	CARD	no	reported.speech.1	-	-	-	-
Jahren	Jahren	Jahr	NN	N.Reg.Dat.Pl.Neut	no	reported.speech.1	-	-	-	-
nach	nach	nach	APPR	APPR.Dat	no	reported.speech.1	-	-	-	-
den	den	der	ART	ART.Def.Dat.Pl.Fem	no	reported.speech.1	-	-	-	-
Neuigkeiten	Neuigkeiten	Neuigkeit	NN	N.Reg.Dat.Pl.Fem	no	reported.speech.1	-	-	-	-
aus	aus	aus	APPR	APPR.Dat	no	reported.speech.1	-	-	-	-
Paris	Paris	Paris	NE	N.Name.Dat.Sg.Neut	no	reported.speech.1	-	-	-	-
fragten	fragten	fragen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	reported.speech.1	-	-	intexpr.1	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
so	so	so	ADV	ADV	no	-	-	-	-	-
geschah	geschah	geschehen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
das	das	der	PDS	PRO.Dem.Subst.-.Nom.Sg.Neut	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
weil	weil	weil	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
der	der	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Lauf	Lauf	Lauf	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
der	der	der	ART	ART.Def.Gen.Pl.Neut	no	-	-	-	-	-
Dinge	Dinge	Ding	NN	N.Reg.Gen.Pl.Neut	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
der	der	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
französischen	französischen	französisch	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Hauptstadt	Hauptstadt	Hauptstadt	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
auf	auf	auf	APPR	APPR.Auf	no	-	-	-	-	-
die	die	der	ART	ART.Def.Acc.Sg.Fem	no	-	-	-	-	-
innere	innere	innerer	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Entwickelung	Entwicklung	Entwicklung	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
der	der	der	ART	ART.Def.Gen.Pl.Masc	no	-	-	-	-	-
übrigen	übrigen	übrig	ADJA	ADJA.Pos.Gen.Pl.Masc	no	-	-	-	-	-
Staaten	Staaten	Staat	NN	N.Reg.Gen.Pl.Masc	no	-	-	-	-	-
Einfluß	Einfluß	Einfluß	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
übte	übte	üben	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
man	man	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	reported.thought.2.border=state	-	speaker.2	-	-
von	von	von	APPR	APPR.Dat	no	reported.thought.2.border=state	-	-	-	-
ihnen	ihnen	ihnen	PPER	PRO.Pers.Subst.3.Dat.Pl.*	no	reported.thought.2.border=state	-	-	-	-
lernen	lernen	lernen	VVINF	VINF.Full.-	no	reported.thought.2.border=state	-	-	-	-
zu	zu	zu	PTKZU	PART.Zu	no	reported.thought.2.border=state	-	-	-	-
können	können	können	VMINF	VINF.Mod.-	no	reported.thought.2.border=state	-	-	-	-
glaubte	glaubte	glauben	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	reported.thought.2.border=state	-	-	intexpr.2	-
.	.	--	$.	SYM.Pun.Sent	no	reported.thought.2.border=state	-	-	-	-
Heute	Heute	Heute	ADV	ADV	yes	-	-	-	-	-
hat	hat	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Ind	no	-	-	-	-	-
dieselbe	dieselbe	derselbe	PDAT	PRO.Dem.Attr.-.Nom.Sg.Fem	no	-	-	-	-	-
Frage	Frage	Frage	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
eine	eine	ein	ART	ART.Indef.Acc.Sg.Fem	no	-	-	-	-	-
wesentlich	wesentlich	wesentlich	ADJD	ADJD.Pos	no	-	-	-	-	-
andere	andere	anderer	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Bedeutung	Bedeutung	Bedeutung	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Man	Man	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	yes	reported.speech.3	-	speaker.3	-	-
wirst	wirst	werden	VAFIN	VFIN.Aux.2.Sg.Pres.Ind	no	reported.speech.3	-	-	intexpr.3	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Acc.Sg.Fem	no	reported.speech.3	-	-	-	-
auf	auf	auf	PTKVZ	PART.Verb	no	reported.speech.3	-	-	intexpr.3	-
,	,	--	$,	SYM.Pun.Comma	no	reported.speech.3	-	-	-	-
weil	weil	weil	KOUS	CONJ.SubFin.-	no	-	frame.4	-	-	-
man	man	man	PIS	PRO.Indef.Subst.-.Nom.Sg.*	no	-	frame.4	speaker.4	-	-
wissen	wissen	wissen	VVINF	VINF.Full.-	no	-	frame.4	-	intexpr.4	-
will	will	wollen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	-	frame.4	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	frame.4	-	-	-
ob	ob	ob	KOUS	CONJ.SubFin.-	no	indirect.thought.4.nonfact	-	-	-	-
es	es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	indirect.thought.4.nonfact	-	-	-	-
mit	mit	mit	APPR	APPR.Dat	no	indirect.thought.4.nonfact	-	-	-	-
der	der	der	ART	ART.Def.Dat.Sg.Fem	no	indirect.thought.4.nonfact	-	-	-	-
