tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Splitter	Splitter	Splitter	NN	N.Reg.Nom.Sg.Masc	yes	-	-	-	-	-
Was	Was	was	PWS	PRO.Inter.Subst.-.Acc.Sg.Neut	yes	reported.thought.4.nonfact	-	-	-	-
manchen	manchen	manche	PIAT	PRO.Indef.Attr.-.Dat.Pl.Masc	no	reported.thought.4.nonfact	-	-	-	-
Eltern	Eltern	Eltern	NN	N.Reg.Dat.Pl.Masc	no	reported.thought.4.nonfact	-	-	-	-
an	an	an	APPR	APPR.An	no	reported.thought.4.nonfact	-	-	-	-
Verständnis	Verständnis	Verständnis	NN	N.Reg.Acc.Sg.Neut	no	reported.thought.4.nonfact	-	-	-	-
für	für	für	APPR	APPR.Acc	no	reported.thought.4.nonfact	-	-	-	-
ihre	ihre	ihr	PPOSAT	PRO.Poss.Attr.-.Acc.Pl.Neut	no	reported.thought.4.nonfact	-	-	-	-
Kinder	Kinder	Kind	NN	N.Reg.Acc.Pl.Neut	no	reported.thought.4.nonfact	-	-	-	-
fehlt	fehlt	fehlen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	reported.thought.4.nonfact	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
das	das	die	PDS	PRO.Dem.Subst.-.Acc.Sg.Neut	no	-	-	-	-	-
ersetzen	ersetzen	ersetzen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
bei	bei	bei	APPR	APPR.Dat	no	-	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Mutter	Mutter	Mutter	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
die	die	d	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Liebe	Liebe	Liebe	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
beim	beim	beim	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
Vater	Vater	Vater	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
die	die	d	ART	ART.Def.Acc.Pl.Masc	no	-	-	-	-	-
Prügel	Prügel	Prügel	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Bei	Bei	bei	APPR	APPR.Dat	yes	-	-	-	-	-
den	den	d	ART	ART.Def.Dat.Pl.*	no	-	-	-	-	-
Starken	Starken	Starke	NN	N.Reg.Dat.Pl.*	no	-	-	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
Fleiß	Fleiß	Fleiß	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
Wille	Wille	Wille	NE	N.Name.Dat.Sg.Masc	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
bei	bei	bei	APPR	APPR.Dat	no	-	-	-	-	-
den	den	d	ART	ART.Def.Dat.Pl.*	no	-	-	-	-	-
Schwachen	Schwachen	schwach	ADJA	N.Reg.Dat.Pl.*	no	-	-	-	-	-
Feigheit	Feigheit	Feigheit	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	Die	d	ART	ART.Def.Nom.Pl.Masc	yes	-	-	-	-	-
Schüler	Schüler	Schüler	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
lernen	lernen	lernen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
das	das	d	ART	ART.Def.Acc.Sg.Neut	no	-	-	-	-	-
meiste	meiste	meiste	PIS	PRO.Indef.Subst.-.Acc.Sg.Neut	no	-	-	-	-	-
aus	aus	aus	APPR	APPR.Dat	no	-	-	-	-	-
dem	dem	d	ART	PRO.Dem.Subst.-.Dat.Sg.Neut	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
was	was	was	PRELS	PRO.Rel.Subst.-.Acc.Sg.Neut	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
lernen	lernen	lernen	VVINF	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Armin	Armin	Armin	NE	N.Name.Nom.Sg.Masc	yes	-	-	-	-	-
T.	T.	T.	NE	N.Name.*.*.*	no	-	-	-	-	-
Wegner	Wegner	Wegner	NE	N.Name.Nom.Sg.Fem	no	-	-	-	-	-
Gebet	Gebet	Gebet	NN	N.Reg.Nom.Sg.Neut	yes	-	-	-	-	-
für	für	für	APPR	APPR.Acc	no	-	-	-	-	-
ein	ein	eine	ART	ART.Indef.Acc.Sg.Neut	no	-	-	-	-	-
wachsendes	wachsendes	wachsend	ADJA	ADJA.Pos.Acc.Sg.Neut	no	-	-	-	-	-
Feuer	Feuer	Feuer	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
Verschont	Verschont	verschonen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	yes	reported.speech.5.nonfact	-	-	-	-
mich	mich	ich	PPER	PRO.Pers.Subst.1.Acc.Sg.*	no	reported.speech.5.nonfact	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	reported.speech.5.nonfact	-	-	-	-
Freunde	Freunde	Freund	NN	N.Reg.Acc.Pl.Masc	no	reported.speech.5.nonfact	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	reported.speech.5.nonfact	-	-	-	-
mit	mit	mit	APPR	APPR.Dat	no	reported.speech.5.nonfact	-	-	-	-
den	den	d	ART	ART.Def.Dat.Pl.Fem	no	reported.speech.5.nonfact	-	-	-	-
Koryphäen	Koryphäen	Koryphäe	NN	N.Reg.Dat.Pl.Fem	no	reported.speech.5.nonfact	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	reported.speech.5.nonfact	-	-	-	-
Der	Der	die	PDS	PRO.Dem.Subst.-.Nom.Sg.Masc	yes	-	-	-	-	-
laute	laute	lauten	VVFIN	VFIN.Full.3.Sg.Pres.Subj	no	-	-	-	-	-
Ruhm	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	-	-	-	-
macht	macht	machen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Acc.*.*	no	-	-	-	-	-
gipfelblind	gipfelblind	gipfelblind	ADJD	ADJD.Pos	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
Daß	Daß	daß	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
gipfelstolz	gipfelstolz	gipfelstolz	ADJD	ADJD.Pos	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
nie	nie	nie	ADV	ADV	no	-	-	-	-	-
zur	zur	zur	APPRART	APPRART.Dat.Sg.Fem	no	-	-	-	-	-
Zeit	Zeit	Zeit	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
erspähen	erspähen	erspähen	VVINF	VFIN.Full.3.Pl.Pres.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
Wie	Wie	wie	PWAV	PROADV.Inter	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
ja	ja	ja	ADV	ADV	no	-	-	-	-	-
längst	längst	längst	ADV	ADV	no	-	-	-	-	-
schon	schon	schon	ADV	ADV	no	-	-	-	-	-
wieder	wieder	wieder	ADV	ADV	no	-	-	-	-	-
unten	unten	unten	ADV	ADV	no	-	-	-	-	-
sind	sind	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Verschont	Verschont	verschonen	VVFIN	N.Reg.Nom.Sg.Masc	yes	reported.speech.6.nonfact	-	-	-	-
mich	mich	ich	PPER	PRO.Pers.Subst.1.Acc.Sg.*	no	reported.speech.6.nonfact	-	-	-	-
mit	mit	mit	APPR	APPR.Dat	no	reported.speech.6.nonfact	-	-	-	-
dem	dem	d	ART	ART.Def.Dat.Sg.Neut	no	reported.speech.6.nonfact	-	-	-	-
Seienden	Seienden	seiend	ADJA	N.Reg.Dat.Sg.Neut	no	reported.speech.6.nonfact	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	reported.speech.6.nonfact	-	-	-	-
Großen	Großen	groß	ADJA	N.Reg.Dat.Sg.Neut	no	reported.speech.6.nonfact	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
Der	Der	d	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
fertig	fertig	fertig	ADJD	ADJD.Pos	no	-	-	-	-	-
seinen	seinen	seine	PPOSAT	PRO.Poss.Attr.-.Acc.Sg.Masc	no	-	-	-	-	-
Ruhmesbakel	Ruhmesbakel	Ruhmesbakel	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
schwingt	schwingt	schwingen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
Der	Der	d	ART	PRO.Dem.Subst.-.Nom.Sg.Masc	no	reported.speech.1	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	reported.speech.1	-	-	-	-
gestern	gestern	gestern	ADV	ADV	no	reported.speech.1	-	-	-	-
schon	schon	schon	ADV	ADV	no	reported.speech.1	-	-	-	-
vom	vom	vom	APPRART	APPRART.Dat.Sg.Neut	no	reported.speech.1	-	-	-	-
Postament	Postament	Postament	NN	N.Reg.Dat.Sg.Neut	no	reported.speech.1	-	-	-	-
gestoßen	gestoßen	stoßen	VVPP	VPP.Full.Psp	no	reported.speech.1	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	reported.speech.1	-	-	-	-
Sich	Sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	reported.speech.1	-	-	-	-
heut	heute	heute	ADV	ADV	no	reported.speech.1	-	-	-	-
noch	noch	noch	ADV	ADV	no	reported.speech.1	-	-	-	-
balsamierte	balsamierte	balsamiert	ADJA	ADJA.Pos.Acc.Pl.Fem	no	reported.speech.1	-	-	-	-
Hymnen	Hymnen	Hymne	NN	N.Reg.Acc.Pl.Fem	no	reported.speech.1	-	-	-	-
