tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
2.	2.	2.	ADV	ADV	yes	-	-	-	-	-
des	des	d	ART	ART.Def.Gen.Sg.Neut	no	-	-	-	-	-
Reichseinführungsgesetzes	Reichseinführungsgesetzes	Reichseinführungsgesetz	NN	N.Reg.Gen.Sg.Neut	no	-	-	-	-	-
zum	zum	zum	APPRART	APPRART.Dat.Sg.Neut	no	-	-	-	-	-
Strafgesetzbuch	Strafgesetzbuch	Strafegesetzbuch	NN	N.Reg.Dat.Sg.Neut	no	-	-	-	-	-
zwar	zwar	zwar	ADV	ADV	no	-	-	-	-	-
die	die	d	ART	ART.Def.Acc.Pl.Fem	no	-	-	-	-	-
besonderen	besonderen	besondere	ADJA	ADJA.Pos.Acc.Pl.Fem	no	-	-	-	-	-
Vorschriften	Vorschriften	Vorschrift	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
des	des	d	ART	ART.Def.Gen.Sg.Neut	no	-	-	-	-	-
Landesstrafrechts	Landesstrafrechts	Landesstraferecht	NN	N.Reg.Gen.Sg.Neut	no	-	-	-	-	-
über	über	über	APPR	APPR.über	no	-	-	-	-	-
den	den	d	ART	ART.Def.Acc.Sg.Masc	no	-	-	-	-	-
Forst-	Forst-	forst-	TRUNC	TRUNC.Noun	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Holz-Diebstahl	Holz-Diebstahl	Holz-Diebstahl	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
bei	bei	bei	APPR	APPR.Dat	no	-	-	-	-	-
Kräften	Kräften	Kraft	NN	N.Reg.Dat.Pl.Fem	no	-	-	-	-	-
erhielt	erhielt	erhalten	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
dagegen	dagegen	dagegen	PAV	PROADV.Dem	no	-	frame.30	-	-	-
im	im	im	APPRART	APPRART.Dat.Sg.Neut	no	-	frame.30	-	-	-
§.	§.	§.	$(	N.Reg.Dat.Sg.Neut	no	-	frame.30	-	-	-
5.	5.	5.	ADJA	ADV	yes	-	frame.30	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	-	frame.30	-	-	-
Particulargesetzgebung	Partikulargesetzgebung	Partikulargesetzgebung	NN	N.Reg.Dat.Sg.Fem	no	-	frame.30	-	-	-
ausdrücklich	ausdrücklich	ausdrücklich	ADJD	ADJD.Pos	no	-	frame.30	-	-	-
untersagte	untersagte	untersagen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	frame.30	-	intexpr.30	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.30	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
in	in	in	APPR	APPR.In	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
den	den	d	ART	ART.Def.Dat.Pl.Fem	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
Materien	Materien	Materie	NN	N.Reg.Dat.Pl.Fem	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
welche	welche	welche	PRELS	PRO.Rel.Subst.-.Nom.Pl.Fem	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
Gegenstand	Gegenstand	Gegenstand	NN	N.Reg.Nom.Sg.Masc	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
des	des	d	ART	ART.Def.Gen.Sg.Neut	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
Reichsstrafgesetzbuch	Reichsstrafgesetzbuch	Reichsstrafegesetzbuch	NN	N.Reg.Nom.Sg.Neut	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
sind	sind	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
auf	auf	auf	APPR	APPR.Auf	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
mehr	mehr	mehr	PIAT	PRO.Indef.Attr.-.*.*.*	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
als	als	als	KOKOM	CONJ.Comp.-	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
zwei	zwei	zwei	CARD	CARD	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
Jahre	Jahre	Jahr	NN	N.Reg.Acc.Pl.Neut	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
Gefängniß	Gefängnis	Gefängnis	NN	N.Reg.Acc.Sg.Neut	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
oder	oder	oder	KON	CONJ.Coord.-	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
auf	auf	auf	APPR	APPR.Auf	no	indirect.speech.30|reported.speech.31.nonfact	-	-	-	-
