tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Verschiedenes	Verschiedenes	Verschieden	NN	N.Reg.Nom.Sg.Neut	yes	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
--	--	--	$(	N.Reg.Nom.Sg.Neut	yes	-	-	-	-	-
Reiche	Reiche	reich	ADJA	ADJA.Pos.Nom.Pl.Fem	yes	-	-	-	-	-
Leute	Leute	Leute	NN	N.Reg.Nom.Pl.Fem	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	Die	d	ART	ART.Def.Nom.Sg.Fem	yes	-	frame.1	-	-	-
„	&quot;	&quot;	$(	TRUNC.Noun	no	-	frame.1	-	-	-
Fr.	Fr.	Fr.	NE	N.Reg.Nom.Sg.Masc	no	-	frame.1	speaker.1	-	-
Ztg.	Ztg.	Ztg.	NE	N.Reg.Nom.Sg.Masc	yes	-	frame.1	speaker.1	-	-
“	&quot;	&quot;	$(	N.Name.Nom.Sg.*	no	-	frame.1	-	-	-
meldet	meldet	melden	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	frame.1	-	intexpr.1	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.writing.1	-	-	-	-
der	der	d	ART	ART.Def.Nom.Sg.Masc	no	indirect.writing.1	-	-	-	-
Pariser	Pariser	Pariser	ADJA	ADJA.Pos.*.*.*	no	indirect.writing.1	-	-	-	-
Rothschild	Rotschild	Rotschild	NN	N.Reg.Nom.Sg.Masc	yes	indirect.writing.1	-	-	-	-
1000	1000	1000	CARD	CARD	yes	indirect.writing.1	-	-	-	-
Millionen	Millionen	Million	NN	N.Reg.Acc.Pl.Fem	no	indirect.writing.1	-	-	-	-
Franken	Franken	Franken	NN	N.Reg.*.*.Masc	no	indirect.writing.1	-	-	-	-
hinterlassen	hinterlassen	hinterlassen	VVPP	VPP.Full.Psp	no	indirect.writing.1	-	-	-	-
habe	habe	haben	VAFIN	VFIN.Haben.3.Sg.Pres.Subj	no	indirect.writing.1	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	indirect.writing.1	-	-	-	-
