tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Die	Die	d	ART	ART.Def.Nom.Sg.Fem	yes	-	-	-	-	-
Herzogin	Herzogin	Herzogin	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
Orleans	Orléans	Orléans	NE	N.Name.Dat.Sg.*	no	-	-	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
gestern	gestern	gestern	ADV	ADV	no	-	-	-	-	-
(	(	(	$(	SYM.Paren.Left	yes	-	-	-	-	-
am	am	am	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
26.	26.	26.	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
)	)	)	$(	SYM.Paren.Right	no	-	-	-	-	-
mit	mit	mit	APPR	APPR.Dat	yes	-	-	-	-	-
ihren	ihren	ihr	PPOSAT	PRO.Poss.Attr.-.Dat.Pl.Neut	no	-	-	-	-	-
Kindern	Kindern	Kind	NN	N.Reg.Dat.Pl.Neut	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
Köln	Köln	Köln	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
eingetroffen	eingetroffen	eintreffen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
da	da	da	ADV	ADV	no	-	-	-	-	-
nach	nach	nach	APPR	APPR.Dat	no	-	-	-	-	-
kurzem	kurzem	kurz	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
Aufenthalte	Aufenthalte	Aufenthalt	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
nach	nach	nach	APPR	APPR.Dat	no	-	-	-	-	-
Brüssel	Brüssel	Brüssel	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
abgereist	abgereist	abreisen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	Die	d	ART	ART.Def.Nom.Pl.Neut	yes	-	-	-	-	-
Pariser	Pariser	Pariser	ADJA	ADJA.Pos.*.*.*	no	-	-	-	-	-
Blätter	Blätter	Blatt	NN	N.Reg.Nom.Pl.Neut	no	-	-	-	-	-
sind	sind	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	-	-	-	-	-
auch	auch	auch	ADV	ADV	no	-	-	-	-	-
heute	heute	heute	ADV	ADV	no	-	-	-	-	-
wieder	wieder	wieder	ADV	ADV	no	-	-	-	-	-
ausgeblieben	ausgeblieben	ausbleiben	VVPP	VPP.Full.Psp	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Der	Der	d	ART	ART.Def.Nom.Sg.Masc	yes	-	frame.12	-	-	-
„	&quot;	&quot;	$(	N.Name.*.*.*	no	-	frame.12	-	-	-
Kölner	Kölner	Kölner	ADJA	ADJA.Pos.*.*.*	no	-	frame.12	speaker.12	-	-
Zeitung	Zeitung	Zeitung	NN	N.Reg.Nom.Sg.Fem	no	-	frame.12	speaker.12	-	-
“	&quot;	&quot;	$(	CARD	no	-	frame.12	-	-	-
entnehmen	entnehmen	entnehmen	VVFIN	VIMP.Full.3.Pl	no	-	frame.12	-	-	-
wir	wir	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	no	-	frame.12	-	-	-
die	die	d	ART	ART.Def.Acc.Pl.Masc	no	-	frame.12	-	-	-
folgenden	folgenden	folgend	ADJA	ADJA.Pos.Acc.Pl.Masc	no	-	frame.12	-	-	-
Berichte	Berichte	Bericht	NN	N.Reg.Acc.Pl.Masc	no	-	frame.12	-	intexpr.12	-
:	:	:	$.	SYM.Pun.Colon	no	-	frame.12	-	-	-
Paris	Paris	Paris	NE	N.Name.Acc.Sg.Neut	yes	direct.writing.12	-	-	-	-
24.	24.	24.	ADJA	ADJA.Pos.Acc.Sg.Masc	no	direct.writing.12	-	-	-	-
Juni	Juni	Juni	NN	N.Reg.Acc.Sg.Masc	no	direct.writing.12	-	-	-	-
11	11	11	CARD	CARD	no	direct.writing.12	-	-	-	-
Uhr	Uhr	Uhr	NN	N.Reg.*.*.Fem	no	direct.writing.12	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	direct.writing.12	-	-	-	-
Die	Die	d	ART	ART.Def.Nom.Pl.Fem	yes	direct.writing.12	-	-	-	-
meisten	meisten	meiste	PIAT	PRO.Indef.Attr.-.Nom.Pl.Fem	no	direct.writing.12	-	-	-	-
Eisenbahnen	Eisenbahnen	Eisenbahn	NN	N.Reg.Nom.Pl.Fem	no	direct.writing.12	-	-	-	-
sind	sind	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	direct.writing.12	-	-	-	-
abgebrochen	abgebrochen	abbrechen	VVPP	VPP.Full.Psp	no	direct.writing.12	-	-	-	-
;	;	;	$.	SYM.Pun.Sent	no	-	-	-	-	-
da	da	da	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
es	es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	-	-	-	-	-
jedoch	jedoch	jedoch	ADV	ADV	no	-	-	-	-	-
wahrscheinlich	wahrscheinlich	wahrscheinlich	ADJD	ADJD.Pos	no	-	-	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
die	die	d	ART	ART.Def.Nom.Sg.Fem	no	-	-	-	-	-
Post	Post	Post	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
dennoch	dennoch	dennoch	ADV	ADV	no	-	-	-	-	-
Anstalten	Anstalten	Anstalten	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
trifft	trifft	treffen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
