file	annotator	orig_filename	year	decade	source	title	author	fictional	text_type	periodical	narrative	cabtokens	dialect	perspective	quotes
rwz_sample_digbib_1006-1.xmi	earth	Busch,_Wilhelm_6__Das_harte_Geluebde.tg655_1.xml	1910	1910	digbib	6. Das harte Gelübde	Busch, Wilhelm	yes	Erzähltext		yes	598	NA	NA	NA
rwz_sample_digbib_1008-1.xmi	earth	Busch,_Wilhelm_7__Die_boese_Stiefmutter.tg656_1.xml	1910	1910	digbib	7. Die böse Stiefmutter	Busch, Wilhelm	yes	Erzähltext		yes	592	NA	NA	NA
rwz_sample_digbib_1014-2.xmi	earth	Busch,_Wilhelm_Der_Schmetterling.tg644_1.xml	1895	1890	digbib	Der Schmetterling	Busch, Wilhelm	yes	Erzähltext		yes	626	NA	NA	NA
rwz_sample_digbib_1018-1.xmi	earth	Busch,_Wilhelm_Meiers_Hinnerk.tg645_1.xml	1907	1900	digbib	Meiers Hinnerk	Busch, Wilhelm	yes	Erzähltext		yes	632	NA	NA	NA
rwz_sample_digbib_1018-2.xmi	earth	Busch,_Wilhelm_Meiers_Hinnerk.tg645_1.xml	1907	1900	digbib	Meiers Hinnerk	Busch, Wilhelm	yes	Erzähltext		yes	624	NA	NA	NA
rwz_sample_digbib_1019-1.xmi	earth	Cechov,_Anton_Pavlovic_Die_Dame_mit_dem_Huendchen.tg5_1.xml	1899	1890	digbib	Die Dame mit dem Hündchen	?echov, Anton Pavlovi?	yes	Erzähltext		yes	591	NA	NA	NA
rwz_sample_digbib_1019-2.xmi	earth	Cechov,_Anton_Pavlovic_Die_Dame_mit_dem_Huendchen.tg5_1.xml	1899	1890	digbib	Die Dame mit dem Hündchen	?echov, Anton Pavlovi?	yes	Erzähltext		yes	596	NA	NA	NA
rwz_sample_digbib_1020-1.xmi	neptune	Cechov,_Anton_Pavlovic_Gram.tg4_1.xml	1886	1880	digbib	Gram	?echov, Anton Pavlovi?	yes	Erzähltext		yes	612	NA	NA	NA
rwz_sample_digbib_1028-1.xmi	earth	Christ,_Lena_Die_Erbschaft.tg64_1.xml	1919	1910	digbib	Die Erbschaft	Christ, Lena	yes	Erzähltext		yes	662	NA	NA	NA
rwz_sample_digbib_1028-2.xmi	uranus	Christ,_Lena_Die_Erbschaft.tg64_1.xml	1919	1910	digbib	Die Erbschaft	Christ, Lena	yes	Erzähltext		yes	656	NA	NA	NA
rwz_sample_digbib_1032-1.xmi	earth	Christ,_Lena_Die_Ostereier_der_Reiserbuben.tg69_1.xml	1919	1910	digbib	Die Ostereier der Reiserbuben	Christ, Lena	yes	Erzähltext		yes	625	NA	NA	NA
rwz_sample_digbib_1038-1.xmi	earth	Christen,_Ada_Als_er_heimkehrte.tg330_1.xml	1884	1880	digbib	Als er heimkehrte	Christen, Ada	yes	Erzähltext		yes	613	NA	NA	NA
rwz_sample_digbib_1042-2.xmi	neptune	Christen,_Ada_Rahel.tg327_1.xml	1873	1870	digbib	Rahel	Christen, Ada	yes	Erzähltext		yes	601	NA	NA	NA
rwz_sample_digbib_1068-1.xmi	uranus	Colshorn,_Carl_und_Theodor_34__Der_weisse_Ziegenbock.tg40_1.xml	1854	1850	digbib	34. Der weiße Ziegenbock 	Colshorn, Carl und Theodor	yes	Erzähltext		yes	584	NA	NA	NA
rwz_sample_digbib_1126-1.xmi	earth	Colshorn,_Carl_und_Theodor_89__Der_Schmied_und_der_Teufel.tg98_1.xml	1854	1850	digbib	89. Der Schmied und derTeufel	Colshorn, Carl und Theodor	yes	Erzähltext		yes	640	NA	NA	NA
rwz_sample_digbib_1134-2.xmi	earth	Dohm,_Hedwig_Wie_Frauen_werden.tg10_1.xml	1894	1890	digbib	Wie Frauen werden	Dohm, Hedwig	yes	Erzähltext		yes	607	NA	NA	NA
rwz_sample_digbib_1136-2.xmi	earth	Droste-Huelshoff,_Annette_von_Die_Judenbuche.tg257_1.xml	1842	1840	digbib	Die Judenbuche	Droste-Hülshoff, Annette von	yes	Erzähltext		yes	637	NA	NA	NA
rwz_sample_digbib_1138-1.xmi	uranus	Duncker,_Dora_Fuer_ihr_Kind.tg9_1.xml	1897	1890	digbib	Für ihr Kind	Duncker, Dora	yes	Erzähltext		yes	607	NA	NA	NA
rwz_sample_digbib_1140-3.xmi	neptune	Duncker,_Dora_Jugend.tg11_1.xml	1905	1900	digbib	Jugend	Duncker, Dora	yes	Erzähltext		yes	586	NA	NA	NA
rwz_sample_digbib_1143-1.xmi	neptune	Duncker,_Dora_Sturm.tg8_1.xml	1897	1890	digbib	Sturm	Duncker, Dora	yes	Erzähltext		yes	629	NA	NA	NA
rwz_sample_digbib_1145-1.xmi	earth	Ebner-Eschenbach,_Marie_von_Agave.tg126_1.xml	1903	1900	digbib	Agave	Ebner-Eschenbach, Marie von	yes	Erzähltext		yes	608	NA	NA	NA
rwz_sample_digbib_1145-5.xmi	neptune	Ebner-Eschenbach,_Marie_von_Agave.tg126_1.xml	1903	1900	digbib	Agave	Ebner-Eschenbach, Marie von	yes	Erzähltext		yes	628	NA	NA	NA
rwz_sample_digbib_1148-1.xmi	earth	Ebner-Eschenbach,_Marie_von_Der_Herr_Hofrat.tg132_1.xml	1915	1910	digbib	Der Herr Hofrat	Ebner-Eschenbach, Marie von	yes	Erzähltext		yes	631	NA	NA	NA
rwz_sample_digbib_1150-1.xmi	earth	Ebner-Eschenbach,_Marie_von_Der_Vorzugsschueler.tg125_1.xml	1898	1890	digbib	Der Vorzugsschüler	Ebner-Eschenbach, Marie von	yes	Erzähltext		yes	605	NA	NA	NA
rwz_sample_digbib_1150-2.xmi	saturn	Ebner-Eschenbach,_Marie_von_Der_Vorzugsschueler.tg125_1.xml	1898	1890	digbib	Der Vorzugsschüler	Ebner-Eschenbach, Marie von	yes	Erzähltext		yes	624	NA	NA	NA
rwz_sample_digbib_1160-1.xmi	earth	Essig,_Hermann_Der_Wetterfrosch.tg21_1.xml	1919	1910	digbib	Der Wetterfrosch	Essig, Hermann	yes	Erzähltext		yes	643	NA	NA	NA
rwz_sample_digbib_1167-1.xmi	earth	Fontane,_Theodor_Grete_Minde.tg704_1.xml	1879	1870	digbib	Grete Minde	Fontane, Theodor	yes	Erzähltext		yes	660	NA	NA	NA
rwz_sample_digbib_1168-1.xmi	earth	Fontane,_Theodor_Mathilde_Moehring.tg787_1.xml	1906	1900	digbib	Mathilde Möhring	Fontane, Theodor	yes	Erzähltext		yes	638	NA	NA	NA
rwz_sample_digbib_1175-1.xmi	earth	Franzos,_Karl_Emil_Esterka_Regina.tg52_1.xml	1877	1870	digbib	Esterka Regina	Franzos, Karl Emil	yes	Erzähltext		yes	631	NA	NA	NA
rwz_sample_digbib_1176-2.xmi	earth	Franzos,_Karl_Emil_Leib_Weihnachtskuchen_und_sein_Kind.tg56_1.xml	1896	1890	digbib	Leib Weihnachtskuchen und sein Kind	Franzos, Karl Emil	yes	Erzähltext		yes	704	NA	NA	NA
rwz_sample_digbib_1176-3.xmi	uranus	Franzos,_Karl_Emil_Leib_Weihnachtskuchen_und_sein_Kind.tg56_1.xml	1896	1890	digbib	Leib Weihnachtskuchen und sein Kind	Franzos, Karl Emil	yes	Erzähltext		yes	594	NA	NA	NA
rwz_sample_digbib_1181-1.xmi	earth	François,_Louise_von_Der_Katzenjunker.tg58_1.xml	1879	1870	digbib	Der Katzenjunker	François, Louise von	yes	Erzähltext		yes	633	NA	NA	NA
rwz_sample_digbib_1182-1.xmi	earth	François,_Louise_von_Der_Posten_der_Frau.tg45_1.xml	1857	1850	digbib	Der Posten der Frau	François, Louise von	yes	Erzähltext		yes	720	NA	NA	NA
rwz_sample_digbib_1184-1.xmi	earth	François,_Louise_von_Judith__die_Kluswirtin.tg47_1.xml	1862	1860	digbib	Judith, die Kluswirtin	François, Louise von	yes	Erzähltext		yes	641	NA	NA	NA
rwz_sample_digbib_1184-3.xmi	earth	François,_Louise_von_Judith__die_Kluswirtin.tg47_1.xml	1862	1860	digbib	Judith, die Kluswirtin	François, Louise von	yes	Erzähltext		yes	688	NA	NA	NA
rwz_sample_digbib_1184-4.xmi	uranus	François,_Louise_von_Judith__die_Kluswirtin.tg47_1.xml	1862	1860	digbib	Judith, die Kluswirtin	François, Louise von	yes	Erzähltext		yes	593	NA	NA	NA
rwz_sample_digbib_1190-1.xmi	uranus	Frapan,_Ilse_Die_Liebe_ist_gerettet.tg18_1.xml	1890	1890	digbib	Die Liebe ist gerettet	Frapan, Ilse	yes	Erzähltext		yes	623	NA	NA	NA
rwz_sample_digbib_1194-2.xmi	earth	Gogol,_Nikolaj_Vasilevic_Der_Mantel.tg8_1.xml	1842	1840	digbib	Der Mantel	Gogol, Nikolaj Vasilevi?	yes	Erzähltext		yes	585	NA	NA	NA
rwz_sample_digbib_1195-1.xmi	neptune	Gotthelf,_Jeremias_Barthli_der_Korber.tg66_1.xml	1852	1850	digbib	Barthli der Korber	Gotthelf, Jeremias	yes	Erzähltext		yes	610	NA	NA	NA
rwz_sample_digbib_1197-1.xmi	earth	Gotthelf,_Jeremias_Die_schwarze_Spinne.tg63_1.xml	1842	1840	digbib	Die schwarze Spinne	Gotthelf, Jeremias	yes	Erzähltext		yes	621	NA	NA	NA
rwz_sample_digbib_1198-2.xmi	neptune	Gotthelf,_Jeremias_Elsi__die_seltsame_Magd.tg64_1.xml	1843	1840	digbib	Elsi, die seltsame Magd	Gotthelf, Jeremias	yes	Erzähltext		yes	629	NA	NA	NA
rwz_sample_digbib_1199-1.xmi	neptune	Grillparzer,_Franz_Der_arme_Spielmann.tg1810_1.xml	1847	1840	digbib	Der arme Spielmann	Grillparzer, Franz	yes	Erzähltext		yes	634	NA	NA	NA
rwz_sample_digbib_1201-1.xmi	earth	Hartleben,_Otto_Erich_Vom_Gastfreien_Pastor.tg261_1.xml	1895	1890	digbib	Vom Gastfreien Pastor	Hartleben, Otto Erich	yes	Erzähltext		yes	602	NA	NA	NA
rwz_sample_digbib_1205-1.xmi	earth	Heiseler,_Henry_von_Der_Begleiter.tg21_1.xml	1919	1910	digbib	Der Begleiter	Heiseler, Henry von	yes	Erzähltext		yes	604	NA	NA	NA
rwz_sample_digbib_1206-1.xmi	uranus	Heyking,_Elisabeth_von_Das_Geheimnis_des_Amerikaners.tg77_1.xml	1905	1900	digbib	Das Geheimnis des Amerikaners	Heyking, Elisabeth von	yes	Erzähltext		yes	652	NA	NA	NA
rwz_sample_digbib_121-1.xmi	earth	Altenberg,_Peter_In_einem_Gedenkbuche.tg143_1.xml	1901	1900	digbib	In einem Gedenkbuche	Altenberg, Peter	yes	Erzähltext		yes	681	NA	NA	NA
rwz_sample_digbib_1212-1.xmi	neptune	Heym,_Georg_Der_fuenfte_Oktober.tg146_1.xml	1913	1910	digbib	Der fünfte Oktober	Heym, Georg	yes	Erzähltext		yes	604	NA	NA	NA
rwz_sample_digbib_1216-1.xmi	earth	Heym,_Georg_Jonathan.tg149_1.xml	1913	1910	digbib	Jonathan	Heym, Georg	yes	Erzähltext		yes	591	NA	NA	NA
rwz_sample_digbib_1217-4.xmi	uranus	Heyse,_Paul_Andrea_Delfin.tg565_1.xml	1862	1860	digbib	Andrea Delfin	Heyse, Paul	yes	Erzähltext		yes	583	NA	NA	NA
rwz_sample_digbib_1219-1.xmi	uranus	Hofmannsthal,_Hugo_von_Das_Maerchen_der_672__Nacht.tg360_1.xml	1895	1890	digbib	Das Märchen der 672. Nacht	Hofmannsthal, Hugo von	yes	Erzähltext		yes	579	NA	NA	NA
rwz_sample_digbib_1220-1.xmi	earth	Hofmannsthal,_Hugo_von_Die_Frau_ohne_Schatten.tg364_1.xml	1919	1910	digbib	Die Frau ohne Schatten	Hofmannsthal, Hugo von	yes	Erzähltext		yes	617	NA	NA	NA
