tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Es	Es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	yes	-	-	-	-	-
handelt	handelt	handeln	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	-	-	-	-
für	für	für	APPR	APPR.Acc	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Acc.Pl.*	no	-	-	-	-	-
lediglich	lediglich	lediglich	ADV	ADV	no	-	-	-	-	-
um	um	um	APPR	APPR.Acc	no	-	-	-	-	-
wirthschaftliche	wirtschaftliche	wirtschaftlich	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Gleichberechtigung	Gleichberechtigung	Gleichberechtigung	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Das	Das	d	ART	ART.Def.Nom.Sg.Neut	yes	-	-	-	-	-
weibliche	weibliche	weiblich	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
Geschlecht	Geschlecht	Geschlecht	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
soll	soll	sollen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	-	-	-	-	-
denselben	denselben	denselben	PDAT	PRO.Dem.Attr.-.Acc.Sg.Masc	no	-	-	-	-	-
unbeschränkten	unbeschränkten	unbeschränkt	ADJA	ADJA.Pos.Acc.Sg.Masc	no	-	-	-	-	-
Zutritt	Zutritt	Zutritt	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
zu	zu	zu	APPR	APPR.Dat	no	-	-	-	-	-
allen	allen	alle	PIAT	PRO.Indef.Attr.-.Dat.Pl.Masc	no	-	-	-	-	-
Erwerbszweigen	Erwerbszweigen	Erwerbszweig	NN	N.Reg.Dat.Pl.Masc	no	-	-	-	-	-
haben	haben	haben	VAFIN	VINF.Haben.-	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
denen	denen	die	PRELS	PRO.Rel.Subst.-.Dat.Pl.Masc	no	reported.thought.1	-	-	-	-
es	es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	reported.thought.1	-	-	-	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	reported.thought.1	-	-	-	-
selbst	selbst	selbst	ADV	ADV	no	reported.thought.1	-	-	-	-
gewachsen	gewachsen	gewachsen	ADJD	ADJD.Pos	no	reported.thought.1	-	-	-	-
fühlen	fühlen	fühlen	VVINF	VINF.Full.-	no	reported.thought.1	-	-	-	-
mag	mag	mögen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	reported.thought.1	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
wie	wie	wie	PWAV	PROADV.Inter	no	-	-	-	-	-
das	das	d	ART	ART.Def.Nom.Sg.Neut	no	-	-	-	-	-
männliche	männliche	männlich	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
Geschlecht	Geschlecht	Geschlecht	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	-	-	-	-	-
Die	Die	d	ART	ART.Def.Nom.Sg.Fem	yes	-	-	-	-	-
Agitation	Agitation	Agitation	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
rüttelt	rüttelt	rütteln	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
daher	daher	daher	PAV	PROADV.Dem	no	-	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
sowohl	sowohl	sowohl	KON	CONJ.Coord.-	no	-	-	-	-	-
an	an	an	APPR	APPR.An	no	-	-	-	-	-
Staatsgesetzen	Staatsgesetzen	Staatsgesetz	NN	N.Reg.Dat.Pl.Masc	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Grundeinrichtungen	Grundeinrichtungen	Grundeinrichtung	NN	N.Reg.Dat.Pl.Fem	no	-	-	-	-	-
der	der	d	ART	ART.Def.Gen.Sg.Fem	no	-	-	-	-	-
Gesellschaft	Gesellschaft	Gesellschaft	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
als	als	als	KOKOM	CONJ.Comp.-	no	-	-	-	-	-
an	an	an	APPR	APPR.An	no	-	-	-	-	-
diesen	diesen	diese	PDAT	PRO.Dem.Attr.-.Acc.Sg.Masc	no	reported.writing.2	-	-	-	-
oder	oder	oder	KON	CONJ.Coord.-	no	reported.writing.2	-	-	-	-
jenen	jenen	jen	PDAT	PRO.Dem.Attr.-.Dat.Pl.Neut	no	reported.writing.2	-	-	-	-
Vorurtheilen	Vorurteilen	Vorurteil	NN	N.Reg.Dat.Pl.Neut	no	reported.writing.2	-	-	-	-
der	der	d	ART	ART.Def.Gen.Sg.Fem	no	reported.writing.2	-	-	-	-
Ueberlieferung	Überlieferung	Überlieferung	NN	N.Reg.Gen.Sg.Fem	no	reported.writing.2	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	reported.writing.2	-	-	-	-
welche	welche	welche	PRELS	PRO.Rel.Subst.-.Nom.Sg.Fem	no	reported.writing.2	-	-	-	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	reported.writing.2	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	reported.writing.2	-	-	-	-
Verwendung	Verwendung	Verwendung	NN	N.Reg.Dat.Sg.Fem	no	reported.writing.2	-	-	-	-
von	von	von	APPR	APPR.Dat	no	reported.writing.2	-	-	-	-
weiblicher	weiblicher	weiblich	ADJA	ADJA.Pos.Dat.Sg.Fem	no	reported.writing.2	-	-	-	-
Arbeitskraft	Arbeitskraft	Arbeitskraft	NN	N.Reg.Dat.Sg.Fem	no	reported.writing.2	-	-	-	-
in	in	in	APPR	APPR.In	no	reported.writing.2	-	-	-	-
gegebenen	gegebenen	gegeben	ADJA	ADJA.Pos.Dat.Pl.Masc	no	reported.writing.2	-	-	-	-
Fällen	Fällen	Fall	NN	N.Reg.Dat.Pl.Masc	no	reported.writing.2	-	-	-	-
entgegenstellen	entgegenstellen	entgegenstellen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	reported.writing.2	-	-	-	-
.	.	.	$.	SYM.Pun.Sent	no	reported.writing.2	-	-	-	-
Die	Die	d	ART	ART.Def.Nom.Pl.Masc	yes	-	-	-	-	-
verschiedenen	verschiedenen	verschieden	ADJA	ADJA.Pos.Nom.Pl.Masc	no	-	-	-	-	-
Zweige	Zweige	Zweig	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
der	der	d	ART	ART.Def.Gen.Sg.Fem	no	-	-	-	-	-
Bewegung	Bewegung	Bewegung	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
sind	sind	sein	VAFIN	VFIN.Sein.3.Pl.Pres.Ind	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
dieser	dieser	diese	PDAT	PRO.Dem.Attr.-.Dat.Sg.Fem	no	-	-	-	-	-
weisen	weisen	weise	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
