tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Selbst	Selbst	selbst	ADV	ADV	yes	-	-	-	-	-
das	das	der	ART	ART.Def.Nom.Sg.Neut	no	-	-	-	-	-
einzige	einzige	einzig	ADJA	ADJA.Pos.Nom.Sg.Neut	no	-	-	-	-	-
Gedicht	Gedicht	Gedicht	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
dem	dem	der	PRELS	PRO.Rel.Subst.-.Dat.Sg.Neut	no	-	-	-	-	-
er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	-	speaker.4_2_3	-	-
sich	sich	sich	PRF	PRO.Refl.Subst.3.Acc.Sg.*	no	-	-	-	-	-
seines	seines	sein	PPOSAT	PRO.Poss.Attr.-.Gen.Sg.Neut	no	-	-	-	-	-
reinen	reinen	rein	ADJA	ADJA.Pos.Gen.Sg.Neut	no	-	-	-	-	-
Strebens	Strebens	Streben	NN	N.Reg.Gen.Sg.Neut	no	-	-	-	-	-
zu	zu	zu	PTKZU	PART.Zu	no	-	-	-	-	-
freuen	freuen	freuen	VVINF	VINF.Full.-	no	-	-	-	-	-
scheint	scheint	scheinen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
sein	sein	sein	PPOSAT	PRO.Poss.Attr.-.Nom.Sg.Neut	no	reported.writing.1	-	speaker.1	-	-
Ziel	Ziel	Ziel	NN	N.Reg.Nom.Sg.Neut	no	reported.writing.1	-	-	-	-
„	&quot;	&quot;	$(	N.Name.Nom.Sg.*	no	reported.writing.1|direct.writing.4	-	-	-	-
fast	fast	fast	ADV	ADV	no	reported.writing.1|direct.writing.4	-	-	-	-
erreicht	erreicht	erreichen	VVPP	VPP.Full.Psp	no	reported.writing.1|direct.writing.4	-	-	-	-
