tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Die	Die	der	ART	ART.Def.Nom.Pl.Fem	yes	-	-	-	-	-
EinlösungsModalitäten	Einlösungsmodalitäten	Einlösungsmodalität	NN	N.Reg.Nom.Pl.Fem	no	-	-	-	-	-
sollen	sollen	sollen	VMFIN	VFIN.Mod.3.Pl.Pres.Ind	no	-	-	-	-	-
die	die	der	ART	ART.Def.Acc.Pl.*	no	-	-	-	-	-
gleichen	gleichen	gleich	ADJA	ADJA.Pos.Acc.Pl.*	no	-	-	-	-	-
wie	wie	wie	KOKOM	CONJ.Coord.Wie	no	-	-	-	-	-
bei	bei	bei	APPR	APPR.Dat	no	-	-	-	-	-
den	den	der	ART	ART.Def.Dat.Pl.Masc	no	-	-	-	-	-
früheren	früheren	früh	ADJA	ADJA.Comp.Dat.Pl.Masc	no	-	-	-	-	-
Coupons	Coupons	Coupon	NN	N.Reg.Dat.Pl.Masc	no	-	-	-	-	-
sein	sein	sein	VAINF	VINF.Sein.-	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
indem	indem	indem	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
für	für	für	APPR	APPR.Acc	no	-	-	-	-	-
die	die	der	ART	ART.Def.Acc.Pl.Masc	no	-	-	-	-	-
Verzugszinsen	Verzugszinsen	Verzugszins	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
ein	ein	ein	ART	ART.Indef.Acc.Sg.Neut	no	-	-	-	-	-
Aequivalent	Äquivalent	Äquivalent	NN	N.Reg.Acc.Sg.Neut	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
15	15	15	CARD	CARD	no	-	-	-	-	-
Kreuzer	Kreuzer	Kreuzer	NN	N.Reg.*.*.Masc	no	-	-	-	-	-
per	per	per	APPR	APPR.Per	no	-	-	-	-	-
Coupon	Coupon	Coupon	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
geleistet	geleistet	leisten	VVPP	VPP.Full.Psp	no	-	-	-	-	-
wird	wird	werden	VAFIN	VFIN.Aux.3.Sg.Pres.Ind	no	-	-	-	-	-
demnach	demnach	demnach	PAV	PROADV.Dem	no	-	-	-	-	-
der	der	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Coupon	Coupon	Coupon	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
vom	vom	von	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
1.	1.	1.	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
Jänner	Januar	Januar	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
1876	1876	1876	CARD	CARD	no	-	-	-	-	-
mit	mit	mit	APPR	APPR.Dat	no	-	-	-	-	-
7	7	7	CARD	CARD	no	-	-	-	-	-
fl.	fl.	fl.	NN	ADJD.Pos	no	-	-	-	-	-
65	65	65	CARD	CARD	no	-	-	-	-	-
kr.	kr.	kr.	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
zur	zur	zu	APPRART	APPRART.Dat.Sg.Fem	no	-	-	-	-	-
Einlösung	Einlösung	Einlösung	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
gelangen	gelangen	gelangen	VVINF	VINF.Full.-	no	-	-	-	-	-
würde	würde	werden	VAFIN	VFIN.Aux.3.Sg.Past.Subj	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
(	(	--	$(	SYM.Paren.Left	yes	-	-	-	-	-
Geänderte	Geänderte	Geändert	ADJA	ADJA.Pos.Nom.Sg.Fem	no	-	-	-	-	-
Jahrordnung	Jahrordnung	Jahrordnung	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
der	der	der	ART	ART.Def.Gen.Pl.*	no	-	-	-	-	-
MährischSchlesischen	Mährischschlesischen	Mährischschlesisch	ADJA	N.Reg.Gen.Pl.*	no	-	-	-	-	-
Centralbahn	)	--	$(	SYM.Paren.Right	no	-	-	-	-	-
)	)	--	$(	SYM.Paren.Right	no	-	-	-	-	-
Wir	Wir	wir	PPER	PRO.Pers.Subst.1.Nom.Pl.*	yes	reported.speech writing.1	-	-	-	-
werden	werden	werden	VAFIN	VFIN.Aux.1.Pl.Pres.Ind	no	reported.speech writing.1	-	-	-	-
um	um	um	APPR	APPR.Acc	no	reported.speech writing.1	-	-	-	-
Aufnahme	Aufnahme	Aufnahme	NN	N.Reg.Acc.Sg.Fem	no	reported.speech writing.1	-	-	-	-
folgender	folgender	folgend	ADJA	ADJA.Pos.Gen.Sg.Fem	no	reported.speech writing.1	-	-	-	-
Kundmachung	Kundmachung	Kundmachung	NN	N.Reg.Gen.Sg.Fem	no	reported.speech writing.1	-	-	-	-
ersucht	ersucht	ersuchen	VVPP	VPP.Full.Psp	no	reported.speech writing.1	-	-	intexpr.1	-
:	:	--	$.	SYM.Pun.Colon	no	-	-	-	-	-
Am	Am	an	APPRART	APPRART.Dat.Sg.Masc	yes	-	-	-	-	-
15.	15.	15.	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
October	Oktober	Oktober	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
l.	l.	los	NE	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
J.	J.	J.	NE	N.Name.Nom.Sg.Masc	no	-	-	-	-	-
gelangt	gelangt	gelangen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
für	für	für	APPR	APPR.Acc	no	-	-	-	-	-
die	die	der	ART	ART.Def.Acc.Pl.Fem	no	-	-	-	-	-
Strecken	Strecken	Strecke	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
der	der	der	ART	ART.Def.Gen.Sg.Fem	no	-	-	-	-	-
Mährisch-Schlesischen	Mährisch-Schlesischen	Mährisch-Schlesisch	ADJA	ADJA.Pos.Gen.Sg.Fem	no	-	-	-	-	-
Centralbahn	Centralbahn	Centralbahn	NN	N.Name.Gen.Sg.Fem	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
der	der	der	ART	ART.Def.Gen.Pl.*	no	-	-	-	-	-
beiden	beiden	beide	PIAT	PRO.Indef.Subst.-.Gen.Pl.*	no	-	-	-	-	-
im	im	in	APPRART	APPRART.Dat.Sg.Masc	no	-	-	-	-	-
hierseitigen	hierseitigen	hierseitig	ADJA	ADJA.Pos.Dat.Sg.Masc	no	-	-	-	-	-
Betriebe	Betriebe	Betrieb	NN	N.Reg.Dat.Sg.Masc	no	-	-	-	-	-
stehenden	stehenden	stehend	ADJA	ADJA.Pos.Gen.Pl.Fem	no	-	-	-	-	-
k.	k.	k.	ADJA	ADJD.Pos	no	-	-	-	-	-
k.	k.	k.	ADJA	ADJA.Pos.Gen.Pl.Fem	no	-	-	-	-	-
Staatsbahnen	Staatsbahnen	Staatsbahn	NN	N.Reg.Gen.Pl.Fem	no	-	-	-	-	-
Kriegsdorf-Römerstadt	Kriegsdorf-Römerstadt	Kriegsdorf-Römerstadt	NN	N.Name.Nom.Sg.Neut	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
ErbersdorfWürbenthal	ErbersdorfWürbenthal	ErbersdorfWürbenthal	NN	N.Name.Nom.Sg.Neut	no	-	-	-	-	-
eine	eine	ein	ART	ART.Indef.Acc.Sg.Fem	no	-	-	-	-	-
theilweise	teilweise	teilweise	ADV	ADV	no	-	-	-	-	-
geänderte	geänderte	geändert	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Fahrordnung	Fahrordnung	Fahrordnung	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
zur	zur	zu	APPRART	APPRART.Dat.Sg.Fem	no	-	-	-	-	-
Einführung	Einführung	Einführung	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Außer	Außer	außer	APPR	APPR.Außer	yes	-	-	-	-	-
Verkehr	Verkehr	Verkehr	NN	N.Reg.Acc.Sg.Masc	no	-	-	-	-	-
gesetzt	gesetzt	setzen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
werden	werden	werden	VAFIN	VINF.Aux.-	no	-	-	-	-	-
der	der	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Gütereilzug	Gütereilzug	Gütereilzug	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
(	(	--	$(	SYM.Paren.Left	no	-	-	-	-	-
mit	mit	mit	APPR	APPR.Dat	no	-	-	-	-	-
Personenbeförderung	Personenbeförderung	Personenbeförderung	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
)	)	--	$(	SYM.Paren.Right	no	-	-	-	-	-
Nr.	Nr.	Nr.	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
32	32	32	CARD	CARD	no	-	-	-	-	-
(	alt	alt	ADJD	ADJD.Pos	no	-	-	-	-	-
alt	alt	alt	ADJD	ADJD.Pos	no	-	-	-	-	-
)	)	--	$(	SYM.Paren.Right	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
der	der	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Strecke	Strecke	Strecke	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
Jägerndorf-Olmütz	Jägerndorf-Olmütz	Jägerndorf-Olmütz	NE	N.Name.Nom.Sg.Neut	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
die	die	der	ART	ART.Def.Nom.Pl.Masc	no	-	-	-	-	-
Gemischten	Gemischten	Gemischt	ADJA	ADJA.Pos.Nom.Pl.Masc	no	-	-	-	-	-
Züge	Züge	Zug	NN	N.Reg.Nom.Pl.Masc	no	-	-	-	-	-
Nr.	Nr.	Nr.	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
103	103	103	CARD	CARD	no	-	-	-	-	-
(	(	--	$(	SYM.Paren.Left	no	-	-	-	-	-
alt	alt	alt	ADJD	ADJD.Pos	no	-	-	-	-	-
)	)	--	$(	SYM.Paren.Right	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
Nr.	Nr.	Nr.	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
106	106	106	CARD	CARD	no	-	-	-	-	-
(	(	--	$(	SYM.Paren.Left	no	-	-	-	-	-
alt	alt	alt	ADJD	ADJD.Pos	no	-	-	-	-	-
)	)	--	$(	SYM.Paren.Right	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
der	der	der	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Strecke	Strecke	Strecke	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
Jägerndorf-Ziegenhals	Jägerndorf-Ziegenhals	Jägerndorf-Ziegenhals	NE	N.Name.Gen.Sg.Neut	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Wesentlich	Wesentlich	wesentlich	ADJD	ADJD.Pos	yes	-	-	-	-	-
geändert	geändert	ändern	VVPP	VPP.Full.Psp	no	-	-	-	-	-
wurde	wurde	werden	VAFIN	VFIN.Aux.3.Sg.Past.Ind	no	-	-	-	-	-
der	der	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Gemischte	Gemischte	Gemischt	ADJA	ADJA.Pos.Nom.Sg.Masc	no	-	-	-	-	-
Zug	Zug	Zug	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
Nr.	Nr.	Nr.	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
4	4	4	CARD	CARD	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
welcher	welcher	welcher	PRELS	PRO.Rel.Subst.-.Nom.Sg.Masc	no	-	-	-	-	-
nunmehr	nunmehr	nunmehr	ADV	ADV	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
Jägerndorf	Jägerndorf	Jägerndorf	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
um	um	um	APPR	APPR.Acc	no	-	-	-	-	-
3	3	3	CARD	CARD	no	-	-	-	-	-
Uhr	Uhr	Uhr	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
5	5	5	CARD	CARD	no	-	-	-	-	-
Minuten	Minuten	Minute	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
Nachmittags	Nachmittags	Nachmittag	ADV	ADV	no	-	-	-	-	-
abgeht	abgeht	abgehen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
Olmütz	Olmütz	Olmütz	NE	N.Name.Dat.Sg.Neut	no	-	-	-	-	-
um	um	um	APPR	APPR.Acc	no	-	-	-	-	-
8	8	8	CARD	CARD	no	-	-	-	-	-
Uhr	Uhr	Uhr	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
30	30	30	CARD	CARD	no	-	-	-	-	-
Minuten	Minuten	Minute	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
Abends	Abends	Abend	NN	ADV	no	-	-	-	-	-
eintrifft	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
