tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Er	Er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	yes	-	-	-	-	-
war	war	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	-	-	-	-	-
entlassen	entlassen	entlassen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	frame.18	-	-	-
er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	frame.18	speaker.18	-	-
begriff	begriff	begreifen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	frame.18	-	intexpr.18	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	-	frame.18	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	frame.18	-	-	-
weshalb	weshalb	weshalb	PWAV	PROADV.Inter	no	indirect.thought.18.nonfact	-	-	-	-
er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	indirect.thought.18.nonfact	-	-	-	-
so	so	so	ADV	ADV	no	indirect.thought.18.nonfact	-	-	-	-
mißmutig	mißmutig	mißmutig	ADJD	ADJD.Pos	no	indirect.thought.18.nonfact	-	-	-	-
durch	durch	durch	APPR	APPR.Acc	no	indirect.thought.18.nonfact	-	-	-	-
die	die	der	ART	ART.Def.Acc.Pl.Fem	no	indirect.thought.18.nonfact	-	-	-	-
Straßen	Straßen	Straße	NN	N.Reg.Acc.Pl.Fem	no	indirect.thought.18.nonfact	-	-	-	-
ging	ging	gehen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	indirect.thought.18.nonfact	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	indirect.thought.18.nonfact	-	-	-	-
da	da	da	KOUS	CONJ.SubFin.-	no	indirect.thought.18.nonfact	-	-	-	-
er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	indirect.thought.18.nonfact	-	-	-	-
doch	doch	doch	ADV	ADV	no	indirect.thought.18.nonfact	-	-	-	-
der	der	der	ART	ART.Def.Dat.Sg.Fem	no	indirect.thought.18.nonfact	-	-	-	-
Gefahr	Gefahr	Gefahr	NN	N.Reg.Dat.Sg.Fem	no	indirect.thought.18.nonfact	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	indirect.thought.18.nonfact	-	-	-	-
die	die	der	PRELS	PRO.Rel.Subst.-.Acc.Sg.Fem	no	indirect.thought.18.nonfact	-	-	-	-
er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	indirect.thought.18.nonfact	-	-	-	-
in	in	in	APPR	APPR.In	no	indirect.thought.18.nonfact	-	-	-	-
diesen	diesen	dieser	PDAT	PRO.Dem.Attr.-.Dat.Pl.Masc	no	indirect.thought.18.nonfact	-	-	-	-
Tagen	Tagen	Tag	NN	N.Reg.Dat.Pl.Masc	no	indirect.thought.18.nonfact	-	-	-	-
am	am	an	PTKA	PART.Deg	no	indirect.thought.18.nonfact	-	-	-	-
meisten	meisten	meister	PIS	PRO.Indef.Subst.-.*.*.*	no	indirect.thought.18.nonfact	-	-	-	-
gefürchtet	gefürchtet	fürchten	VVPP	VPP.Full.Psp	no	indirect.thought.18.nonfact	-	-	-	-
hatte	hatte	haben	VAFIN	VFIN.Haben.3.Sg.Past.Ind	no	indirect.thought.18.nonfact	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	indirect.thought.18.nonfact	-	-	-	-
entgangen	entgangen	entgehen	VVPP	VPP.Full.Psp	no	indirect.thought.18.nonfact	-	-	-	-
war	war	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	indirect.thought.18.nonfact	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	indirect.thought.18.nonfact	-	-	-	-
Als	Als	als	KOUS	CONJ.SubFin.-	yes	-	-	-	-	-
er	er	er	PPER	PRO.Pers.Subst.3.Nom.Sg.Masc	no	-	-	-	-	-
des	des	der	ART	ART.Def.Gen.Sg.Masc	no	-	-	-	-	-
Abends	Abends	Abend	NN	N.Reg.Gen.Sg.Masc	no	-	-	-	-	-
mit	mit	mit	APPR	APPR.Dat	no	-	-	-	-	-
seinen	seinen	sein	PPOSAT	PRO.Poss.Attr.-.Dat.Pl.Masc	no	-	-	-	-	-
Gesellen	Gesellen	Geselle	NN	N.Reg.Dat.Pl.Masc	no	-	-	-	-	-
saß	saß	sitzen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
sagten	sagten	sagen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	-	frame.3	-	intexpr.3	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	frame.3	speaker.3	-	-
ihm	ihm	ihm	PPER	PRO.Pers.Subst.3.Dat.Sg.Masc	no	-	frame.3	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	frame.3	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
sahen	sahen	sehen	VVFIN	VFIN.Full.3.Pl.Past.Ind	no	-	-	-	-	-
ihn	ihn	ihn	PPER	PRO.Pers.Subst.3.Acc.Sg.Masc	no	-	-	-	-	-
dabei	dabei	dabei	PAV	PROADV.Dem	no	-	-	-	-	-
an	an	an	PTKVZ	PART.Verb	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.speech.3|reported.speech.20	-	-	-	-
zwei	zwei	zwei	CARD	CARD	no	indirect.speech.3|reported.speech.20	-	-	-	-
junge	junge	jung	ADJA	ADJA.Pos.Nom.Pl.*	no	indirect.speech.3|reported.speech.20	-	-	-	-
Edelleute	Edelleute	Edelleute	NN	N.Reg.Nom.Pl.*	no	indirect.speech.3|reported.speech.20	-	speaker.20	-	-
bei	bei	bei	APPR	APPR.Dat	no	indirect.speech.3|reported.speech.20	-	-	-	-
