tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Die	Die	der	ART	ART.Def.Nom.Pl.Neut	yes	-	-	-	-	-
Mitglieder	Mitglieder	Mitglied	NN	N.Reg.Nom.Pl.Neut	no	-	-	-	-	-
des	des	der	ART	ART.Def.Gen.Sg.Masc	no	-	-	-	-	-
Clubs	Klubs	Klub	NN	N.Reg.Gen.Sg.Masc	no	-	-	-	-	-
der	der	der	ART	ART.Def.Gen.Pl.Masc	no	-	-	-	-	-
„	&quot;	&quot;	$(	ADJA.Pos.Gen.Pl.Masc	no	-	-	-	-	-
Sansculotten	Sansculotten	Sansculotte	NN	N.Reg.Gen.Pl.Masc	no	-	-	-	-	-
des	des	der	ART	ART.Def.Gen.Sg.Masc	no	-	-	-	-	-
Geistes	Geistes	Geist	NN	N.Reg.Gen.Sg.Masc	no	-	-	-	-	-
“	&quot;	&quot;	$(	N.Name.Nom.Sg.*	no	-	-	-	-	-
waren	waren	sein	VAFIN	VFIN.Sein.3.Pl.Past.Ind	no	-	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	-	-	-	-	-
wenig	wenig	wenig	ADV	ADV	no	-	-	-	-	-
erstaunt	erstaunt	erstaunt	ADJD	ADJD.Pos	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
als	als	als	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
durch	durch	durch	APPR	APPR.Acc	no	reported.writing.1	-	-	-	-
die	die	der	ART	ART.Def.Acc.Sg.Fem	no	reported.writing.1	-	-	-	-
Einladung	Einladung	Einladung	NN	N.Reg.Acc.Sg.Fem	no	reported.writing.1	-	-	intexpr.1	-
des	des	der	ART	ART.Def.Gen.Sg.Masc	no	reported.writing.1	-	-	-	-
Präsidenten	Präsidenten	Präsident	NN	N.Reg.Gen.Sg.Masc	no	reported.writing.1	-	speaker.1_2	-	-
zu	zu	zu	APPR	APPR.Dat	no	reported.writing.1	-	-	-	-
einer	einer	ein	ART	ART.Indef.Dat.Sg.Fem	no	reported.writing.1	-	-	-	-
außerordentlichen	außerordentlichen	außerordentlich	ADJA	ADJA.Pos.Dat.Sg.Fem	no	reported.writing.1	-	-	-	-
Sitzung	Sitzung	Sitzung	NN	N.Reg.Dat.Sg.Fem	no	reported.writing.1	-	-	-	-
einberufen	einberufen	einberufen	VVPP	VPP.Full.Psp	no	reported.writing.1	-	-	-	-
wurden	wurden	werden	VAFIN	VFIN.Aux.3.Pl.Past.Ind	no	reported.writing.1	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	reported.writing.1	-	-	-	-
Der	Der	der	ART	ART.Def.Nom.Sg.Masc	yes	reported.writing.2.nonfact	-	-	-	-
Gegenstand	Gegenstand	Gegenstand	NN	N.Reg.Nom.Sg.Masc	no	reported.writing.2.nonfact	-	-	-	-
der	der	der	ART	ART.Def.Gen.Sg.Fem	no	reported.writing.2.nonfact	-	-	-	-
Verhandlung	Verhandlung	Verhandlung	NN	N.Reg.Gen.Sg.Fem	no	reported.writing.2.nonfact	-	-	-	-
war	war	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	reported.writing.2.nonfact	-	-	-	-
nicht	nicht	nicht	PTKNEG	PART.Neg	no	reported.writing.2.nonfact	-	-	-	-
bekannt	bekannt	bekannt	ADJD	ADJD.Pos	no	reported.writing.2.nonfact	-	-	intexpr.2	-
gegeben	gegeben	geben	VVPP	VPP.Full.Psp	no	reported.writing.2.nonfact	-	-	intexpr.2	-
;	;	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
