tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Eine	Eine	eine	ART	ART.Indef.Nom.Sg.Fem	yes	-	-	-	-	-
Reise	Reise	Reise	NN	N.Reg.Nom.Sg.Fem	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
die	die	die	PRELS	PRO.Rel.Subst.-.Acc.Sg.Fem	no	-	-	-	-	-
der	der	d	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Dichter	Dichter	Dichter	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
in	in	in	APPR	APPR.In	no	-	-	-	-	-
den	den	d	ART	ART.Def.Dat.Pl.Neut	no	-	-	-	-	-
Jahren	Jahren	Jahr	NN	N.Reg.Dat.Pl.Neut	no	-	-	-	-	-
1864	1864	1864	CARD	CARD	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
1865	1865	1865	CARD	CARD	no	-	-	-	-	-
unternahm	unternahm	unternehmen	VVFIN	VFIN.Full.3.Sg.Past.Ind	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
hatte	hatte	haben	VAFIN	VFIN.Haben.3.Sg.Past.Ind	no	-	-	-	-	-
ihm	ihm	er	PPER	PRO.Pers.Subst.3.Dat.Sg.Masc	no	-	-	-	-	-
mehrere	mehrere	mehrere	PIAT	PRO.Indef.Attr.-.Acc.Pl.Masc	no	-	-	-	-	-
Stoffe	Stoffe	Stoff	NN	N.Reg.Acc.Pl.Masc	no	-	-	-	-	-
aus	aus	aus	APPR	APPR.Dat	no	-	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
römischen	römischen	römisch	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Geschichte	Geschichte	Geschichte	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
oder	oder	oder	KON	CONJ.Coord.-	no	-	-	-	-	-
genauer	genauer	genau	ADJD	ADJD.Comp	no	-	-	-	-	-
ans	ans	ans	APPRART	APPRART.Acc.Sg.Neut	no	-	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
Geschichte	Geschichte	Geschichte	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
des	des	d	ART	ART.Def.Gen.Sg.Masc	no	-	-	-	-	-
römischen	römischen	römisch	ADJA	ADJA.Pos.Gen.Sg.Masc	no	-	-	-	-	-
Verfalls	Verfalls	Verfall	NN	N.Reg.Gen.Sg.Masc	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	der	d	ART	ART.Def.Gen.Sg.Fem	no	-	-	-	-	-
sterbenden	sterbenden	sterbend	ADJA	ADJA.Pos.Gen.Sg.Fem	no	-	-	-	-	-
Republik	Republik	Republik	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
ersten	ersten	erst	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Kaiserzeit	Kaiserzeit	Kaiserzeit	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
vertraut	vertraut	vertraut	ADJD	ADJD.Pos	no	-	-	-	-	-
gemacht	gemacht	machen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
Zeiten	Zeiten	Zeit	NN	N.Reg.Acc.Pl.Fem	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	frame.1	-	-	-
denen	denen	die	PRELS	PRO.Rel.Subst.-.Dat.Pl.Fem	no	-	frame.1	-	-	-
der	der	d	ART	ART.Def.Nom.Sg.Masc	no	-	frame.1	-	-	-
Dichter	Dichter	Dichter	NN	N.Reg.Nom.Sg.Masc	no	-	frame.1	speaker.1	-	-
selbst	selbst	selbst	ADV	ADV	no	-	frame.1	-	-	-
meint	meint	meinen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	frame.1	-	intexpr.1	-
,	,	,	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	-	frame.1	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Sg.Fem	no	-	frame.1	-	-	-
„	&quot;	&quot;	$(	CARD	no	direct.writing.1	-	-	-	-
die	die	d	ART	ART.Def.Acc.Pl.Masc	no	direct.writing.1	-	-	-	-
Gegensätze	Gegensätze	Gegensatz	NN	N.Reg.Acc.Pl.Masc	no	direct.writing.1	-	-	-	-
Edles	Edles	Edle	NN	N.Reg.Nom.Sg.Neut	no	direct.writing.1	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	direct.writing.1	-	-	-	-
Schlechtes	Schlechtes	Schlecht	NN	N.Reg.Nom.Sg.Neut	no	direct.writing.1	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	direct.writing.1	-	-	-	-
Tugenden	Tugenden	Tugend	NN	N.Reg.Nom.Pl.Fem	no	direct.writing.1	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	direct.writing.1	-	-	-	-
Laster	Laster	Laster	NN	N.Reg.Nom.Pl.Masc	no	direct.writing.1	-	-	-	-
zu	zu	zu	APPR	APPR.Dat	no	direct.writing.1	-	-	-	-
wunderbarer	wunderbarer	wunderbar	ADJA	ADJA.Pos.Dat.Sg.Fem	no	direct.writing.1	-	-	-	-
Höhe	Höhe	Höhe	NN	N.Reg.Dat.Sg.Fem	no	direct.writing.1	-	-	-	-
entwickelt	entwickelt	entwickeln	VVPP	VPP.Full.Psp	no	direct.writing.1	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	direct.writing.1	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	direct.writing.1	-	-	-	-
in	in	in	APPR	APPR.In	no	direct.writing.1	-	-	-	-
unendlich	unendlich	unendlich	ADJD	ADJD.Pos	no	direct.writing.1	-	-	-	-
anziehenden	anziehenden	anziehend	ADJA	ADJA.Pos.Dat.Pl.Masc	no	direct.writing.1	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	direct.writing.1	-	-	-	-
rücksichtslos	rücksichtslos	rücksichtslos	ADJD	ADJD.Pos	no	direct.writing.1	-	-	-	-
lebendigen	lebendigen	lebendig	ADJA	ADJA.Pos.Dat.Pl.Fem	no	direct.writing.1	-	-	-	-
Gestalten	Gestalten	Gestalt	NN	N.Reg.Dat.Pl.Fem	no	direct.writing.1	-	-	-	-
verkörpert	verkörpert	verkörpern	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	direct.writing.1	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	direct.writing.1	-	-	-	-
die	die	die	PRELS	PRO.Rel.Subst.-.Nom.Pl.Fem	no	direct.writing.1	frame.8	speaker.8	-	-
gleichsam	gleichsam	gleichsam	ADJD	ADJD.Pos	no	direct.writing.1	frame.8	-	-	-
zu	zu	zu	PTKZU	PART.Zu	no	direct.writing.1	frame.8	-	-	-
fragen	fragen	fragen	VVINF	VINF.Full.-	no	direct.writing.1	frame.8	-	intexpr.8	-
scheinen	scheinen	scheinen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	no	direct.writing.1	frame.8	-	-	-
:	:	:	$.	SYM.Pun.Colon	no	direct.writing.1	frame.8	-	-	-
dramatische	dramatische	dramatisch	ADJA	ADJA.Pos.Nom.Pl.Masc	no	direct.writing.1|direct.speech.8.nonfact.metaph	-	-	-	-
Dichter	Dichter	Dichter	NN	N.Reg.Nom.Pl.Masc	no	direct.writing.1|direct.speech.8.nonfact.metaph	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	direct.writing.1|direct.speech.8.nonfact.metaph	-	-	-	-
wo	wo	wo	PWAV	PROADV.Inter	no	direct.writing.1|direct.speech.8.nonfact.metaph	-	-	-	-
seid	seid	sein	VAFIN	VFIN.Sein.2.Pl.Pres.Ind	no	direct.writing.1|direct.speech.8.nonfact.metaph	-	-	-	-
ihr	ihr	sie	PPER	PRO.Pers.Subst.2.Nom.Pl.*	no	direct.writing.1|direct.speech.8.nonfact.metaph	-	-	-	-
?	?	?	$.	SYM.Pun.Sent	no	direct.writing.1|direct.speech.8.nonfact.metaph	-	-	-	-
