tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
H.	H.	H.	NE	N.Name.Nom.Sg.*	yes	-	-	-	-	-
v.	v.	v.	APPRART	APPR.Dat	no	-	-	-	-	-
Budde	Bude	Bude	NN	N.Reg.Dat.Sg.Fem	yes	-	-	-	-	-
hier.	hier.	hier.	NE	ADJA.Pos.Gen.Sg.Fem	yes	-	-	-	-	-
Ew.	Ew.	Ew.	NE	ADJA.Pos.Gen.Sg.Fem	yes	-	-	-	-	-
Exzellenz	Exzellenz	Exzellenz	NN	N.Reg.Gen.Sg.Fem	yes	-	-	-	-	-
!	!	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Jn	In	in	APPR	APPR.In	yes	-	frame.1	-	-	-
einer	einer	ein	ART	ART.Indef.Dat.Sg.Fem	no	reported.speech.11	frame.1	-	-	-
neuerlichen	neuerlichen	neuerlich	ADJA	ADJA.Pos.Dat.Sg.Fem	no	reported.speech.11	frame.1	-	-	-
Rede	Rede	Rede	NN	N.Reg.Dat.Sg.Fem	no	reported.speech.11	frame.1	-	intexpr.11	-
im	im	in	APPRART	APPRART.Dat.Sg.Neut	no	reported.speech.11	frame.1	-	-	-
Abgeordnetenhaus	Abgeordnetenhaus	Abgeordnetenhaus	NN	N.Reg.Dat.Sg.Neut	no	reported.speech.11	frame.1	-	-	-
betonten	betonten	betont	VVFIN	ADJA.Pos.Gen.Sg.Fem	no	-	frame.1	-	intexpr.1	-
Ew.	Ew.	Ew.	NE	ADJA.Pos.Gen.Sg.Fem	no	-	frame.1	-	-	-
Exzellenz	Exzellenz	Exzellenz	NN	N.Reg.Gen.Sg.Fem	no	-	frame.1	speaker.1_11	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	frame.1	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	indirect.speech.1	-	-	-	-
Sie	Sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	indirect.speech.1	-	-	-	-
nur	nur	nur	ADV	ADV	no	indirect.speech.1	-	-	-	-
den	den	der	ART	ART.Def.Acc.Sg.Masc	no	indirect.speech.1	-	-	-	-
Vertrieb	Vertrieb	Vertrieb	NN	N.Reg.Acc.Sg.Masc	no	indirect.speech.1	-	-	-	-
solcher	solcher	solcher	PIAT	PRO.Indef.Attr.-.Gen.Pl.Fem	no	indirect.speech.1	-	-	-	-
Zeitschriften	Zeitschriften	Zeitschrift	NN	N.Reg.Gen.Pl.Fem	no	indirect.speech.1	-	-	-	-
auf	auf	auf	APPR	APPR.Auf	no	indirect.speech.1	-	-	-	-
den	den	der	ART	ART.Def.Dat.Pl.Masc	no	indirect.speech.1	-	-	-	-
Bahnhöfen	Bahnhöfen	Bahnhof	NN	N.Reg.Dat.Pl.Masc	no	indirect.speech.1	-	-	-	-
verbieten	verbieten	verbieten	VVINF	VINF.Full.-	no	indirect.speech.1	-	-	-	-
