tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Das	Das	die	PDS	PRO.Dem.Subst.-.Nom.Sg.Neut	yes	-	-	-	-	-
war	war	sein	VAFIN	VFIN.Sein.3.Sg.Past.Ind	no	-	-	-	-	-
gerade	gerade	gerade	ADV	ADV	no	-	-	-	-	-
der	der	d	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Fehler	Fehler	Fehler	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
der	der	d	ART	ART.Def.Gen.Pl.Masc	no	-	-	-	-	-
deutschen	deutschen	deutsch	ADJA	ADJA.Pos.Gen.Pl.Masc	no	-	-	-	-	-
Communisten	Kommunisten	Kommunist	NN	N.Reg.Gen.Pl.Masc	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
1848	1848	1848	CARD	CARD	no	-	-	-	-	-
,	,	,	$,	SYM.Pun.Comma	no	-	-	-	-	-
daß	daß	daß	KOUS	CONJ.SubFin.-	no	-	-	-	-	-
sie	sie	sie	PPER	PRO.Pers.Subst.3.Nom.Pl.*	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
der	der	d	ART	ART.Def.Dat.Sg.Fem	no	-	-	-	-	-
einfachen	einfachen	einfach	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
Aenderung	Änderung	Änderung	NN	N.Reg.Dat.Sg.Fem	no	-	-	-	-	-
der	der	d	ART	ART.Def.Gen.Sg.Fem	no	-	-	-	-	-
Staatsund	Staatsund	Staatsund	NN	N.Name.Nom.Sg.*	no	-	-	-	-	-
Gesellschafts	Gesellschafts	Gesellschaft	NN	N.Reg.Gen.Sg.Neut	no	-	-	-	-	-
formen	formen	formen	VVFIN	VFIN.Full.3.Pl.Pres.Ind	yes	-	-	-	-	-
die	die	d	ART	ART.Def.Acc.Sg.Fem	yes	-	-	-	-	-
radikale	radikale	radikal	ADJA	ADJA.Pos.Acc.Sg.Fem	no	-	-	-	-	-
Aenderung	Änderung	Änderung	NN	N.Reg.Acc.Sg.Fem	no	-	-	-	-	-
