tok	normtok	lemma	pos	rfpos	sentstart	stwr	frame	speaker	intexpr	note
Und	Und	und	KON	CONJ.Coord.-	yes	-	-	-	-	-
wie	wie	wie	PWAV	PROADV.Inter	no	-	-	-	-	-
sieht	sieht	sehen	VVFIN	VFIN.Full.3.Sg.Pres.Ind	no	-	-	-	-	-
es	es	es	PPER	PRO.Pers.Subst.3.Nom.Sg.Neut	no	-	-	-	-	-
damit	damit	damit	PAV	PROADV.Dem	no	-	-	-	-	-
aus	aus	aus	PTKVZ	PART.Verb	no	-	-	-	-	-
?	?	--	$.	SYM.Pun.Sent	no	-	-	-	-	-
Von	Von	von	APPR	APPR.Dat	yes	reported.speech.1	-	-	-	-
einem	einem	ein	ART	ART.Indef.Dat.Sg.Masc	no	reported.speech.1	-	-	-	-
Arbeitsplan	Arbeitsplan	Arbeitsplan	NN	N.Reg.Dat.Sg.Masc	no	reported.speech.1	-	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	reported.speech.1	-	-	-	-
keine	keine	kein	PIAT	PRO.Indef.Attr.-.Nom.Sg.Fem	no	reported.speech.1	-	-	-	-
Rede	Rede	Rede	NN	N.Reg.Nom.Sg.Fem	no	reported.speech.1	-	-	intexpr.1	-
,	,	--	$,	SYM.Pun.Comma	no	reported.speech.1	-	-	-	-
wohl	wohl	wohl	ADV	ADV	no	reported.speech.1	-	-	-	-
aber	aber	aber	ADV	ADV	no	reported.speech.1	-	-	-	-
von	von	von	APPR	APPR.Dat	no	reported.speech.1	-	-	-	-
einem	einem	ein	ART	ART.Indef.Dat.Sg.Masc	no	reported.speech.1	-	-	-	-
Nichtarbeitsplan	Nichtarbeitsplan	Nichtarbeitsplan	NN	N.Reg.Dat.Sg.Masc	no	reported.speech.1	-	-	-	-
.	.	--	$.	SYM.Pun.Sent	no	reported.speech.1	-	-	-	-
Die	Die	der	ART	ART.Def.Nom.Sg.Fem	yes	-	-	-	-	-
Dienstprag	Dienstprag	Dienstprag	ADJA	N.Name.Nom.Sg.Fem	no	-	-	-	-	-
m	m	m	NN	N.Reg.*.*.Masc	yes	-	-	-	-	-
atik	atik	atik	NE	ADJD.Pos	yes	-	-	-	-	-
ist	ist	sein	VAFIN	VFIN.Sein.3.Sg.Pres.Ind	no	-	-	-	-	-
von	von	von	APPR	APPR.Dat	no	-	-	-	-	-
einer	einer	ein	ART	ART.Indef.Dat.Sg.Fem	no	-	-	-	-	-
latenten	latenten	latent	ADJA	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
südslavischen	südslavischen	südslavisch	NN	ADJA.Pos.Dat.Sg.Fem	no	-	-	-	-	-
und	und	und	KON	CONJ.Coord.-	no	-	-	-	-	-
einer	einer	ein	ART	ART.Indef.Gen.Sg.Fem	no	-	-	-	-	-
lärmenden	lärmenden	lärmend	ADJA	ADJA.Pos.Gen.Sg.Fem	no	-	-	-	-	-
ruthenischen	ruthenischen	ruthenisch	ADJA	ADJA.Pos.Gen.Sg.Fem	no	-	-	-	-	-
Obstruktion	Obstruktion	Obstruktion	NN	N.Reg.Gen.Sg.Fem	no	-	-	-	-	-
bedroht	bedroht	bedrohen	VVPP	VPP.Full.Psp	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
an	an	an	APPR	APPR.An	no	-	-	-	-	-
der	der	der	PRELS	PRO.Rel.Subst.-.Dat.Sg.Fem	no	-	-	-	-	-
auch	auch	auch	ADV	ADV	no	-	-	-	-	-
das	das	der	ART	ART.Def.Nom.Sg.Neut	no	-	-	-	-	-
Budgetprovisorium	Budgetprovisorium	Budgetprovisorium	NN	N.Reg.Nom.Sg.Neut	no	-	-	-	-	-
scheitern	scheitern	scheitern	VVINF	VINF.Full.-	no	-	-	-	-	-
kann	kann	können	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	-	-	-	-	-
,	,	--	$,	SYM.Pun.Comma	no	-	-	-	-	-
der	der	der	ART	ART.Def.Nom.Sg.Masc	no	-	-	-	-	-
Finanzplan	Finanzplan	Finanzplan	NN	N.Reg.Nom.Sg.Masc	no	-	-	-	-	-
muß	muß	müssen	VMFIN	VFIN.Mod.3.Sg.Pres.Ind	no	-	-	-	-	-
angesichts	angesichts	angesichts	APPR	APPR.Gen	no	-	-	-	-	-
der	der	der	ART	ART.Def.*.Sg.Fem	no	-	-	-	-	-
Haltung	Haltung	Haltung	NN	N.Reg.*.Sg.Fem	no	-	-	-	-	-
der	der	der	ART	ART.Def.Gen.Pl.Fem	no	-	-	-	-	-
